Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0ABF6	P0ABF6		cdd		7.14856e+06	6.89134e+06	6.90369e+06	7.03738e+06	7.41148e+06	6.9433e+06
P0ABG4	P0ABG4		ftsW		1.18204e+06	1.489e+06	1.42827e+06	1.16981e+06	1.50097e+06	1.65248e+06
P0ABH0	P0ABH0		ftsA		3.29551e+06	3.05155e+06	3.22461e+06	3.23105e+06	3.15227e+06	3.00088e+06
P0ABH7	P0ABH7		gltA		1.09579e+07	1.06688e+07	1.11184e+07	1.08936e+07	1.08887e+07	1.08981e+07
P0ABH9	P0ABH9		clpA		1.0849e+07	1.0853e+07	1.0826e+07	1.09093e+07	1.07257e+07	1.10697e+07
P0ABI4	P0ABI4		corA		1.96386e+06	1.87942e+06	1.90351e+06	1.93756e+06	1.97918e+06	1.90415e+06
P0ABI8	P0ABI8		cyoB		2.15057e+06	2.22152e+06	2.33225e+06	2.18664e+06	2.2509e+06	2.39516e+06
P0ABJ1	P0ABJ1		cyoA		2.46841e+06	2.41097e+06	2.37781e+06	2.26737e+06	2.38907e+06	2.39498e+06
P0ABJ9	P0ABJ9		cydA		2.16803e+07	2.18955e+07	2.19556e+07	2.19137e+07	2.19369e+07	2.20161e+07
P0ABK2	P0ABK2		cydB		5.55187e+06	5.58676e+06	6.02011e+06	5.59952e+06	5.43233e+06	6.14243e+06
P0ABK5	P0ABK5		cysK		3.56441e+07	3.53918e+07	3.58923e+07	3.57474e+07	3.57574e+07	3.5185e+07
P0ABL5	P0ABL5		napC		2.80954e+06	2.73569e+06	2.65006e+06	3.13086e+06	3.14607e+06	2.54253e+06
P0ABN1	P0ABN1		dgkA		427763	401822	377899	272338	452036	306208
P0ABN5	P0ABN5		dcuA		1.96535e+06	2.03916e+06	2.06696e+06	2.06073e+06	1.98892e+06	2.04741e+06
P0ABN9	P0ABN9		dcuB		6.77272e+06	6.5445e+06	6.85005e+06	6.83954e+06	6.38235e+06	6.90283e+06
P0ABP8	P0ABP8		deoD		5.20751e+07	5.48568e+07	5.55025e+07	5.23329e+07	5.32884e+07	5.77241e+07
P0ABQ0	P0ABQ0		coaBC		2.02781e+06	2.14465e+06	2.05598e+06	1.93251e+06	1.94306e+06	2.21622e+06
P0ABQ2	P0ABQ2		garR		2.0494e+06	1.89646e+06	1.939e+06	1.98382e+06	1.8682e+06	1.86555e+06
P0ABQ4	P0ABQ4		folA		2.64107e+06	2.77822e+06	2.83526e+06	2.54735e+06	2.87512e+06	2.99187e+06
P0ABS1	P0ABS1		dksA		2.64235e+07	2.77999e+07	2.63499e+07	2.64715e+07	2.69104e+07	2.7287e+07
P0ABS5	P0ABS5		dnaG		1.88245e+06	1.71556e+06	1.63192e+06	1.88265e+06	1.83647e+06	1.72277e+06
P0ABT2	P0ABT2		dps		5.43603e+07	5.74101e+07	5.67836e+07	5.53379e+07	5.36494e+07	5.73413e+07
P0ABT5	P0ABT5		dusB		249180	269734	239933	260168	226859	228665
P0ABU0	P0ABU0		menB		1.09237e+07	1.1269e+07	1.10355e+07	1.0557e+07	1.07756e+07	1.11125e+07
P0ABU2	P0ABU2		ychF		1.62792e+07	1.60788e+07	1.59098e+07	1.63004e+07	1.6077e+07	1.57843e+07
P0ABU5	P0ABU5		elbB		1.95424e+07	1.96863e+07	2.00564e+07	2.0645e+07	1.94076e+07	1.94715e+07
P0ABU7	P0ABU7		exbB		2.55845e+06	2.45034e+06	2.43628e+06	2.48715e+06	2.48234e+06	2.38586e+06
P0ABU9	P0ABU9		tolQ		2.5663e+06	2.51537e+06	2.5157e+06	2.57393e+06	2.46608e+06	2.42713e+06
P0ABV2	P0ABV2		exbD		3.37359e+06	3.28383e+06	3.30447e+06	3.25303e+06	3.25606e+06	3.19657e+06
P0ABV6	P0ABV6		tolR		7.24594e+06	7.60764e+06	7.87716e+06	6.59819e+06	7.38382e+06	7.7394e+06
P0ABX2	P0ABX2		flgC		7.79638e+06	7.19988e+06	7.61294e+06	6.24246e+06	7.89824e+06	7.35492e+06
P0ABX5	P0ABX5		flgG		1.35008e+06	1.49353e+06	1.41479e+06	1.22047e+06	1.00488e+06	1.55463e+06
P0ABX8	P0ABX8		fliL		2.79408e+06	2.70741e+06	2.66426e+06	2.77587e+06	2.88262e+06	2.90053e+06
P0ABZ1	P0ABZ1		fliG		2.56208e+06	2.60443e+06	2.64829e+06	2.63793e+06	2.54011e+06	2.53944e+06
P0ABZ4	P0ABZ4		kdsC		5.3029e+06	5.02173e+06	4.871e+06	4.9551e+06	5.15301e+06	4.74453e+06
P0ABZ6	P0ABZ6		surA		1.24657e+07	1.25239e+07	1.24864e+07	1.23911e+07	1.27083e+07	1.25861e+07
P0AC02	P0AC02		bamD		2.14518e+07	2.13848e+07	2.14805e+07	2.19038e+07	2.13582e+07	2.1808e+07
P0AC13	P0AC13		folP		6.94772e+06	7.0109e+06	6.97093e+06	6.96701e+06	6.94596e+06	6.96074e+06
P0AC19	P0AC19		folX		3.53442e+06	3.51521e+06	3.62229e+06	3.69338e+06	3.54434e+06	3.62693e+06
P0AC30	P0AC30		ftsX		5.69479e+06	5.23642e+06	5.3941e+06	5.6428e+06	5.18485e+06	5.49884e+06
P0AC33	P0AC33		fumA		1.76744e+06	1.9007e+06	1.80545e+06	1.66934e+06	1.76594e+06	1.86215e+06
P0AC38	P0AC38		aspA		1.34087e+08	1.34572e+08	1.32979e+08	1.33529e+08	1.34259e+08	1.32793e+08
P0AC41	P0AC41		sdhA		4.20438e+06	4.32111e+06	4.20596e+06	4.22157e+06	3.94195e+06	4.09383e+06
P0AC47	P0AC47		frdB		7.39847e+06	7.85753e+06	7.84411e+06	7.40062e+06	7.65063e+06	8.07393e+06
P0AC51	P0AC51		zur		3.19731e+06	3.17361e+06	3.10733e+06	3.02303e+06	3.08406e+06	3.03794e+06
P0AC53	P0AC53		zwf		1.18834e+07	1.2342e+07	1.22838e+07	1.19082e+07	1.20507e+07	1.23501e+07
P0AC59	P0AC59		grxB		7.20437e+06	7.25067e+06	6.84454e+06	7.30313e+06	7.05696e+06	6.85033e+06
P0AC62	P0AC62		grxC		1.99497e+07	1.93299e+07	1.90421e+07	2.0391e+07	2.03324e+07	1.80696e+07
P0AC69	P0AC69		grxD		2.74042e+07	2.6847e+07	2.66199e+07	2.75354e+07	2.64947e+07	2.66685e+07
P0AC75	P0AC75		waaA		1.31878e+06	1.2125e+06	1.22133e+06	1.07786e+06	1.17405e+06	1.22793e+06
P0AC84	P0AC84		gloB		783121	696989	824820	688156	693637	772473
P0AC86	P0AC86		glgP		2.02837e+06	2.04599e+06	2.06375e+06	1.98637e+06	1.91674e+06	1.93241e+06
P0AC92	P0AC92		gnsA		5.55866e+06	5.77444e+06	5.67076e+06	5.45614e+06	5.58871e+06	6.34962e+06
P0ACA1	P0ACA1		yibF		375319	372450	388642	337522	227264	419864
P0ACA3	P0ACA3		sspA		2.88473e+07	3.00271e+07	3.06858e+07	2.87997e+07	2.85905e+07	3.01341e+07
P0ACA7	P0ACA7		gstB		2.24448e+06	2.31781e+06	2.31081e+06	2.23234e+06	2.29426e+06	2.39149e+06
P0ACB0	P0ACB0		dnaB		2.57998e+06	2.47328e+06	2.44115e+06	2.59272e+06	2.55874e+06	2.42769e+06
