Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		2	2		551219		781955		494531
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		1	1		1.07722e+06		1.02095e+06		864156
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	29	29	3.68089e+08	3.64241e+08	3.61829e+08	3.66804e+08	3.5227e+08	3.6563e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.37354e+08	2.46299e+08	2.36361e+08	2.35357e+08	2.34275e+08	2.40063e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	11	11	1.57067e+07	1.54893e+07	1.50788e+07	1.57912e+07	1.54517e+07	1.53285e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.52285e+07	2.61741e+07	2.52e+07	2.56787e+07	2.5146e+07	2.5267e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.27444e+07	4.61063e+07	4.34964e+07	4.39183e+07	4.29744e+07	4.61624e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.45138e+07	4.3699e+07	4.33697e+07	4.31594e+07	4.48372e+07	4.35635e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.91278e+07	3.82314e+07	3.82527e+07	3.7857e+07	3.91552e+07	3.80904e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.78851e+07	1.02814e+08	9.99827e+07	1.03696e+08	1.0147e+08	1.025e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.89266e+06	4.09693e+06	3.90312e+06	3.82874e+06	3.77168e+06	3.81455e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.83778e+06	3.90029e+06	4.35366e+06	4.04279e+06	3.87094e+06	4.23217e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.00829e+07	1.06367e+07	1.04687e+07	1.03626e+07	9.99244e+06	1.04628e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.49743e+06	7.76578e+06	7.68625e+06	7.59362e+06	7.78303e+06	7.61485e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	21	20	1.44456e+08	1.50675e+08	1.44304e+08	1.45116e+08	1.44564e+08	1.43669e+08
