Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.03646e+06	5.98765e+06		6.09297e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				7.38236e+06	7.0095e+06		7.21661e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.07412e+06	8.56475e+06		9.19628e+06		
P00350	P00350		gnd		3.43899e+07	3.50457e+07	3.41291e+07	3.57064e+07	3.46672e+07	3.45228e+07
P00363	P00363		frdA		4.67637e+07	4.50678e+07	4.39183e+07	4.62822e+07	4.51147e+07	4.46033e+07
P00370	P00370		gdhA		1.94874e+06	1.8663e+06	1.86467e+06	1.90293e+06	1.92732e+06	1.97392e+06
P00393	P00393		ndh		5.46942e+06	5.57433e+06	5.6417e+06	5.53811e+06	5.57325e+06	5.54981e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.76283e+06	4.58714e+06		4.66098e+06		
P00448	P00448		sodA		2.63552e+06	2.64886e+06	2.65586e+06	2.70452e+06	2.71899e+06	2.5807e+06
P00452	P00452		nrdA		6.61554e+06	6.55604e+06	6.76959e+06	6.67899e+06	6.68819e+06	6.68938e+06
P00490	P00490		malP		4.92989e+06	4.84944e+06	5.16163e+06	4.9715e+06	4.93848e+06	5.08098e+06
P00509	P00509		aspC		1.80401e+07	1.75041e+07	1.81102e+07	1.79264e+07	1.82459e+07	1.84812e+07
P00550	P00550		mtlA		2.26734e+06	2.37156e+06	2.19855e+06	2.43723e+06	2.25434e+06	2.24528e+06
P00561	P00561		thrA		3.08965e+06	2.99719e+06	3.10202e+06	2.96787e+06	3.11201e+06	3.20875e+06
P00562	P00562		metL		2.85013e+06	2.82629e+06	2.69596e+06	2.82975e+06	2.77317e+06	2.86114e+06
P00579	P00579		rpoD		8.83526e+06	8.39792e+06	8.58478e+06	8.85323e+06	8.4458e+06	8.61232e+06
P00582	P00582		polA		3.30562e+06	3.29514e+06	3.33658e+06	3.38405e+06	3.32094e+06	3.26584e+06
