Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P27830	RMLB2_ECOLI	rffG	dTDP-glucose 4,6-dehydratase 2	5	4	1.2058e+07	1.39182e+07	1.43437e+07	1.48909e+07	1.51958e+07	1.31983e+07
P27832	WECD_ECOLI	wecD	dTDP-fucosamine acetyltransferase	2	2	2.35593e+06	3.15001e+06	2.96444e+06	2.6585e+06	2.60573e+06	2.09107e+06
P27833	RFFA_ECOLI	rffA	Lipopolysaccharide biosynthesis protein RffA	6	6	1.26878e+07	1.18384e+07	1.0772e+07	1.14134e+07	1.1653e+07	1.12948e+07
P27836	WECG_ECOLI	wecG	Probable UDP-N-acetyl-D-mannosaminuronic acid transferase	6	6	2.42221e+06	2.264e+06	2.15076e+06	2.47463e+06	2.67212e+06	2.25291e+06
P27838	CYAY_ECOLI	cyaY	Protein CyaY	3	3	2.17405e+07	1.3704e+07	1.47693e+07	1.88938e+07	1.99741e+07	1.42957e+07
P27848	YIGL_ECOLI	yigL	Pyridoxal phosphate phosphatase YigL	6	6	2.13863e+07	2.03443e+07	2.02798e+07	2.09447e+07	2.03367e+07	1.93043e+07
P27859	TATD_ECOLI	tatD	Tat-linked quality control protein TatD	4	4	5.83973e+06	4.96387e+06	5.09645e+06	5.00273e+06	5.48866e+06	5.40165e+06
P28248	DCD_ECOLI	dcd	Deoxycytidine triphosphate deaminase	5	5	4.21323e+07	4.62678e+07	4.15447e+07	4.51051e+07	4.37275e+07	4.4788e+07
P28249	ASMA_ECOLI	asmA	Protein AsmA	12	12	2.52499e+07	2.62872e+07	2.55399e+07	2.51506e+07	2.52708e+07	2.4057e+07
P28304	QOR1_ECOLI	qorA	Quinone oxidoreductase 1	9	9	2.54265e+07	2.30393e+07	2.34181e+07	2.25396e+07	2.31027e+07	2.36166e+07
P28305	PABC_ECOLI	pabC	Aminodeoxychorismate lyase	3	3			1.1755e+06	1.60886e+06		1.14032e+06
P28306	YCEG_ECOLI	yceG	UPF0755 protein YceG	2	2	2.70148e+06	2.3166e+06	2.60534e+06	2.50766e+06	2.49758e+06	2.43075e+06
P28629	ADIA_ECOLI	adiA	Biodegradative arginine decarboxylase	13	13	8.80316e+06	9.26168e+06	8.67016e+06	9.17452e+06	9.27455e+06	9.44525e+06
P28630	HOLA_ECOLI	holA	DNA polymerase III subunit delta	2	2	238291	285147	181163	210420	244595	252477
