Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				626079	709271	1.607e+06	1.51707e+06	1.44656e+06	596108
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				9.66473e+06			1.00068e+07		
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				440387	491553	1.01754e+06	1.04694e+06	998495	434321
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				699933	750664	1.86133e+06	1.85912e+06	1.97416e+06	723844
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)					96915.2	279790	319903	272166	
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				764938	655342	1.41772e+06	1.16273e+06	1.38354e+06	602842
P02358	P02358		rpsF		1.08501e+08	1.08782e+08	1.09273e+08	1.10069e+08	1.10873e+08	1.10626e+08
P02359	P02359		rpsG		1.37071e+08	1.35588e+08	1.34192e+08	1.34662e+08	1.31932e+08	1.35534e+08
P02413	P02413		rplO		1.46136e+08	1.49294e+08	1.47791e+08	1.49028e+08	1.48572e+08	1.49857e+08
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				9.45696e+06	9.63304e+06	2.11763e+07	2.23695e+07	2.23284e+07	8.82202e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				631843	791116	1.63153e+06	1.77218e+06	1.71688e+06	788030
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				705946	708323	1.50015e+06	1.51268e+06	1.56734e+06	666240
P02918	P02918		mrcA		996237	990757	957751	1.06004e+06	1.09823e+06	961965
P02919	P02919		mrcB		1.4157e+06	1.38484e+06	1.4999e+06	1.55008e+06	1.56192e+06	1.53726e+06
P02925	P02925		rbsB		1.1669e+07	1.20298e+07	1.20141e+07	1.18307e+07	1.19666e+07	1.20289e+07
P02930	P02930		tolC		2.46365e+07	2.49053e+07	2.55876e+07	2.41067e+07	2.53705e+07	2.43925e+07
P02931	P02931		ompF		2.12287e+07	2.14919e+07	2.149e+07	2.13221e+07	2.159e+07	2.11771e+07
P02942	P02942		tsr		1.40618e+07	1.41578e+07	1.37155e+07	1.39962e+07	1.35801e+07	1.40922e+07
P02943	P02943		lamB		1.69928e+06	1.53084e+06	1.70282e+06	1.73036e+06	1.70764e+06	1.66853e+06
P03004	P03004		dnaA		2.03938e+06	2.03105e+06	2.06573e+06	2.08853e+06	1.97849e+06	1.91967e+06
P03018	P03018		uvrD		4.17623e+06	4.01217e+06	4.21349e+06	4.32096e+06	4.25443e+06	4.27093e+06
P03817	P03817		mioC		8.05829e+06	7.97385e+06	8.19042e+06	8.3246e+06	8.04704e+06	8.12691e+06
P03841	P03841		malM		1.01241e+07	1.01786e+07	1.04207e+07	1.04436e+07	1.08084e+07	9.92176e+06
P04036	P04036		dapB		5.10437e+06	5.07051e+06	4.87663e+06	5.01599e+06	5.00512e+06	5.06978e+06
P04079	P04079		guaA		2.04771e+07	2.04886e+07	2.04589e+07	2.10183e+07	2.06853e+07	2.05326e+07
P04335	P04335		frsA		4.46819e+06	4.33341e+06	4.3167e+06	4.37554e+06	4.38751e+06	4.38228e+06
P04425	P04425		gshB		8.89155e+06	8.76278e+06	8.83073e+06	8.75765e+06	8.73853e+06	8.85076e+06
P04693	P04693		tyrB		3.63347e+06	3.57706e+06	3.63221e+06	3.56821e+06	3.65937e+06	3.62102e+06
P04805	P04805		gltX		2.61614e+07	2.61955e+07	2.61111e+07	2.63313e+07	2.64385e+07	2.59016e+07
P04825	P04825		pepN		1.51965e+07	1.52019e+07	1.51671e+07	1.53178e+07	1.48408e+07	1.53784e+07
P04846	P04846		nlpA		3.21885e+06	3.26346e+06	3.22506e+06	3.21504e+06	3.365e+06	3.29605e+06
P04949	P04949		fliC		3.76492e+07	3.79968e+07	3.88221e+07	3.70531e+07	3.95818e+07	3.72359e+07
P04951	P04951		kdsB		6.21145e+06	6.2773e+06	6.26318e+06	6.23459e+06	6.52011e+06	6.35834e+06
P04982	P04982		rbsD		1.20368e+06	1.27854e+06	1.31831e+06	1.19157e+06	1.26205e+06	1.05981e+06
P04983	P04983		rbsA		637225	703345	722758	776292	835518	570875
P04995	P04995		sbcB		1.37496e+07	1.31892e+07	1.33392e+07	1.35797e+07	1.32319e+07	1.31986e+07
