Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.37646e+06	1.41044e+06	1.3387e+06	1.18551e+07	1.1848e+07	1.18051e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.89235e+06	2.62773e+06	2.54666e+06	2.0155e+07	1.943e+07	2.1028e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.66017e+06	2.65897e+06	2.53932e+06	1.86407e+07	1.81916e+07	1.77263e+07
P00350	P00350		gnd		3.94473e+07	3.95877e+07	3.89557e+07	3.94786e+07	3.92997e+07	3.91594e+07
P00363	P00363		frdA		4.34425e+07	4.29271e+07	4.25923e+07	4.18311e+07	4.1866e+07	4.20196e+07
P00370	P00370		gdhA		1.93865e+06	1.89712e+06	1.86684e+06	1.99965e+06	1.96343e+06	1.93554e+06
P00393	P00393		ndh		5.43095e+06	5.52719e+06	5.35891e+06	5.36902e+06	5.387e+06	5.41213e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.24424e+06	1.20424e+06	1.21267e+06	7.6252e+06	7.47474e+06	7.53053e+06
P00448	P00448		sodA		4.27512e+06	4.43455e+06	4.32723e+06	4.38546e+06	4.41489e+06	4.2588e+06
P00452	P00452		nrdA		1.01386e+07	1.01229e+07	1.00606e+07	1.01247e+07	9.91189e+06	1.00143e+07
P00490	P00490		malP		5.91424e+06	5.84172e+06	5.70118e+06	5.39066e+06	5.40108e+06	5.47277e+06
P00509	P00509		aspC		1.58131e+07	1.56498e+07	1.54658e+07	1.53415e+07	1.53847e+07	1.55946e+07
P00547	P00547		thrB		762363	690516	744582	754685	789702	910273
P00550	P00550		mtlA		1.31859e+06	1.31105e+06	1.36314e+06	1.18405e+06	1.23968e+06	1.34573e+06
P00561	P00561		thrA		3.23271e+06	3.3209e+06	3.24079e+06	3.22839e+06	3.26469e+06	3.34499e+06
P00562	P00562		metL		2.55762e+06	2.46959e+06	2.58668e+06	2.44179e+06	2.53938e+06	2.46761e+06
P00579	P00579		rpoD		8.87065e+06	8.75915e+06	8.58036e+06	8.80397e+06	8.67774e+06	8.84608e+06
P00582	P00582		polA		4.53348e+06	4.60872e+06	4.53684e+06	4.39076e+06	4.50749e+06	4.43763e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.08329e+06	2.1014e+06	2.03922e+06	9.25881e+06	9.2428e+06	8.93512e+06
P00803	P00803		lepB		5.41114e+06	5.36269e+06	5.23662e+06	5.37764e+06	4.85015e+06	5.11228e+06
P00805	P00805		ansB		2.23541e+07	2.26902e+07	2.20502e+07	2.09764e+07	2.11937e+07	2.14468e+07
P00811	P00811		ampC		1.57445e+06	1.53475e+06	1.51589e+06	1.57596e+06	1.46094e+06	1.5018e+06
P00861	P00861		lysA		116601	202359	277245	262177	238924	
P00864	P00864		ppc		1.0628e+07	1.0447e+07	1.03397e+07	1.03889e+07	1.03277e+07	1.05625e+07
P00887	P00887		aroH		1.62189e+06	1.72197e+06	1.60279e+06	1.62634e+06	1.78293e+06	1.62817e+06
P00888	P00888		aroF		2.04723e+06	1.98869e+06	2.04096e+06	2.00102e+06	1.96694e+06	2.00233e+06
P00892	P00892		ilvG		560852	542837	508843	439353	373371	407641
P00914	P00914		phrB		744406	678023	666818	714110	731722	628478
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				2.32934e+06	2.38572e+06	2.15926e+06	1.59335e+07	1.5806e+07	1.58926e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3.59303e+06	3.48219e+06	3.13276e+06	2.81691e+07	2.85122e+07	2.83995e+07
P00934	P00934		thrC		4.58471e+06	4.77493e+06	4.64702e+06	4.58726e+06	4.5241e+06	4.56189e+06
P00935	P00935		metB		1.07696e+06	1.00075e+06	1.10153e+06	1.08359e+06	990348	1.02925e+06
P00936	P00936		cyaA		1.21877e+06	1.19284e+06	1.11097e+06	1.15752e+06	1.1589e+06	1.20712e+06
P00946	P00946		manA		1.0875e+07	1.11409e+07	1.10575e+07	1.08964e+07	1.12646e+07	1.09088e+07
P00954	P00954		trpS		1.42045e+07	1.40965e+07	1.3382e+07	1.45529e+07	1.44988e+07	1.41169e+07
P00956	P00956		ileS		2.55664e+07	2.58484e+07	2.54538e+07	2.56907e+07	2.54383e+07	2.52595e+07
P00957	P00957		alaS		1.50148e+07	1.50568e+07	1.47544e+07	1.46854e+07	1.47454e+07	1.47029e+07
P00959	P00959		metG		1.90635e+07	1.91799e+07	1.87735e+07	1.90795e+07	1.93206e+07	1.92944e+07
P00960	P00960		glyQ		4.89704e+06	4.83194e+06	4.91943e+06	4.46478e+06	4.69672e+06	4.68392e+06
P00961	P00961		glyS		1.4267e+07	1.41713e+07	1.40488e+07	1.45361e+07	1.44356e+07	1.45157e+07
P00962	P00962		glnS		1.49056e+07	1.48139e+07	1.49396e+07	1.4532e+07	1.42072e+07	1.39641e+07
P00963	P00963		asnA		2.52316e+07	2.49897e+07	2.57235e+07	2.42593e+07	2.48495e+07	2.44684e+07
