Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				1.05233e+06	1.01672e+06	832793	863108	1.0566e+06	832822
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				6.74177e+06	6.86364e+06	6.3572e+06	5.69488e+06	6.84178e+06	6.56451e+06
DECOY_sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	DECOY_sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2				860913	833458	758060	698053	833632	675651
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.12887e+07	2.15062e+07	2.19027e+07	2.18752e+07	2.17301e+07	2.23034e+07
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1						1.68714e+06			
DECOY_sp|P0AGM9|XANP_ECOLI Xanthine permease XanP OS=Escherichia coli (strain K12) GN=xanP PE=1 SV=1	DECOY_sp|P0AGM9|XANP_ECOLI Xanthine permease XanP OS=Escherichia coli (strain K12) GN=xanP PE=1 SV=1							1.80149e+06		
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				4.24911e+06	4.39864e+06	6.76348e+06	6.48866e+06		6.25178e+06
DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3				660630	575103	517820	471873	514887	584340
DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1	DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1				204564	225906	264039	235915	173077	249000
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				4.44812e+06					
DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1	DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1				2.93842e+06	2.8494e+06	2.70226e+06	3.04436e+06	2.76608e+06	2.87446e+06
DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2	DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2				3.18579e+06	3.25286e+06	4.36471e+06	4.44229e+06	3.12397e+06	5.61318e+06
DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2				580048	544105	376563		533263	409065
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.39133e+06	2.35622e+06	3.16029e+06	2.99478e+06	2.28677e+06	3.18391e+06
DECOY_sp|P77615|YCJW_ECOLI Uncharacterized HTH-type transcriptional regulator YcjW OS=Escherichia coli (strain K12) GN=ycjW PE=4 SV=1	DECOY_sp|P77615|YCJW_ECOLI Uncharacterized HTH-type transcriptional regulator YcjW OS=Escherichia coli (strain K12) GN=ycjW PE=4 SV=1				1.30967e+06	1.25924e+06	1.05743e+06	1.12987e+06	1.07366e+06	1.0402e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				749503	671484	8.38546e+06	8.47827e+06	1.16642e+06	8.31145e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				579775	675155	2.03645e+07	1.97575e+07	756559	2.02074e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					1.37732e+06	1.50819e+07	1.48273e+07		1.4948e+07
P00350	P00350		gnd		3.78324e+07	3.789e+07	3.74679e+07	3.72078e+07	3.78943e+07	3.73356e+07
P00363	P00363		frdA		2.95282e+07	2.9299e+07	2.82771e+07	2.78373e+07	2.96502e+07	2.77094e+07
P00370	P00370		gdhA		2.26612e+06	2.27933e+06	2.23486e+06	2.21449e+06	2.33328e+06	2.24441e+06
P00393	P00393		ndh		5.40088e+06	5.341e+06	5.23268e+06	5.41665e+06	5.29582e+06	5.39366e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				609848	601622	9.65769e+06	9.53838e+06	602554	9.49897e+06
P00448	P00448		sodA		3.60154e+06	3.52923e+06	3.42377e+06	3.52856e+06	3.52586e+06	3.26461e+06
P00452	P00452		nrdA		1.00026e+07	9.91944e+06	1.00312e+07	9.85495e+06	1.00972e+07	9.83527e+06
P00490	P00490		malP		5.39093e+06	5.52057e+06	5.52087e+06	5.56825e+06	5.4245e+06	5.54687e+06
P00509	P00509		aspC		1.86613e+07	1.87084e+07	1.84334e+07	1.85786e+07	1.8505e+07	1.86591e+07
P00547	P00547		thrB		1.04253e+06	954175	808917	800289	964171	780292
P00550	P00550		mtlA		702393	645798	577103	496484	603812	631791
P00561	P00561		thrA		829414	829341	785576	777897	849162	796662
P00562	P00562		metL		2.75222e+06	2.77524e+06	2.78494e+06	2.83075e+06	2.81381e+06	2.72923e+06
P00579	P00579		rpoD		8.61604e+06	8.40502e+06	8.3453e+06	8.19815e+06	8.73663e+06	8.37839e+06
P00582	P00582		polA		3.46272e+06	3.53319e+06	3.4378e+06	3.42734e+06	3.36455e+06	3.53047e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.35784e+06	981576	4.7863e+06	4.86883e+06	814619	4.63425e+06
P00803	P00803		lepB		4.7087e+06	5.00517e+06	4.97469e+06	5.06272e+06	4.68978e+06	4.8282e+06
P00805	P00805		ansB		2.14797e+07	2.15204e+07	2.07322e+07	2.09741e+07	2.18061e+07	2.1049e+07
P00811	P00811		ampC		1.00969e+06	920450	978877	973881	955116	994694
P00864	P00864		ppc		1.0223e+07	1.01805e+07	1.01932e+07	9.96257e+06	1.01855e+07	1.00529e+07
P00887	P00887		aroH		1.36797e+06	1.44391e+06	1.51196e+06	1.6418e+06	1.32904e+06	1.52231e+06
P00888	P00888		aroF		1.92339e+06	2.03306e+06	1.98618e+06	1.90848e+06	1.96248e+06	1.97242e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.4319e+06	1.97751e+06	7.83006e+06	7.89077e+06	1.5565e+06	7.56666e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				643032	627756	2.67091e+07	2.68667e+07	589021	2.66702e+07
P00934	P00934		thrC		4.54734e+06	4.59956e+06	4.67595e+06	4.45903e+06	4.24454e+06	4.43417e+06
P00935	P00935		metB		820935	807208	934158	1.04193e+06	732274	980168
P00946	P00946		manA		1.10429e+07	1.075e+07	1.09558e+07	1.09097e+07	1.12804e+07	1.06494e+07
P00954	P00954		trpS		5.10746e+06	5.15945e+06	5.11168e+06	5.02762e+06	5.08602e+06	5.02215e+06
P00956	P00956		ileS		1.96142e+07	1.96528e+07	1.96432e+07	1.97666e+07	1.97686e+07	1.94331e+07
P00957	P00957		alaS		1.44817e+07	1.448e+07	1.43948e+07	1.44197e+07	1.428e+07	1.44998e+07
P00959	P00959		metG		1.87511e+07	1.87561e+07	1.88763e+07	1.91126e+07	1.88654e+07	1.89055e+07
P00960	P00960		glyQ		4.71399e+06	4.7743e+06	4.60412e+06	4.67994e+06	4.65159e+06	4.72468e+06
P00961	P00961		glyS		1.38235e+07	1.35771e+07	1.34556e+07	1.3477e+07	1.36749e+07	1.33761e+07
P00962	P00962		glnS		1.46645e+07	1.42561e+07	1.47858e+07	1.43458e+07	1.43738e+07	1.42816e+07
P00963	P00963		asnA		2.36945e+07	2.37038e+07	2.47558e+07	2.48309e+07	2.40944e+07	2.41863e+07
