Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1	DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1				802659	668105	629493	732674	558051	904696
DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2					2.8755e+06			2.50741e+06	
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.61589e+07	2.06802e+07	2.1049e+07	2.32708e+07	2.49439e+07	2.13715e+07
DECOY_sp|P0ABK9|NRFA_ECOLI Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1	DECOY_sp|P0ABK9|NRFA_ECOLI Cytochrome c-552 OS=Escherichia coli (strain K12) GN=nrfA PE=1 SV=1				2.24358e+06	2.12377e+06	2.13202e+06	2.11588e+06	2.13553e+06	2.37695e+06
DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1				2.10682e+07	1.85101e+07	2.14984e+07	2.19518e+07	2.21168e+07	2.23989e+07
DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1				3.52931e+06	2.81879e+06	3.02991e+06	2.99474e+06	2.97518e+06	3.01602e+06
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				4.33316e+06	6.28521e+06	6.17187e+06	4.29604e+06	4.63347e+06	6.17521e+06
DECOY_sp|P76123|YDDK_ECOLI Putative uncharacterized protein YddK OS=Escherichia coli (strain K12) GN=yddK PE=5 SV=1	DECOY_sp|P76123|YDDK_ECOLI Putative uncharacterized protein YddK OS=Escherichia coli (strain K12) GN=yddK PE=5 SV=1				6.89588e+06	6.79201e+06	6.59708e+06	6.37571e+06	6.63246e+06	6.57084e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.77045e+06	1.84675e+06	2.15393e+06	1.768e+06	1.71719e+06	1.9897e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				2.8845e+06	2.5147e+06	2.26456e+06	2.72106e+06	2.84156e+06	2.47809e+06
