Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.87156e+06	6.50619e+06	2.88774e+06	6.4555e+06	6.5698e+06	2.97691e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.7108e+06	1.24153e+07	5.02031e+06	1.13797e+07	1.19136e+07	4.59658e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.28695e+06	9.86984e+06	4.11954e+06	9.20762e+06	9.77284e+06	4.20988e+06
P00350	P00350		gnd		3.68806e+07	3.54597e+07	3.63715e+07	3.61187e+07	3.713e+07	3.66043e+07
P00363	P00363		frdA		4.98306e+07	5.04159e+07	4.91758e+07	4.82684e+07	5.00113e+07	4.70942e+07
P00370	P00370		gdhA		2.31679e+06	2.25395e+06	2.25029e+06	2.29193e+06	2.28268e+06	2.29403e+06
P00393	P00393		ndh		6.2695e+06	5.85075e+06	6.24494e+06	6.09821e+06	6.01108e+06	5.95379e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.15658e+06	4.3848e+06	2.09256e+06	4.38663e+06	4.58596e+06	1.64984e+06
P00448	P00448		sodA		2.93827e+06	2.97434e+06	3.01448e+06	2.93457e+06	2.95384e+06	2.9931e+06
P00452	P00452		nrdA		7.22469e+06	7.14719e+06	7.28843e+06	6.95403e+06	7.33248e+06	7.22747e+06
P00490	P00490		malP		4.75366e+06	4.61072e+06	4.72476e+06	4.57154e+06	4.57357e+06	4.56364e+06
P00509	P00509		aspC		1.9682e+07	1.91366e+07	1.95948e+07	1.84696e+07	1.91443e+07	1.89908e+07
P00547	P00547		thrB		994462	1.11631e+06	948234	1.0785e+06	858962	725063
P00550	P00550		mtlA		864925	798265	901698	915826	915562	722443
P00561	P00561		thrA		2.19789e+06	2.24473e+06	2.22953e+06	2.08653e+06	2.14123e+06	2.19081e+06
P00562	P00562		metL		2.54567e+06	2.58993e+06	2.65491e+06	2.54302e+06	2.48594e+06	2.65965e+06
P00579	P00579		rpoD		8.86076e+06	8.96716e+06	8.73898e+06	8.58229e+06	8.75762e+06	7.7661e+06
P00582	P00582		polA		3.50565e+06	3.41452e+06	3.43952e+06	3.49299e+06	3.54776e+06	3.3471e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.60426e+06	3.29555e+06	1.64354e+06	3.56991e+06	3.43049e+06	1.30924e+06
P00803	P00803		lepB		4.5992e+06	4.57117e+06	4.62129e+06	4.22583e+06	4.70358e+06	4.51551e+06
P00805	P00805		ansB		2.04186e+07	2.05666e+07	2.01537e+07	1.99183e+07	2.01995e+07	1.85706e+07
P00811	P00811		ampC		2.00772e+06	1.98731e+06	2.06507e+06	1.88814e+06	1.86556e+06	1.73699e+06
P00864	P00864		ppc		3.34003e+07	3.40883e+07	3.36646e+07	3.3356e+07	3.35441e+07	3.26663e+07
P00887	P00887		aroH		1.51981e+06	1.57407e+06	1.25313e+06	1.60123e+06	1.34904e+06	1.63639e+06
P00888	P00888		aroF		1.99307e+06	1.98976e+06	2.00747e+06	1.94407e+06	1.95611e+06	1.82152e+06
