Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A6U3	P0A6U3		mnmG		6.9842e+06	7.0523e+06	7.01199e+06	7.21641e+06	6.93912e+06	6.91871e+06
P0A6U5	P0A6U5		rsmG		6.04212e+06	5.88858e+06	5.88209e+06	6.02802e+06	6.59836e+06	5.99755e+06
P0A6U8	P0A6U8		glgA		3.08321e+06	3.00571e+06	3.02411e+06	3.05964e+06	3.13408e+06	2.98543e+06
P0A6V1	P0A6V1		glgC		7.81687e+06	7.31522e+06	7.72371e+06	7.60457e+06	7.95472e+06	7.56331e+06
P0A6V8	P0A6V8		glk		5.87368e+06	5.6964e+06	5.76288e+06	5.93942e+06	5.9634e+06	5.54819e+06
P0A6W0	P0A6W0		glsA2		1.56436e+06	1.56065e+06	1.59948e+06	1.50989e+06	1.87536e+06	2.01063e+06
P0A6W3	P0A6W3		mraY		1.63664e+06	1.49724e+06	1.53319e+06	1.63613e+06	1.55661e+06	1.35406e+06
P0A6W5	P0A6W5		greA		2.43366e+07	2.38244e+07	2.39995e+07	2.40713e+07	2.45982e+07	2.41787e+07
P0A6W9	P0A6W9		gshA		5.61206e+06	5.6675e+06	5.51774e+06	5.7232e+06	5.79091e+06	5.45116e+06
P0A6X1	P0A6X1		hemA		206988		222734	229661	270697	263123
P0A6X3	P0A6X3		hfq		971444	1.17688e+06	894073	1.12596e+06	1.08471e+06	1.19251e+06
P0A6X7	P0A6X7		ihfA		4.58425e+07	5.26271e+07	4.92034e+07	4.71295e+07	4.65215e+07	5.03553e+07
P0A6Y1	P0A6Y1		ihfB		9.80448e+06	1.13141e+07	1.19676e+07	9.73149e+06	9.33955e+06	1.0771e+07
P0A6Y5	P0A6Y5		hslO		5.80278e+06	5.76464e+06	6.02926e+06	5.95819e+06	5.78914e+06	5.86607e+06
P0A6Y8	P0A6Y8		dnaK		4.11076e+07	4.2541e+07	4.22968e+07	4.09984e+07	3.97844e+07	4.22809e+07
P0A6Z1	P0A6Z1		hscA		5.27505e+06	5.20878e+06	5.14033e+06	5.23873e+06	5.1734e+06	5.09862e+06
P0A6Z3	P0A6Z3		htpG		2.69278e+07	2.70479e+07	2.71221e+07	2.65426e+07	2.68344e+07	2.73743e+07
P0A6Z6	P0A6Z6		nikR		1.18739e+06	1.10748e+06	1.10889e+06	1.25187e+06	1.09152e+06	1.09354e+06
P0A705	P0A705		infB		1.83638e+07	1.82994e+07	1.85484e+07	1.77361e+07	1.79542e+07	1.84507e+07
P0A707	P0A707		infC		5.86078e+07	6.20073e+07	6.0871e+07	5.85274e+07	5.90583e+07	6.23091e+07
P0A715	P0A715		kdsA		2.2833e+07	2.30955e+07	2.305e+07	2.29469e+07	2.23305e+07	2.33065e+07
P0A717	P0A717		prs		3.09356e+07	3.2481e+07	3.20584e+07	3.06796e+07	3.10522e+07	3.16421e+07
P0A720	P0A720		tmk		2.80121e+06	2.68569e+06	2.74974e+06	2.73921e+06	2.65588e+06	2.74085e+06
P0A722	P0A722		lpxA		1.25714e+07	1.22679e+07	1.21583e+07	1.26535e+07	1.24901e+07	1.24066e+07
P0A729	P0A729		yceF		2.11268e+06	2.36077e+06	2.28342e+06	2.20909e+06	2.1322e+06	2.48188e+06
P0A731	P0A731		mgsA		4.05183e+06	3.97491e+06	3.98584e+06	4.11043e+06	3.91398e+06	3.49975e+06
P0A734	P0A734		minE		2.51493e+07	2.49405e+07	2.45052e+07	2.48383e+07	2.52508e+07	2.54542e+07
P0A738	P0A738		moaC		1.10622e+06	1.11354e+06	1.0812e+06	1.09202e+06	1.04326e+06	1.06508e+06
P0A744	P0A744		msrA		6.88363e+06	6.8332e+06	6.62346e+06	7.28809e+06	6.98912e+06	6.85134e+06
P0A746	P0A746		msrB		1.40219e+06	1.29413e+06	1.30936e+06	1.3781e+06	1.41495e+06	1.35865e+06
P0A749	P0A749		murA		1.16246e+07	1.11369e+07	1.13402e+07	1.17678e+07	1.18074e+07	1.15969e+07
P0A752	P0A752		nadD		503796	594910	613598	483046	595248	548207
P0A759	P0A759		nagB		4.30988e+06	4.26037e+06	4.27311e+06	4.18313e+06	4.30084e+06	4.5088e+06
P0A763	P0A763		ndk		1.44501e+07	1.37656e+07	1.40597e+07	1.44161e+07	1.47195e+07	1.40477e+07
P0A776	P0A776		rppH		522112	664201	640255	596276	553908	701389
P0A780	P0A780		nusB		1.28873e+07	1.25692e+07	1.31113e+07	1.25849e+07	1.266e+07	1.31007e+07
P0A784	P0A784		orn		3.01661e+06	3.0032e+06	2.9802e+06	2.99491e+06	3.04586e+06	2.97989e+06
P0A786	P0A786		pyrB		2.65741e+06	2.53618e+06	2.61337e+06	2.59327e+06	2.60056e+06	2.64544e+06
P0A790	P0A790		panD		6.9754e+06	6.74999e+06	6.9252e+06	7.07362e+06	6.97537e+06	6.63197e+06
P0A794	P0A794		pdxJ		7.89861e+06	7.4302e+06	7.69146e+06	7.56793e+06	8.07922e+06	7.61467e+06
P0A796	P0A796		pfkA		2.19746e+07	2.39507e+07	2.37394e+07	2.21792e+07	2.23702e+07	2.43454e+07
P0A799	P0A799		pgk		4.39999e+08	4.32324e+08	4.34555e+08	4.47825e+08	4.37878e+08	4.27403e+08
P0A7A2	P0A7A2		gpmB		4.48108e+06	4.441e+06	4.3252e+06	3.91922e+06	4.03508e+06	3.70614e+06
P0A7A5	P0A7A5		pcm		1.27408e+06	1.45932e+06	1.30027e+06	1.33445e+06	1.15209e+06	1.20208e+06
P0A7A7	P0A7A7		plsB		2.53211e+06	2.59595e+06	2.49212e+06	2.50134e+06	2.52138e+06	2.56184e+06
P0A7A9	P0A7A9		ppa		8.59044e+07	9.03358e+07	8.98078e+07	8.69249e+07	8.78203e+07	8.94318e+07
