Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.30038e+07	1.02417e+07	1.38236e+07	1.16021e+07	1.04732e+07	1.63349e+07
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1					966948				
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				2.05006e+06	1.75008e+06	2.28085e+06	2.31667e+06	2.12065e+06	1.71917e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				1.07745e+06	1.40084e+06	920164	1.01081e+06	953804	
DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3	DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3				783515	803656	784378	781482	790407	751868
DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1	DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1				5.44333e+06				5.26439e+06	
DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1	DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1				3.40698e+06	3.21026e+06	3.29277e+06	3.41902e+06	3.60666e+06	3.15121e+06
DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1	DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1				908148	1.1042e+06	1.02577e+06	1.14796e+06	1.18898e+06	
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.81412e+06	6.75279e+06	2.77641e+06	6.56209e+06	6.78698e+06	2.76532e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				5.18512e+06	1.25526e+07	5.2575e+06	1.19435e+07	1.25376e+07	4.85916e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.2055e+06	9.88635e+06	4.08292e+06	9.32653e+06	9.68465e+06	4.06873e+06
P00350	P00350		gnd		3.83295e+07	3.74259e+07	3.80996e+07	3.801e+07	3.79785e+07	3.63858e+07
P00363	P00363		frdA		4.93306e+07	5.00518e+07	4.95181e+07	4.76705e+07	4.94676e+07	4.7231e+07
P00370	P00370		gdhA		2.28321e+06	2.35103e+06	2.18635e+06	2.29201e+06	2.32533e+06	2.27938e+06
P00393	P00393		ndh		6.50922e+06	6.22277e+06	6.57118e+06	6.45057e+06	6.51428e+06	6.26103e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.89926e+06	4.0661e+06	2.00047e+06	4.04602e+06	4.20426e+06	1.74098e+06
P00448	P00448		sodA		2.54706e+06	2.64856e+06	2.66002e+06	2.44069e+06	2.59374e+06	2.46801e+06
P00452	P00452		nrdA		7.25933e+06	7.10643e+06	7.27153e+06	7.05249e+06	7.25183e+06	7.16422e+06
P00490	P00490		malP		5.15148e+06	4.95033e+06	5.11677e+06	4.8337e+06	4.91737e+06	4.65667e+06
P00509	P00509		aspC		1.90695e+07	1.89134e+07	1.92233e+07	1.80024e+07	1.86609e+07	1.8749e+07
P00547	P00547		thrB		1.10789e+06	1.13063e+06	1.06745e+06	1.13053e+06	999414	894298
P00550	P00550		mtlA		1.41053e+06	1.39319e+06	1.47591e+06	1.49337e+06	1.48e+06	1.34518e+06
P00561	P00561		thrA		2.45139e+06	2.59543e+06	2.48314e+06	2.45576e+06	2.40116e+06	2.42688e+06
P00562	P00562		metL		2.59716e+06	2.60708e+06	2.59136e+06	2.56573e+06	2.50726e+06	2.63952e+06
P00579	P00579		rpoD		8.82587e+06	8.87784e+06	8.60987e+06	8.33056e+06	8.77401e+06	8.19248e+06
P00582	P00582		polA		3.63775e+06	3.53987e+06	3.58665e+06	3.49281e+06	3.64331e+06	3.43733e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.51776e+06	4.80642e+06	2.31262e+06	5.19588e+06	4.6679e+06	2.03932e+06
P00803	P00803		lepB		5.35655e+06	5.37953e+06	5.66158e+06	4.93491e+06	5.89974e+06	5.31142e+06
P00805	P00805		ansB		1.44398e+07	1.45747e+07	1.42731e+07	1.44828e+07	1.43185e+07	1.29391e+07
P00811	P00811		ampC		886324	977899	1.03007e+06	932344	958212	949465
P00861	P00861		lysA		215515	275861	205320	290232	250778	229193
P00864	P00864		ppc		3.88933e+07	3.9629e+07	3.98947e+07	3.88342e+07	3.85154e+07	3.62247e+07
P00887	P00887		aroH		3.31374e+06	3.48112e+06	3.32265e+06	3.39363e+06	3.39184e+06	3.49464e+06
P00888	P00888		aroF		2.22387e+06	2.09427e+06	2.11425e+06	2.08166e+06	2.13003e+06	1.91962e+06
P00892	P00892		ilvG		1.10878e+06	1.12881e+06	1.17452e+06	1.08332e+06	1.18428e+06	964896
P00914	P00914		phrB		656737	722681	641967	673364	576030	763851
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				6.03144e+06	1.28892e+07	5.99499e+06	1.30535e+07	1.30064e+07	6.03188e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.78993e+06	1.35252e+07	6.03464e+06	1.31034e+07	1.34478e+07	5.71585e+06
P00926	P00926		dsdA		1.39741e+06	1.43693e+06	1.50026e+06	1.33571e+06	1.34594e+06	1.36503e+06
P00934	P00934		thrC		4.68294e+06	4.63016e+06	4.67992e+06	4.89043e+06	4.60817e+06	4.51711e+06
P00935	P00935		metB		2.13183e+06	2.47789e+06	1.97798e+06	2.49335e+06	2.27829e+06	1.85081e+06
P00936	P00936		cyaA		1.54742e+06	1.38481e+06	1.51703e+06	1.59451e+06	1.55883e+06	1.36151e+06
P00946	P00946		manA		1.18389e+07	1.17349e+07	1.19072e+07	1.1736e+07	1.19652e+07	1.20402e+07
P00954	P00954		trpS		7.50758e+06	7.28003e+06	7.25608e+06	7.52676e+06	7.42997e+06	7.18625e+06
P00956	P00956		ileS		2.2074e+07	2.25408e+07	2.20251e+07	2.23617e+07	2.248e+07	1.95808e+07
P00957	P00957		alaS		2.07782e+07	2.08863e+07	2.07358e+07	2.08597e+07	2.07736e+07	1.87653e+07
P00959	P00959		metG		1.9337e+07	1.92494e+07	1.92259e+07	1.90326e+07	1.94621e+07	1.75796e+07
P00960	P00960		glyQ		5.10478e+06	5.0564e+06	4.98369e+06	4.7248e+06	5.10006e+06	5.06801e+06
P00961	P00961		glyS		1.48989e+07	1.48814e+07	1.48346e+07	1.46461e+07	1.45851e+07	1.38215e+07
P00962	P00962		glnS		1.09546e+07	1.10733e+07	1.0937e+07	1.08505e+07	1.09341e+07	9.36669e+06
P00963	P00963		asnA		1.84458e+07	1.8094e+07	1.86477e+07	1.90746e+07	1.865e+07	1.79961e+07
