Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
DECOY_sp|P0ACM5|YEGW_ECOLI	Uncharacterized	Uncharacterized		1	1		2.32909e+06	1.21546e+06			
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.93726e+07	2.26045e+07	9.63286e+07	2.19405e+07	9.76244e+07	2.17189e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		12	11	1.87077e+08	4.26304e+07	1.95737e+08	4.38741e+07	1.92407e+08	4.51675e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.26032e+08	2.97241e+07	1.26562e+08	2.99639e+07	1.26739e+08	2.61016e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.48268e+08	3.54041e+08	3.53188e+08	3.5158e+08	3.5172e+08	3.47422e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.18876e+08	2.00722e+08	2.01888e+08	2.35499e+08	1.97176e+08	2.10581e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.30938e+07	1.43294e+07	1.30559e+07	1.37179e+07	1.37814e+07	1.36799e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.51389e+07	2.49734e+07	2.4413e+07	2.55072e+07	2.40397e+07	2.60443e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.89817e+07	1.42096e+07	5.52435e+07	1.37056e+07	5.32366e+07	1.46077e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.26879e+07	4.05846e+07	3.86798e+07	4.28685e+07	4.00709e+07	4.32984e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.26587e+07	4.4182e+07	4.35596e+07	4.1857e+07	4.35492e+07	4.12574e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.48774e+07	3.74452e+07	3.48985e+07	3.69234e+07	3.45194e+07	3.68372e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	25	25	9.82453e+07	1.02795e+08	1.03816e+08	1.01736e+08	9.8253e+07	1.017e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.87779e+06	3.53236e+06	3.58719e+06	3.75698e+06	3.86602e+06	3.55957e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.53897e+06	2.89599e+06	2.87003e+06	2.89926e+06	2.70017e+06	2.6936e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	14	14	1.08146e+07	1.22356e+07	1.06808e+07	1.16814e+07	1.14068e+07	1.24632e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	15	15	7.17965e+06	8.90243e+06	7.36273e+06	7.71886e+06	7.39691e+06	7.70274e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	7.72849e+07	8.26138e+07	8.51156e+07	8.25865e+07	8.20636e+07	8.28938e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	41	41	2.2718e+07	2.18238e+07	2.25957e+07	2.38192e+07	2.19374e+07	2.32613e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	6.56739e+07	1.73423e+07	6.90114e+07	1.49002e+07	7.8961e+07	1.49852e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.52444e+07	1.57597e+07	1.45737e+07	1.46287e+07	1.55749e+07	1.43358e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.32774e+08	1.41861e+08	1.34244e+08	1.40287e+08	1.36042e+08	1.33315e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	5.41617e+06	4.7612e+06	5.52473e+06	5.1666e+06	5.23096e+06	5.03515e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.55693e+06	1.76378e+06	1.30092e+06	1.23037e+06	1.79648e+06	1.33748e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	38	38	6.08295e+07	6.16912e+07	6.19997e+07	6.23295e+07	6.18145e+07	6.35525e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	3	3	8.76709e+06	8.19156e+06	8.43719e+06	8.09073e+06	9.13752e+06	7.77369e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	8.97872e+06	9.67274e+06	9.81517e+06	9.79359e+06	9.80912e+06	9.87638e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	366795	404971		500306	441889	
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.45793e+06	1.6413e+06	1.52159e+06	1.43824e+06	1.38756e+06	1.31864e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	4	4	1.07196e+06	1.0733e+06	982843		1.07058e+06	911178
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.09873e+08	2.52887e+07	1.05806e+08	2.36077e+07	1.16713e+08	2.41765e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		12	12	1.81018e+08	3.73016e+07	1.80093e+08	3.77903e+07	1.86155e+08	3.86482e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.08425e+06	2.46151e+06	1.7953e+06	2.47616e+06	1.81364e+06	2.45515e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.61307e+07	1.58856e+07	1.66855e+07	1.69818e+07	1.75282e+07	1.66464e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.98983e+06	2.11744e+06	2.17901e+06	2.18552e+06	2.55704e+06	1.99377e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	5	5	2.47467e+06	2.24173e+06	2.18324e+06	2.2154e+06	2.66446e+06	2.15838e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.161e+07	5.38538e+07	5.17785e+07	5.25607e+07	5.07222e+07	5.03775e+07
