Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5.90972e+06	5.86171e+06		6.01306e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				5.89497e+06	5.80619e+06		5.92487e+06	1.04004e+06	
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				7.76627e+06	7.27928e+06		7.69149e+06		
P00350	P00350		gnd		3.51099e+07	3.54743e+07	3.49892e+07	3.57651e+07	3.53917e+07	3.51116e+07
P00363	P00363		frdA		4.72804e+07	4.47126e+07	4.3972e+07	4.63486e+07	4.52717e+07	4.42975e+07
P00370	P00370		gdhA		2.26788e+06	2.151e+06	2.1645e+06	2.23556e+06	2.24773e+06	2.28247e+06
P00393	P00393		ndh		5.61841e+06	5.69195e+06	5.97428e+06	5.83173e+06	5.90027e+06	5.85638e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				3.96721e+06	3.87312e+06		4.07333e+06		
P00448	P00448		sodA		2.63242e+06	2.40393e+06	2.46685e+06	2.55431e+06	2.59347e+06	2.51467e+06
P00452	P00452		nrdA		9.93542e+06	9.95881e+06	1.0242e+07	1.01015e+07	1.02816e+07	1.02756e+07
P00490	P00490		malP		7.56061e+06	7.39474e+06	7.81134e+06	7.58132e+06	7.62586e+06	7.64943e+06
P00509	P00509		aspC		1.77886e+07	1.71287e+07	1.78763e+07	1.74092e+07	1.77387e+07	1.75508e+07
P00547	P00547		thrB		1.05504e+06	1.11185e+06	791885	938580	1.03446e+06	958833
P00550	P00550		mtlA		1.33688e+06	1.52912e+06	1.444e+06	1.51375e+06	1.52939e+06	1.4159e+06
P00561	P00561		thrA		2.32227e+06	2.25176e+06	2.37378e+06	2.25534e+06	2.41554e+06	2.3393e+06
P00562	P00562		metL		5.55319e+06	5.27003e+06	5.48469e+06	5.5279e+06	5.33051e+06	5.57157e+06
P00579	P00579		rpoD		8.53854e+06	8.22661e+06	7.95693e+06	8.62106e+06	7.77367e+06	7.85618e+06
P00582	P00582		polA		3.34465e+06	3.36776e+06	3.45628e+06	3.44195e+06	3.43032e+06	3.3098e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.1902e+06	2.11906e+06	1.10646e+06	2.26561e+06		1.03723e+06
P00803	P00803		lepB		5.11358e+06	4.62113e+06	5.09508e+06	5.51782e+06	5.19434e+06	4.64537e+06
P00805	P00805		ansB		2.12803e+07	2.11591e+07	2.14673e+07	2.11936e+07	2.13476e+07	2.10474e+07
P00811	P00811		ampC		968643	932845	927518	979809	927718	813915
P00861	P00861		lysA		293046	251813	115493	264463	283665	230095
P00864	P00864		ppc		3.41562e+07	3.32481e+07	3.34243e+07	3.3066e+07	3.28854e+07	3.2322e+07
P00887	P00887		aroH		2.96356e+06	2.78576e+06	2.59153e+06	2.82367e+06	2.7731e+06	2.72222e+06
P00888	P00888		aroF		2.06585e+06	2.04874e+06	2.13412e+06	2.08445e+06	2.10039e+06	2.03981e+06
P00892	P00892		ilvG		1.05215e+06	980081	1.1841e+06	1.05538e+06	1.09837e+06	830131
P00914	P00914		phrB		735174	698816	632826	584670	615966	610290
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				7.69474e+06	7.77834e+06	9.33632e+06	7.82436e+06	5.42076e+06	
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.34684e+07	1.30801e+07		1.32818e+07		
P00926	P00926		dsdA		1.32968e+06	1.29312e+06	1.35126e+06	1.35589e+06	1.31109e+06	1.33196e+06
P00934	P00934		thrC		4.55896e+06	4.73678e+06	4.52617e+06	4.6678e+06	4.72727e+06	4.53068e+06
P00935	P00935		metB		1.99348e+06	2.37614e+06	2.1417e+06	1.97727e+06	1.99676e+06	1.74855e+06
P00946	P00946		manA		1.11324e+07	1.16008e+07	1.14687e+07	1.1687e+07	1.12728e+07	1.1672e+07
P00954	P00954		trpS		1.33906e+07	1.36387e+07	1.27608e+07	1.35993e+07	1.27033e+07	1.24137e+07
P00956	P00956		ileS		2.06465e+07	2.05408e+07	1.87428e+07	2.07123e+07	1.89426e+07	1.93483e+07
P00957	P00957		alaS		1.67571e+07	1.65872e+07	1.57836e+07	1.64706e+07	1.60129e+07	1.56179e+07
P00959	P00959		metG		1.90816e+07	1.87545e+07	1.84013e+07	1.94081e+07	1.87401e+07	1.83009e+07
P00960	P00960		glyQ		3.93969e+06	3.75137e+06	4.08792e+06	3.92593e+06	3.86286e+06	3.86887e+06
P00961	P00961		glyS		1.39389e+07	1.39247e+07	1.34993e+07	1.39913e+07	1.37702e+07	1.34916e+07
P00962	P00962		glnS		1.02849e+07	1.0107e+07	9.8391e+06	1.03799e+07	1.00798e+07	1.01702e+07
P00963	P00963		asnA		1.46575e+07	1.52439e+07	1.43509e+07	1.51899e+07	1.3761e+07	1.42067e+07
P00968	P00968		carB		6.48855e+06	6.31017e+06	6.12181e+06	6.16543e+06	6.11079e+06	6.21503e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				6.83635e+06	7.10882e+06	2.43018e+06	6.73741e+06	3.48028e+06	
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				1.36595e+07	1.10444e+07		1.34419e+07		
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				6.84519e+06	7.05145e+06		6.971e+06	6.29818e+06	
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.30629e+07	1.2559e+07		1.31801e+07		
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				9.02201e+06	8.89556e+06		8.406e+06		
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7.02311e+06	6.67246e+06	6.60074e+06	7.23849e+06	6.09653e+06	7.24079e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				4.3574e+06	4.29593e+06		4.38828e+06		
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				5.05429e+06	5.02886e+06	5.15142e+06	5.2664e+06	5.03534e+06	5.16715e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				8.01945e+06	8.3103e+06		7.73756e+06	1.0615e+07	
P02358	P02358		rpsF		1.30156e+08	1.28612e+08	1.1373e+08	1.3333e+08	1.16073e+08	1.13561e+08
P02359	P02359		rpsG		1.27721e+08	1.33784e+08	1.24048e+08	1.30019e+08	1.24834e+08	1.23695e+08
P02413	P02413		rplO		1.13228e+08	1.13452e+08	1.19315e+08	1.15676e+08	1.19011e+08	1.17419e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				896001	949184	228625	950598		
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				2.49608e+06	2.55019e+06	1.15266e+06	2.5764e+06		
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.27307e+07	1.15721e+07	8.31164e+06	1.28353e+07	8.92403e+06	1.70281e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.0941e+07	1.03543e+07	3.59612e+06	1.11641e+07	4.51335e+06	6.21828e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				7.84126e+06	7.79318e+06	1.2081e+06	7.98746e+06	3.18873e+06	5.79404e+06
P02918	P02918		mrcA		2.79742e+06	3.02917e+06	3.23696e+06	3.06707e+06	3.3274e+06	2.96331e+06
