Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1				2.16739e+06	1.86162e+06	3.01236e+06	2.40946e+06	2.46178e+06	1.5303e+06
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2				1.38552e+06	372564	597956	643317	502820	242741
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.29554e+07	2.22321e+07	2.22315e+07	2.14539e+07	2.01722e+07	2.79977e+07
DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1				219977	196430			137515	
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.68733e+06	1.91937e+06	1.80094e+06	1.59412e+06	1.84625e+06	1.39468e+06
DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2	DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2							410883	425005	482534
DECOY_sp|P30744|SDHM_ECOLI L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2	DECOY_sp|P30744|SDHM_ECOLI L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2				271352	190300	262391	273386	192084	245609
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2					1.81527e+06				
DECOY_sp|P39321|TAMB_ECOLI Translocation and assembly module TamB OS=Escherichia coli (strain K12) GN=tamB PE=1 SV=2	DECOY_sp|P39321|TAMB_ECOLI Translocation and assembly module TamB OS=Escherichia coli (strain K12) GN=tamB PE=1 SV=2					327207	484140	349710		
DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1	DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1				626221	643076	374780	450670	512014	563993
