Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0ABC7	P0ABC7		hflK		1.32408e+07	1.35544e+07	1.32141e+07	1.33704e+07	1.40314e+07	1.39929e+07
P0ABD3	P0ABD3		bfr		6.59948e+06	6.72224e+06	6.78354e+06	6.59247e+06	6.34154e+06	6.7438e+06
P0ABD5	P0ABD5		accA		1.32018e+07	1.263e+07	1.32996e+07	1.32133e+07	1.27435e+07	1.26035e+07
P0ABD8	P0ABD8		accB		3.05428e+07	2.91606e+07	3.22316e+07	3.31375e+07	3.16276e+07	3.06795e+07
P0ABE2	P0ABE2		bolA		3.75411e+06	3.35475e+06	3.13991e+06	3.64328e+06	3.54563e+06	3.81656e+06
P0ABF1	P0ABF1		pcnB		3.17296e+06	3.07665e+06	2.85006e+06	2.92049e+06	2.99171e+06	3.08789e+06
P0ABF6	P0ABF6		cdd		6.71592e+06	6.39419e+06	6.64246e+06	6.62911e+06	6.38998e+06	6.13966e+06
P0ABG4	P0ABG4		ftsW		263130	257223	303741	254430	321260	297190
P0ABH0	P0ABH0		ftsA		3.04508e+06	2.80726e+06	3.06028e+06	3.13219e+06	2.78206e+06	2.72201e+06
P0ABH7	P0ABH7		gltA		1.03486e+07	1.03462e+07	1.03595e+07	1.01264e+07	1.06516e+07	1.06432e+07
P0ABH9	P0ABH9		clpA		1.01867e+07	1.02522e+07	1.00585e+07	1.00869e+07	1.04163e+07	1.02301e+07
P0ABI4	P0ABI4		corA		1.75485e+06	1.71154e+06	1.70641e+06	1.67793e+06	1.68019e+06	1.71198e+06
P0ABI8	P0ABI8		cyoB		2.50266e+06	2.3803e+06	2.54042e+06	2.46318e+06	2.11671e+06	2.06445e+06
P0ABJ1	P0ABJ1		cyoA		2.34115e+06	2.16838e+06	2.24236e+06	2.3742e+06	2.20032e+06	2.2024e+06
P0ABJ9	P0ABJ9		cydA		2.51614e+07	2.53338e+07	2.45882e+07	2.51496e+07	2.59778e+07	2.53464e+07
P0ABK2	P0ABK2		cydB		5.47036e+06	6.49482e+06	6.20017e+06	5.29324e+06	6.0308e+06	5.83268e+06
P0ABK5	P0ABK5		cysK		3.38985e+07	3.29108e+07	3.40754e+07	3.41282e+07	3.29242e+07	3.29897e+07
P0ABL5	P0ABL5		napC		2.43792e+06	1.90342e+06	2.55483e+06	2.63556e+06	2.05126e+06	1.80488e+06
P0ABN1	P0ABN1		dgkA		457498	455403	425994	372862	412127	360998
P0ABN5	P0ABN5		dcuA		1.93435e+06	1.88158e+06	1.90575e+06	1.89254e+06	1.83136e+06	1.97449e+06
P0ABN9	P0ABN9		dcuB		6.30033e+06	6.37111e+06	6.39837e+06	6.22518e+06	6.22073e+06	6.67704e+06
P0ABP8	P0ABP8		deoD		4.94994e+07	5.02036e+07	5.13905e+07	5.01277e+07	4.99587e+07	4.95657e+07
P0ABQ0	P0ABQ0		coaBC		882102	961625	943674	841728	901449	745635
P0ABQ2	P0ABQ2		garR		1.82849e+06	1.7264e+06	1.81767e+06	1.85529e+06	1.66726e+06	1.97451e+06
P0ABQ4	P0ABQ4		folA		2.34533e+06	2.451e+06	2.64132e+06	2.46595e+06	2.37109e+06	2.4269e+06
P0ABS1	P0ABS1		dksA		2.29953e+07	2.20583e+07	2.26947e+07	2.26441e+07	2.31868e+07	2.27864e+07
P0ABS5	P0ABS5		dnaG		1.72873e+06	1.62843e+06	1.69038e+06	1.77013e+06	1.72548e+06	1.61501e+06
P0ABT2	P0ABT2		dps		4.59736e+07	4.53294e+07	4.43641e+07	4.45142e+07	4.69461e+07	4.6632e+07
P0ABT5	P0ABT5		dusB		197988	245189	243957	164044	368435	
P0ABU0	P0ABU0		menB		1.12776e+07	1.11487e+07	1.12472e+07	1.14376e+07	1.1143e+07	1.06008e+07
P0ABU2	P0ABU2		ychF		1.82126e+07	1.79913e+07	1.79813e+07	1.87405e+07	1.75806e+07	1.78237e+07
P0ABU5	P0ABU5		elbB		2.28216e+07	2.31644e+07	2.20444e+07	2.25719e+07	2.34959e+07	2.27277e+07
P0ABU7	P0ABU7		exbB		2.26973e+06	2.18765e+06	2.46485e+06	2.3167e+06	2.1473e+06	2.09225e+06
P0ABU9	P0ABU9		tolQ		2.33844e+06	2.2674e+06	2.37217e+06	2.3283e+06	2.31765e+06	2.17835e+06
P0ABV2	P0ABV2		exbD		2.99309e+06	3.16498e+06	3.04899e+06	3.11021e+06	3.00482e+06	3.05528e+06
P0ABV6	P0ABV6		tolR		6.13589e+06	7.62377e+06	6.98724e+06	6.34616e+06	7.74743e+06	7.69427e+06
P0ABX2	P0ABX2		flgC		1.06434e+06	1.03044e+06	981561	917225	1.06533e+06	1.08427e+06
P0ABX5	P0ABX5		flgG		1.29023e+06	1.46044e+06	1.37673e+06	1.16944e+06	1.22861e+06	1.23933e+06
P0ABX8	P0ABX8		fliL		2.69141e+06	2.30341e+06	2.7262e+06	2.63612e+06	2.4911e+06	2.30564e+06
P0ABZ1	P0ABZ1		fliG		2.37979e+06	2.70314e+06	2.42905e+06	2.32153e+06	2.73273e+06	2.78114e+06
P0ABZ4	P0ABZ4		kdsC		4.2996e+06	4.27261e+06	4.34815e+06	4.46067e+06	4.29068e+06	4.34781e+06
P0ABZ6	P0ABZ6		surA		1.17948e+07	1.10428e+07	1.18228e+07	1.18601e+07	1.10718e+07	1.14506e+07
P0AC02	P0AC02		bamD		2.49324e+07	2.37516e+07	2.49036e+07	2.39518e+07	2.36243e+07	2.35732e+07
P0AC13	P0AC13		folP		6.87904e+06	6.85077e+06	6.93007e+06	6.97874e+06	6.66106e+06	6.73972e+06
P0AC19	P0AC19		folX		3.88253e+06	4.00196e+06	3.77668e+06	3.83382e+06	3.99261e+06	3.96909e+06
P0AC23	P0AC23		focA					584236		
P0AC28	P0AC28		ygfA		386934	367936	299057	327669	339110	372409
P0AC30	P0AC30		ftsX		4.16861e+06	3.78848e+06	3.96768e+06	4.16802e+06	3.75915e+06	3.88838e+06
P0AC33	P0AC33		fumA		2.3845e+06	2.34625e+06	2.50012e+06	2.49453e+06	2.43834e+06	2.49966e+06
P0AC38	P0AC38		aspA		1.33107e+08	1.28972e+08	1.33962e+08	1.33568e+08	1.28769e+08	1.29785e+08
P0AC41	P0AC41		sdhA		4.06496e+06	3.95394e+06	3.95377e+06	3.94398e+06	4.1273e+06	3.9229e+06
P0AC47	P0AC47		frdB		9.32053e+06	9.59052e+06	9.42637e+06	9.54046e+06	1.00567e+07	1.00312e+07
P0AC51	P0AC51		zur		2.44063e+06	1.98221e+06	2.27283e+06	2.30837e+06	1.98932e+06	2.18359e+06
