Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	29	29	2.77092e+08	2.69913e+08	2.78551e+08	2.62312e+08	2.57901e+08	2.67471e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.39006e+08	2.34009e+08	2.22822e+08	2.32712e+08	2.32787e+08	2.30254e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.51453e+07	1.46727e+07	1.43156e+07	1.44533e+07	1.53105e+07	1.57924e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	19	19	2.38055e+07	2.25968e+07	2.32244e+07	2.26171e+07	2.28086e+07	2.38201e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	7	7	4.71477e+07	4.27002e+07	4.36683e+07	4.38748e+07	4.2108e+07	4.5438e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.05289e+07	4.00128e+07	4.05466e+07	3.99838e+07	4.15098e+07	4.06023e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.60537e+07	3.69353e+07	3.715e+07	3.60549e+07	3.61863e+07	3.68912e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.79274e+07	9.22978e+07	9.72198e+07	9.26694e+07	9.30919e+07	9.5268e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.189e+06	3.79806e+06	3.55719e+06	3.96461e+06	3.74957e+06	3.55458e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.56043e+06	3.60864e+06	3.68949e+06	4.00696e+06	3.57647e+06	3.54608e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	14	14	1.26912e+07	1.40982e+07	1.33953e+07	1.33905e+07	1.30909e+07	1.31252e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	17	17	7.46535e+06	7.62082e+06	7.98326e+06	7.67338e+06	7.63044e+06	7.71703e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	1.3546e+08	1.386e+08	1.37903e+08	1.39049e+08	1.40161e+08	1.39689e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.44352e+07	2.48866e+07	2.44426e+07	2.42671e+07	2.45107e+07	2.33659e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.39559e+07	1.3415e+07	1.36181e+07	1.34442e+07	1.29861e+07	1.3363e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.41315e+08	1.38139e+08	1.40692e+08	1.36966e+08	1.35779e+08	1.39182e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	4.54326e+06	4.63267e+06	4.64373e+06	4.5656e+06	4.61541e+06	4.13256e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.37006e+06	1.06348e+06	1.21198e+06	1.09244e+06	1.26241e+06	1.62707e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.11436e+07	6.02974e+07	6.07588e+07	5.97448e+07	6.21021e+07	5.94174e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.71026e+06	7.09531e+06	7.32159e+06	6.35455e+06	6.30019e+06	6.80887e+06
