Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P00350	P00350		gnd		3.70003e+07	3.73418e+07	3.68624e+07	3.72874e+07	3.67443e+07	3.75184e+07
P00363	P00363		frdA		2.39403e+07	2.4601e+07	2.4335e+07	2.42639e+07	2.42332e+07	2.48484e+07
P00370	P00370		gdhA		1.93707e+06	1.99337e+06	1.95289e+06	1.94823e+06	1.98887e+06	1.99336e+06
P00393	P00393		ndh		5.59703e+06	5.80569e+06	5.80741e+06	5.7135e+06	5.43812e+06	5.80084e+06
P00448	P00448		sodA		3.36157e+06	3.5244e+06	3.34888e+06	3.3827e+06	3.35199e+06	3.38143e+06
P00452	P00452		nrdA		1.00272e+07	9.92148e+06	9.90377e+06	1.00725e+07	1.01467e+07	9.91887e+06
P00490	P00490		malP		4.83981e+06	4.78619e+06	4.83827e+06	4.87527e+06	4.82356e+06	4.80684e+06
P00509	P00509		aspC		1.89672e+07	1.90696e+07	1.91323e+07	1.8885e+07	1.8912e+07	1.90352e+07
P00547	P00547		thrB		929184	1.07135e+06	965701	1.00012e+06	919869	1.03586e+06
P00550	P00550		mtlA		1.87675e+06	2.00611e+06	1.96494e+06	1.98113e+06	2.01966e+06	1.99253e+06
P00561	P00561		thrA		2.31937e+06	2.35627e+06	2.39503e+06	2.35526e+06	2.50665e+06	2.46758e+06
P00562	P00562		metL		2.90223e+06	2.9046e+06	2.98887e+06	2.88575e+06	3.0195e+06	2.92713e+06
P00579	P00579		rpoD		8.49967e+06	8.5422e+06	8.47896e+06	8.49664e+06	8.61412e+06	8.69009e+06
P00582	P00582		polA		3.6077e+06	3.5453e+06	3.60932e+06	3.57411e+06	3.49159e+06	3.52139e+06
P00803	P00803		lepB		3.99804e+06	4.20621e+06	4.1397e+06	4.31265e+06	4.09139e+06	4.23907e+06
P00805	P00805		ansB		2.17035e+07	2.09343e+07	2.11003e+07	2.15407e+07	2.14995e+07	2.14511e+07
P00811	P00811		ampC		2.29783e+06	2.38777e+06	2.09233e+06	2.19344e+06	2.14265e+06	2.1781e+06
P00864	P00864		ppc		1.13491e+07	1.16222e+07	1.15235e+07	1.13914e+07	1.15254e+07	1.17164e+07
P00887	P00887		aroH		1.66106e+06	1.63591e+06	1.71616e+06	1.43875e+06	1.58638e+06	1.64184e+06
P00888	P00888		aroF		2.07195e+06	2.02285e+06	2.08618e+06	1.9145e+06	2.0486e+06	2.06272e+06
P00914	P00914		phrB			641780			728736	664980
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					321388	330007			265870
P00934	P00934		thrC		4.18152e+06	4.0325e+06	4.02345e+06	4.07298e+06	3.89313e+06	3.9367e+06
P00935	P00935		metB		673437	748336	718696	749261	647008	708818
P00946	P00946		manA		1.14436e+07	1.17468e+07	1.16036e+07	1.14464e+07	1.16019e+07	1.20804e+07
P00954	P00954		trpS		1.41239e+07	1.45652e+07	1.48892e+07	1.36355e+07	1.38199e+07	1.47819e+07
P00956	P00956		ileS		1.9918e+07	2.0786e+07	2.06763e+07	2.0153e+07	2.03931e+07	2.10591e+07
P00957	P00957		alaS		1.49603e+07	1.53157e+07	1.52049e+07	1.48005e+07	1.47772e+07	1.51236e+07
P00959	P00959		metG		1.90893e+07	1.94833e+07	1.99619e+07	1.8829e+07	1.88262e+07	1.94915e+07
P00960	P00960		glyQ		3.95799e+06	3.97074e+06	3.9229e+06	3.97828e+06	3.80039e+06	3.89837e+06
P00961	P00961		glyS		1.11909e+07	1.16535e+07	1.1553e+07	1.13772e+07	1.12209e+07	1.16956e+07
P00962	P00962		glnS		1.46695e+07	1.51359e+07	1.47226e+07	1.48115e+07	1.46938e+07	1.47888e+07
P00963	P00963		asnA		1.41794e+07	1.53714e+07	1.51301e+07	1.45585e+07	1.38256e+07	1.52999e+07
P00968	P00968		carB		3.75223e+06	3.70899e+06	3.70781e+06	3.77371e+06	3.72052e+06	3.65723e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)					105777	129771			132776
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)					747839	819227		119063	690516
P02358	P02358		rpsF		1.13437e+08	1.13846e+08	1.1295e+08	1.13357e+08	1.11666e+08	1.13841e+08
P02359	P02359		rpsG		1.51099e+08	1.56741e+08	1.55149e+08	1.50359e+08	1.521e+08	1.55105e+08
P02413	P02413		rplO		1.28403e+08	1.25192e+08	1.24713e+08	1.27922e+08	1.29335e+08	1.25022e+08
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				102880	738978	794085	88470.8	75525	654644
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)					753625	653741			599164
P02918	P02918		mrcA		1.69433e+06	1.67258e+06	1.73088e+06	1.62845e+06	1.69384e+06	1.70103e+06
P02919	P02919		mrcB		1.87281e+06	1.82114e+06	1.8764e+06	1.79158e+06	1.86261e+06	1.85808e+06
P02925	P02925		rbsB		1.23001e+07	1.20183e+07	1.22097e+07	1.19576e+07	1.2016e+07	1.20874e+07
P02930	P02930		tolC		2.55629e+07	2.48949e+07	2.47718e+07	2.56418e+07	2.54816e+07	2.44278e+07
P02931	P02931		ompF		3.08736e+07	2.96749e+07	2.99496e+07	3.10632e+07	3.02668e+07	2.93029e+07
P02942	P02942		tsr		1.39156e+07	1.44041e+07	1.45638e+07	1.38797e+07	1.41207e+07	1.43898e+07
P02943	P02943		lamB		1.56631e+06	1.69533e+06	1.5438e+06	1.61573e+06	1.51295e+06	1.66142e+06
P03004	P03004		dnaA		2.38672e+06	2.37692e+06	2.33167e+06	2.50559e+06	2.38895e+06	2.41293e+06
P03018	P03018		uvrD		4.62928e+06	4.33817e+06	4.3099e+06	4.59547e+06	4.47426e+06	4.43276e+06
P03817	P03817		mioC		8.42602e+06	8.57732e+06	8.38724e+06	8.24232e+06	8.63552e+06	8.41528e+06
P03841	P03841		malM		1.1015e+07	1.04538e+07	1.04481e+07	1.07783e+07	1.091e+07	1.00309e+07
P04036	P04036		dapB		5.04743e+06	5.27826e+06	5.3262e+06	5.16513e+06	5.27622e+06	5.29334e+06
P04079	P04079		guaA		1.78816e+07	1.82861e+07	1.81434e+07	1.76772e+07	1.79437e+07	1.81909e+07
P04335	P04335		frsA		4.49687e+06	4.41726e+06	4.36652e+06	4.42896e+06	4.36333e+06	4.3041e+06
P04425	P04425		gshB		6.97853e+06	7.21779e+06	7.09175e+06	6.95798e+06	6.89734e+06	7.15187e+06
P04693	P04693		tyrB		3.96166e+06	3.84698e+06	3.91449e+06	3.99959e+06	3.91395e+06	3.85207e+06
P04805	P04805		gltX		2.58444e+07	2.63656e+07	2.63862e+07	2.59235e+07	2.61796e+07	2.63882e+07
P04825	P04825		pepN		1.51299e+07	1.55091e+07	1.55575e+07	1.51495e+07	1.54249e+07	1.57275e+07
P04846	P04846		nlpA		3.38777e+06	3.2663e+06	3.35079e+06	3.42317e+06	3.36383e+06	3.37336e+06
P04949	P04949		fliC		4.0809e+07	3.88978e+07	3.91009e+07	4.12129e+07	3.9683e+07	3.78293e+07
P04951	P04951		kdsB		5.79475e+06	5.61699e+06	5.62192e+06	5.64801e+06	5.75916e+06	5.77768e+06
P04982	P04982		rbsD		1.28524e+06	1.27015e+06	1.29756e+06	1.16764e+06	1.38194e+06	1.15226e+06
P04995	P04995		sbcB		1.29915e+07	1.33834e+07	1.2948e+07	1.32568e+07	1.27109e+07	1.3151e+07
P05020	P05020		pyrC		6.57912e+06	6.66387e+06	6.65326e+06	6.49067e+06	6.75533e+06	6.9989e+06
P05041	P05041		pabB		1.03154e+06	1.07979e+06	1.09094e+06	1.09852e+06	1.09804e+06	1.00129e+06
P05055	P05055		pnp		3.89502e+07	3.87927e+07	3.87155e+07	3.86198e+07	3.86786e+07	3.90226e+07
P05100	P05100		tag		2.27083e+06	1.9721e+06	2.01395e+06	2.18647e+06	2.18879e+06	1.85253e+06
P05194	P05194		aroD		1.27933e+06	1.32699e+06	1.2433e+06	1.18112e+06	1.18779e+06	1.35029e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)					324224	342104	55823.5		327116
P05458	P05458		ptrA		998891	988546	1.015e+06	1.00762e+06	983338	950633
P05459	P05459		pdxB		6.03986e+06	6.07096e+06	6.05776e+06	6.11352e+06	5.73752e+06	5.8582e+06
P05637	P05637		apaH		3.10514e+06	3.38815e+06	3.28543e+06	3.25809e+06	3.12655e+06	3.14576e+06
P05719	P05719		hsdS		1.55386e+06	1.43516e+06	1.35056e+06	1.3783e+06	1.37866e+06	1.36383e+06
P05791	P05791		ilvD		3.17483e+06	3.1599e+06	3.20107e+06	3.17758e+06	3.1957e+06	3.15425e+06
P05793	P05793		ilvC		8.53092e+06	8.14182e+06	8.0627e+06	8.51377e+06	8.84506e+06	8.52018e+06
P05825	P05825		fepA		2.08016e+06	2.01201e+06	1.97709e+06	2.03299e+06	1.95802e+06	1.97632e+06
P05852	P05852		gcp		2.4779e+06	2.51453e+06	2.58967e+06	2.61586e+06	2.58328e+06	2.44085e+06
P06129	P06129		btuB		1.52426e+07	1.5626e+07	1.53122e+07	1.5235e+07	1.52434e+07	1.53432e+07
P06136	P06136		ftsQ		914689	896588	919472	836681	855578	940617
P06149	P06149		dld		6.08144e+06	6.43437e+06	6.36294e+06	6.2475e+06	6.16695e+06	6.27594e+06
P06282	P06282		cdh		2.35182e+06	2.58205e+06	2.54274e+06	2.46575e+06	2.49132e+06	2.58032e+06
P06610	P06610		btuE		1.04503e+07	1.06262e+07	1.05048e+07	1.05902e+07	9.92081e+06	1.01881e+07
P06612	P06612		topA		5.97537e+06	6.03464e+06	6.01041e+06	5.86084e+06	5.89905e+06	5.97398e+06
P06616	P06616		era		4.15719e+06	3.84563e+06	3.84989e+06	4.09358e+06	4.16133e+06	3.9446e+06
P06709	P06709		birA		1.08669e+06	1.08199e+06	1.07418e+06	1.06973e+06	1.12724e+06	1.08537e+06
P06710	P06710		dnaX		1.46037e+06	1.40122e+06	1.41439e+06	1.41509e+06	1.56541e+06	1.43342e+06
P06715	P06715		gor		3.67194e+06	3.76767e+06	3.80484e+06	3.68768e+06	3.72501e+06	3.91926e+06
P06722	P06722		mutH		538156	549931	577098	571763	618909	615659
P06846	P06846		ebgR		1.50223e+06	1.41631e+06	1.4703e+06	1.3236e+06	1.36355e+06	1.25814e+06
P06959	P06959		aceF		6.36051e+07	6.30696e+07	6.38872e+07	6.24168e+07	6.23693e+07	6.29914e+07
P06961	P06961		cca		994543	1.11241e+06	1.07136e+06	1.12947e+06	1.16552e+06	1.11074e+06
P06968	P06968		dut		8.63322e+06	8.25282e+06	8.39683e+06	8.52495e+06	8.16219e+06	8.2047e+06
P06971	P06971		fhuA		1.44449e+07	1.42368e+07	1.42778e+07	1.41494e+07	1.43995e+07	1.41593e+07
P06974	P06974		fliM		1.29998e+06	1.36252e+06	1.34248e+06	1.3832e+06	1.32433e+06	1.26583e+06
P06983	P06983		hemC		1.1476e+07	1.10966e+07	1.11516e+07	1.1412e+07	1.13369e+07	1.11581e+07
P06986	P06986		hisC		4.66625e+06	4.5678e+06	4.56671e+06	4.60002e+06	4.57719e+06	4.47937e+06
P06987	P06987		hisB		1.2419e+06	1.23979e+06	1.29487e+06	1.19746e+06	1.16326e+06	1.18581e+06
