Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.41638e+06	1.36585e+06		1.39972e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.50775e+06	2.31485e+06		2.06002e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.71214e+06	2.57116e+06		2.86739e+06		
P00350	P00350		gnd		3.71255e+07	3.70002e+07	3.66803e+07	3.7123e+07	3.74252e+07	3.65677e+07
P00363	P00363		frdA		4.6887e+07	4.72168e+07	4.42967e+07	4.68393e+07	4.56009e+07	4.5613e+07
P00370	P00370		gdhA		1.86914e+06	1.85488e+06	1.88056e+06	1.84553e+06	1.8957e+06	1.9815e+06
P00393	P00393		ndh		5.35252e+06	5.32495e+06	5.48469e+06	5.28711e+06	5.47577e+06	5.51079e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.21191e+06	1.1195e+06	582421	1.13387e+06		838414
P00448	P00448		sodA		3.54491e+06	3.48848e+06	3.57767e+06	3.51478e+06	3.63159e+06	3.32215e+06
P00452	P00452		nrdA		9.51394e+06	9.40684e+06	9.56476e+06	9.41684e+06	9.61123e+06	9.68186e+06
P00490	P00490		malP		5.8463e+06	5.94282e+06	5.87047e+06	5.92701e+06	5.62075e+06	5.70822e+06
P00509	P00509		aspC		1.86222e+07	1.84361e+07	1.85167e+07	1.82612e+07	1.86488e+07	1.8814e+07
P00550	P00550		mtlA		664495	649580	663132	640037	660568	624935
P00561	P00561		thrA		3.11325e+06	2.95533e+06	3.24924e+06	3.07115e+06	3.22976e+06	3.3104e+06
P00562	P00562		metL		2.95903e+06	2.83699e+06	2.87955e+06	2.95342e+06	2.75963e+06	2.98946e+06
P00579	P00579		rpoD		8.63188e+06	8.48592e+06	8.30113e+06	8.283e+06	8.07975e+06	8.38367e+06
P00582	P00582		polA		3.50521e+06	3.45464e+06	3.46799e+06	3.38339e+06	3.44532e+06	3.40618e+06
P00803	P00803		lepB		4.78054e+06	4.61485e+06	4.66654e+06	4.90275e+06	4.7868e+06	4.65638e+06
P00805	P00805		ansB		2.09036e+07	2.12364e+07	2.1032e+07	2.08411e+07	2.09552e+07	2.06302e+07
P00811	P00811		ampC		1.12259e+06	1.13093e+06	1.57933e+06	1.35091e+06	1.63962e+06	1.60023e+06
P00864	P00864		ppc		1.1342e+07	1.11252e+07	1.12582e+07	1.09683e+07	1.12155e+07	1.10339e+07
P00887	P00887		aroH		1.58853e+06	1.64214e+06	1.3676e+06	1.6079e+06	1.38321e+06	1.46283e+06
P00888	P00888		aroF		2.03558e+06	1.99558e+06	2.00403e+06	1.97171e+06	1.92349e+06	1.93876e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.45773e+07	1.48223e+07	1.42331e+07	1.43817e+07	1.44116e+07	1.48733e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3.95991e+06	4.18492e+06		3.91322e+06		
P00934	P00934		thrC		4.69611e+06	4.58998e+06	4.60544e+06	4.48097e+06	4.42904e+06	4.55489e+06
P00936	P00936		cyaA		899252	699470	818503	798323	897719	819828
P00946	P00946		manA		1.09967e+07	1.10397e+07	1.11879e+07	1.10021e+07	1.12021e+07	1.13067e+07
