Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		3	3		7.96973e+06		8.17009e+06		8.32396e+06
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		5	5		2.28114e+07		2.44225e+07		2.455e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		4	4		1.24479e+07		1.1382e+07		1.16017e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	28	28	3.58523e+08	3.56165e+08	3.46467e+08	3.51101e+08	3.33588e+08	3.51967e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.5209e+08	2.45586e+08	2.49544e+08	2.48329e+08	2.4548e+08	2.50465e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	12	12	1.75955e+07	1.6171e+07	1.64923e+07	1.60306e+07	1.73464e+07	1.57538e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.8866e+07	3.03053e+07	3.02505e+07	3.00821e+07	2.91354e+07	3.05463e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	8	8	4.14487e+07	4.42957e+07	4.24611e+07	4.22992e+07	3.98676e+07	4.25685e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.43794e+07	4.29282e+07	4.28689e+07	4.23866e+07	4.32546e+07	4.24857e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	31	31	3.95331e+07	3.95507e+07	3.83198e+07	3.88164e+07	3.84827e+07	3.88638e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.80718e+07	1.02263e+08	9.93486e+07	1.04135e+08	9.89547e+07	1.01396e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	4.00738e+06	4.07997e+06	4.22401e+06	3.94604e+06	3.92805e+06	3.65214e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.54123e+06	3.27021e+06	3.83527e+06	3.64378e+06	3.40149e+06	3.45944e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.24641e+07	1.21986e+07	1.24278e+07	1.21152e+07	1.18311e+07	1.19285e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	8.8032e+06	8.96121e+06	9.02651e+06	9.08593e+06	8.69124e+06	8.80102e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	8.47028e+07	8.70248e+07	8.36989e+07	8.96426e+07	8.39522e+07	8.83032e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	43	43	2.4062e+07	2.40134e+07	2.40658e+07	2.41635e+07	2.38009e+07	2.45251e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.53622e+07	1.57763e+07	1.51478e+07	1.55744e+07	1.4821e+07	1.53915e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.42801e+08	1.42644e+08	1.41835e+08	1.41524e+08	1.41036e+08	1.4214e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	7.07153e+06	6.41509e+06	6.62403e+06	6.56686e+06	6.79652e+06	6.52024e+06
