Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2	DECOY_sp|P09148|GAL7_ECOLI Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2				1.37626e+06	1.446e+06		1.39682e+06	1.52582e+06	1.38204e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.2638e+07	1.32882e+07	1.33675e+07	1.25061e+07	1.35725e+07	1.58565e+07
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				639849	715080	612357	778902	338845	501367
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				2.03157e+06	1.96642e+06	2.18333e+06	2.11671e+06	1.88281e+06	1.65372e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2						1.95242e+06	1.77415e+06		
DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3	DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3				683268	761436	764022	455940	489338	753697
DECOY_sp|P64596|YRAP_ECOLI Uncharacterized protein YraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1	DECOY_sp|P64596|YRAP_ECOLI Uncharacterized protein YraP OS=Escherichia coli (strain K12) GN=yraP PE=4 SV=1				303024	435991	425133	352601	387694	370853
DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1	DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1					2.87175e+06				1.18311e+06
DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1	DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1				2.95641e+06	3.29031e+06	3.14769e+06	3.17657e+06	3.43675e+06	3.01421e+06
DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1	DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1				1.46668e+06	1.02522e+06	1.02319e+06	1.1697e+06	1.30373e+06	
