Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7		5.72326e+07		5.5867e+07		5.53246e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		8	8		2.01389e+08		1.93066e+08		1.94332e+08
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5		5.73806e+07		5.50329e+07		5.83507e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	30	30	3.56276e+08	3.61474e+08	3.40733e+08	3.5173e+08	3.39693e+08	3.36134e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	28	28	2.25368e+08	2.22401e+08	2.25675e+08	2.22837e+08	2.24243e+08	2.20908e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	12	12	1.61117e+07	1.67231e+07	1.54948e+07	1.62579e+07	1.62863e+07	1.67083e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	17	17	2.79809e+07	2.95404e+07	2.73655e+07	2.77012e+07	2.78447e+07	2.77872e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2		2.9945e+07		3.22282e+07		3.26565e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	4.38272e+07	4.74232e+07	4.52022e+07	4.83364e+07	4.36635e+07	4.85579e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	32	32	4.50633e+07	4.54063e+07	4.43555e+07	4.44815e+07	4.56011e+07	4.51191e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	30	30	3.93892e+07	3.65946e+07	3.81867e+07	3.6287e+07	3.92441e+07	3.72984e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	28	28	9.47893e+07	1.01771e+08	9.59288e+07	9.90515e+07	9.69345e+07	1.00308e+08
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	4.04946e+06	4.048e+06	4.13808e+06	4.36874e+06	4.02107e+06	4.42237e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.79324e+06	3.93949e+06	4.30113e+06	4.0931e+06	3.81421e+06	3.55178e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.18107e+07	1.1465e+07	1.1613e+07	1.21929e+07	1.17059e+07	1.19715e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	16	16	7.83098e+06	7.82099e+06	7.81057e+06	7.80066e+06	7.916e+06	8.16251e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.4292e+08	1.4453e+08	1.42201e+08	1.38318e+08	1.40154e+08	1.41501e+08
