Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.23783e+06	2.20023e+06	2.25479e+06	2.19331e+06	2.01988e+06	2.16342e+06
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				7.64216e+06	7.41376e+06	7.85276e+06	7.65158e+06	6.52413e+06	7.28448e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.38443e+07	1.38233e+07	1.385e+07	1.32026e+07	1.31587e+07	1.33631e+07
DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3	DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3				406322	540199	549770	540547	486048	341067
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				5.07187e+06	4.95419e+06	5.27001e+06	4.9845e+06		
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				3.96499e+06	3.89529e+06	3.97332e+06	4.02727e+06	4.01846e+06	
DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2	DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2				1.53018e+06	1.43592e+06	1.36236e+06	1.31754e+06	1.09373e+06	1.54086e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.88979e+06	2.04965e+06	1.90725e+06	2.06048e+06	1.79337e+06	1.98294e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				3.00538e+06	3.08714e+06	2.94233e+06	2.93805e+06	2.96826e+06	
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.72212e+06	2.73368e+06				2.57212e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.66103e+06	4.81094e+06				4.84649e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.44463e+06	3.47317e+06	677917			3.3556e+06
P00350	P00350		gnd		3.68719e+07	3.68165e+07	3.59965e+07	3.67729e+07	3.56158e+07	3.64896e+07
P00363	P00363		frdA		4.49791e+07	4.43174e+07	4.35801e+07	4.3923e+07	4.3582e+07	4.21299e+07
P00370	P00370		gdhA		2.01979e+06	1.89481e+06	1.92194e+06	1.93658e+06	1.93793e+06	1.95885e+06
P00393	P00393		ndh		5.23934e+06	5.23372e+06	5.16177e+06	5.19966e+06	5.01299e+06	5.28823e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.80539e+06	2.03189e+06	981822		551895	1.30114e+06
P00448	P00448		sodA		3.55643e+06	3.56345e+06	3.4302e+06	3.52267e+06	3.32328e+06	3.38577e+06
P00452	P00452		nrdA		1.00652e+07	1.01676e+07	1.00279e+07	1.00838e+07	1.00595e+07	9.86412e+06
P00490	P00490		malP		4.62318e+06	4.67891e+06	4.77648e+06	4.72014e+06	4.68793e+06	4.72845e+06
P00509	P00509		aspC		1.93796e+07	1.95439e+07	1.90173e+07	1.97416e+07	1.91852e+07	1.9106e+07
P00550	P00550		mtlA		802934	797541	804496	903399	896877	713061
P00561	P00561		thrA		2.37257e+06	2.40405e+06	2.38918e+06	2.29287e+06	2.49372e+06	2.46588e+06
P00562	P00562		metL		2.97109e+06	3.06415e+06	2.96539e+06	2.93688e+06	3.06833e+06	3.23119e+06
P00579	P00579		rpoD		8.60394e+06	8.56535e+06	8.74397e+06	8.75913e+06	8.93678e+06	8.15258e+06
P00582	P00582		polA		4.02817e+06	3.93796e+06	4.0238e+06	3.94738e+06	3.85764e+06	3.73305e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.13587e+06	1.05987e+06	285525	237123		852984
P00803	P00803		lepB		4.01085e+06	4.19073e+06	4.14472e+06	4.12724e+06	4.05355e+06	4.09602e+06
P00805	P00805		ansB		2.03398e+07	2.06198e+07	2.11475e+07	2.12722e+07	2.09628e+07	1.77211e+07
P00811	P00811		ampC		2.1544e+06	2.11155e+06	1.94375e+06	2.02772e+06	1.77935e+06	1.315e+06
P00864	P00864		ppc		1.16353e+07	1.17919e+07	1.15203e+07	1.14929e+07	1.17636e+07	1.13919e+07
P00887	P00887		aroH		1.48226e+06	1.34016e+06	1.49408e+06	1.41429e+06	1.39462e+06	1.5081e+06
P00888	P00888		aroF		1.85924e+06	1.90263e+06	1.84649e+06	1.74847e+06	1.75977e+06	1.73014e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				9.22337e+06	9.56931e+06	3.66071e+06	7.17e+06		9.08985e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				4.12888e+06	4.35184e+06	4.17781e+06	4.4468e+06	4.53322e+06	3.81489e+06
P00926	P00926		dsdA		1.36043e+06	1.33145e+06	1.26641e+06	1.32544e+06	1.28231e+06	1.04912e+06
P00934	P00934		thrC		3.94814e+06	3.92247e+06	4.06777e+06	3.98834e+06	3.84623e+06	3.92318e+06
P00935	P00935		metB		641311	610213	778964	608629	774600	684222
P00936	P00936		cyaA		914824	882400	736652	811894	850110	953036
P00946	P00946		manA		1.12598e+07	1.13961e+07	1.13871e+07	1.15238e+07	1.14453e+07	1.1596e+07
P00954	P00954		trpS		1.46399e+07	1.43958e+07	1.42553e+07	1.3607e+07	1.35183e+07	1.41683e+07
P00956	P00956		ileS		2.73168e+07	2.7134e+07	2.66751e+07	2.71902e+07	2.70617e+07	2.56592e+07
P00957	P00957		alaS		1.64844e+07	1.63002e+07	1.59919e+07	1.6062e+07	1.601e+07	1.4663e+07
P00959	P00959		metG		1.91309e+07	1.89792e+07	1.82596e+07	1.82545e+07	1.83818e+07	1.77162e+07
P00960	P00960		glyQ		4.84575e+06	4.97248e+06	4.62034e+06	4.78844e+06	4.48034e+06	5.05328e+06
P00961	P00961		glyS		1.23488e+07	1.23627e+07	1.19503e+07	1.20796e+07	1.19748e+07	1.16682e+07
P00962	P00962		glnS		1.05153e+07	1.06041e+07	1.02528e+07	1.0384e+07	1.02795e+07	9.83094e+06
P00963	P00963		asnA		1.95203e+07	1.91428e+07	1.68878e+07	1.75276e+07	1.64691e+07	1.77132e+07
P00968	P00968		carB		4.3214e+06	4.29862e+06	4.34398e+06	4.47091e+06	4.4023e+06	4.29386e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				4.247e+06	4.19638e+06	3.38765e+06	196709	115650	4.07015e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.32038e+06	5.26442e+06				5.27423e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				8.53441e+06	9.55419e+06			1.42633e+06	8.46136e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5.64053e+06	5.62061e+06				5.80206e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3.51211e+06	3.29856e+06				3.77597e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7.17788e+06	7.35187e+06	134287	150466	133428	7.74836e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.56465e+06	1.55393e+06				1.6081e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				6.14133e+06	6.04398e+06				5.67036e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				4.39591e+06	4.5889e+06				3.86924e+06
P02358	P02358		rpsF		1.21028e+08	1.19357e+08	1.23404e+08	1.24294e+08	1.23683e+08	8.62309e+07
P02359	P02359		rpsG		1.61591e+08	1.61698e+08	1.58168e+08	1.56511e+08	1.57817e+08	1.50212e+08
P02413	P02413		rplO		1.24527e+08	1.21893e+08	1.25938e+08	1.26975e+08	1.26133e+08	1.05841e+08
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				622270	574475	568817	524002	545236	564513
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8.40044e+06	8.33631e+06	529472	1.34565e+06	606789	8.82997e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				7.0519e+06	6.82613e+06	845629	2.5189e+06	1.44674e+06	6.7037e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.80454e+06	5.81505e+06	839587			6.25224e+06
P02918	P02918		mrcA		941327	958399	1.07973e+06	999828	1.17884e+06	832100
P02919	P02919		mrcB		1.62292e+06	1.43724e+06	1.57846e+06	1.37495e+06	1.65179e+06	1.59809e+06
P02925	P02925		rbsB		8.66349e+06	9.12565e+06	9.03682e+06	8.93031e+06	8.55158e+06	9.26742e+06
P02930	P02930		tolC		2.10794e+07	2.13076e+07	2.18973e+07	2.22744e+07	2.17149e+07	2.13607e+07
P02931	P02931		ompF		3.80565e+07	3.78953e+07	3.93979e+07	3.85605e+07	3.89625e+07	3.83456e+07
P02942	P02942		tsr		1.14109e+07	1.12838e+07	1.13645e+07	1.10185e+07	1.07075e+07	1.06749e+07
P02943	P02943		lamB		1.55453e+06	1.55332e+06	1.35384e+06	1.46097e+06	1.3551e+06	1.52926e+06
