protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	964694.9471896184	964130.2858899436	984978.5202206152	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	3.8039409190054367e-06	-4.099918601676569	True	2.648305084745763e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AG30	138705434.5953252	139193639.93802074	138861814.79558092	132341197.36841846	132504913.27057014	131939513.06897648	P0AG30	P0AG30		rho	0	8.984979793862852e-06	0.07086014002649006	True	5.296610169491526e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P30847	62430.69754014204	87820.3750000001	52991.61042449279	420135.4925657554	439257.1962873661	409615.5645672238	P30847	P30847		baeS	2	1.650426599216362e-05	-2.642426133054547	True	7.944915254237289e-05	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	2667258.915427914	2653913.6916864053	2600916.620010622	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			3	4.4298794659148626e-05	-5.542895838035603	False	0.00010593220338983052	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	3884080.09718425	3875770.1488609225	3795993.463107588	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			3	4.601692369261614e-05	-6.087565579337978	False	0.00013241525423728814	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	7801820.808012067	7866424.281264387	7644517.842554449	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	7.077083298031103e-05	-7.100062979222732	False	0.00015889830508474578	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	5922741.770528262	5890885.088925812	5750060.833941839	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	7.994846125095182e-05	-6.6915387690957235	False	0.0001853813559322034	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	62430.69754014204	54504.46874999999	52991.61042449279	997522.2360234	1014755.237045072	967554.5322075916	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			3	0.00012034377873235912	-4.132245885317779	False	0.00021186440677966104	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A6P9	725409967.0990155	717075812.3982807	722165331.7651196	769578619.7372631	776925122.3903545	769717201.6927066	P0A6P9	P0A6P9		eno	0	0.0001237078959471032	-0.09763836167658033	False	0.00023834745762711865	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0A796	128254849.54294889	127946692.49337175	126013247.69564632	144453055.82142866	141912350.7395838	142269401.13657936	P0A796	P0A796		pfkA	0	0.00014094688642937324	-0.16536540597731397	False	0.00026483050847457627	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
