protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	87630.9525906844	44381.08594	85257.72320815013	4221457.872822635	4260080.196770578	4212224.192522557	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	3.5114278836859286e-09	-5.868488514813315	True	2.6371308016877638e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	263219.2375503017	283459.38896532165	318925.7617905385	8265540.01257846	8241440.707780857	8328447.002868448	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	2.3077217013901847e-08	-4.842547970159374	True	5.2742616033755275e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A972	269810139.2588406	265147548.15970016	266628674.505618	222109017.4939238	219379192.1396226	218135531.6719876	P0A972	P0A972		cspE	0	1.5660796050710416e-05	0.28121463746524333	True	7.911392405063293e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	169055.49520594915	204938.7721852212	85257.72320815013	2890456.9180839485	2875139.1174122565	2924286.513863163	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			1	1.958054465556326e-05	-4.241978798270937	True	0.00010548523206751055	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	87630.9525906844	44381.08594	85257.72320815013	1376674.8619250986	1390127.0427072174	1461068.229851476	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	2.016575160210787e-05	-4.28237175457718	True	0.00013185654008438817	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	87630.9525906844	44381.08594	85257.72320815013	6461581.895487731	6424914.454025803	6276328.868498034	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	3.2117406748724414e-05	-6.462679063153313	False	0.00015822784810126585	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
Q47083	87630.9525906844	44381.08594	85257.72320815013	452115.7358175736	474771.1763886101	502553.41541338793	Q47083	Q47083		cbl	3	3.7595177948161044e-05	-2.7178910872910573	False	0.00018459915611814348	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P30847	87630.9525906844	44381.08594	85257.72320815013	493231.8446616528	475987.52126613865	444221.5126270411	P30847	P30847		baeS	3	3.8071208321772906e-05	-2.7016522311091102	False	0.0002109704641350211	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	87630.9525906844	44381.08594	85257.72320815013	3070581.174480952	3061907.8496209607	3197528.199811258	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	5.597372250229952e-05	-5.42432043617009	False	0.00023734177215189875	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	87630.9525906844	44381.08594	85257.72320815013	1175314.2087528938	1121125.8493179788	1079682.7596182062	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			3	6.183511498316808e-05	-3.9578080795941926	False	0.00026371308016877635	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
