Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AFG0	P0AFG0		nusG		14624500.0	14858000.0	15492200.0	14886600.0	14594900.0	15189100.0	0	0.7630525513353268	-0.00978802558090705	False	0.04313934863854779	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AD10	P0AD10		yecJ		3667970.0	3702990.0	3657260.0	3788390.0	3739340.0	3569510.0	0	0.7641701156061004	0.009000954982843853	False	0.04316604378003204	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AA39	P0AA39		rluC		998466.0	906184.0	914497.0	1002730.0	937989.0	915734.0	0	0.7680886369393423	0.018966085111655585	False	0.04319273892151629	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P29018	P29018		cydD		633354.0	739137.0	595002.0	613653.0	659284.0	750356.0	0	0.7681226438001778	0.04034675376053596	False	0.043219434063000536	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75876	P75876		rlmI		5802800.0	5732910.0	5772230.0	5712560.0	5701180.0	5845090.0	0	0.7686397391674675	-0.00409935907394021	False	0.043246129204484784	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08201	P08201		nirB		4578530.0	4617520.0	4652610.0	4533870.0	4665580.0	4702950.0	0	0.7706723997042784	0.0055875723962775575	False	0.04327282434596904	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AFZ1	P0AFZ1		sseB		2363590.0	2550660.0	2404320.0	2500780.0	2391860.0	2488720.0	0	0.7716485805395439	0.012324871281785648	False	0.04329951948745329	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04425	P04425		gshB		7812180.0	7802420.0	7674770.0	7638770.0	7754400.0	7830380.0	0	0.7739506447755612	-0.004083091363664041	False	0.043326214628937536	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P42628	P42628		yhaO		10206600.0	10765900.0	10710600.0	10686700.0	10355000.0	10452300.0	0	0.7761420415836016	-0.008636497938547668	False	0.043352909770421784	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8L1	P0A8L1		serS		33631300.0	33236100.0	32467500.0	34170000.0	32757900.0	32921000.0	0	0.7765890377025862	0.007445855506739333	False	0.04337960491190603	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P07000	P07000		pldB		606114.0	576560.0	542553.0	627520.0	620384.0	515102.0	0	0.7776097622876219	0.03125118485489009	False	0.04340630005339029	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76192	P76192		ydhV		1995320.0	1948700.0	1854040.0	1991710.0	1929310.0	1920690.0	0	0.7776351551859648	0.010820477335530043	False	0.043432995194874535	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9G8	P0A9G8		modE		3249320.0	3181030.0	3179580.0	3176590.0	3326240.0	3020880.0	0	0.7790894734368248	-0.013002231501966473	False	0.04345969033635878	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04036	P04036		dapB		5694510.0	5769310.0	5614130.0	5695200.0	5644920.0	5693340.0	0	0.7798309554759821	-0.0037632885163140896	False	0.04348638547784303	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06846	P06846		ebgR		1297760.0	1276920.0	1403700.0	1317600.0	1290960.0	1331590.0	0	0.7813421466136156	-0.013930530021367325	False	0.04351308061932728	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6H8	P0A6H8		cls		590073.0	617595.0	665134.0	642829.0	608531.0	598309.0	0	0.7821904905441581	-0.017931258034159896	False	0.04353977576081154	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P67660	P67660		yhaJ		1501890.0	1569490.0	1554900.0	1526010.0	1621260.0	1423030.0	0	0.7826336126493303	-0.01756371735575674	False	0.04356647090229579	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37671	P37671		yiaJ		213754.0	146390.0	155546.0	175173.0	194195.0	119070.0	0	0.7833149419746963	-0.07832862483618441	False	0.04359316604378004	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABN9	P0ABN9		dcuB		6873620.0	7246990.0	6716280.0	7021760.0	6792290.0	7195220.0	0	0.785054865013638	0.011886069253028736	False	0.043619861185264286	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P65367	P65367		yqcA		2771100.0	2782740.0	2884350.0	2666330.0	2734460.0	2953160.0	0	0.7861956602758664	-0.014475063902646433	False	0.043646556326748534	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6Y1	P0A6Y1		ihfB		11960600.0	11883000.0	11468500.0	11256200.0	11776200.0	12038700.0	0	0.7875524826708354	-0.00987993906778244	False	0.04367325146823279	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P12295	P12295		ung		2255380.0	2290320.0	2184760.0	2302290.0	2219880.0	2242570.0	0	0.7879633850337551	0.007329375240318939	False	0.04369994660971704	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33602	P33602		nuoG		13098300.0	13094600.0	12871800.0	12908100.0	13244300.0	13019200.0	0	0.7891827157910556	0.0039425227381335295	False	0.043726641751201285	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P69330	P69330		citD		9926060.0	9464020.0	9728040.0	9587180.0	9701030.0	9705500.0	0	0.7904278088561307	-0.006177260783286899	False	0.04375333689268553	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75797	P75797		gsiB		829941.0	804790.0	773947.0	743570.0	853565.0	845512.0	0	0.7913317818655421	0.020203844835048945	False	0.04378003203416978	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
