Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P45523	P45523		fkpA		29058300.0	28808600.0	28751300.0	29733400.0	28664000.0	27504800.0	0	0.3786855744582254	0.02972123595105735	False	0.02697334030318871	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37590	P37590		pmrD		1671190.0	2506610.0	2616990.0	2408580.0	1924520.0	1777470.0	0	0.3789851436089865	0.22286474162462633	False	0.02699947726084684	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEZ9	P0AEZ9		moaB		10413600.0	10267400.0	10435400.0	10244600.0	10190500.0	10477700.0	0	0.37921085590133613	-0.013406192654230084	False	0.027025614218504967	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P24169	P24169		speF		4730690.0	4788220.0	4699990.0	4814730.0	4707790.0	5214090.0	0	0.3810940083970537	-0.050875132959560414	False	0.027051751176163093	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8U6	P0A8U6		metJ		8580230.0	8397120.0	8500190.0	8473910.0	8570520.0	8141940.0	0	0.38113059815041056	0.02422378762281998	False	0.027077888133821226	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7G2	P0A7G2		rbfA		21066300.0	21023600.0	21423700.0	21012200.0	20962100.0	18725400.0	0	0.38161111552532406	0.060003004151213714	False	0.027104025091479352	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A805	P0A805		frr		28316500.0	28791400.0	27378100.0	27415000.0	25619300.0	26228200.0	0	0.3825842036067622	-0.051523596280928036	False	0.027130162049137485	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P36680	P36680		zapD		2537470.0	2345250.0	2347780.0	2365820.0	2473690.0	2525550.0	0	0.38290742804613553	-0.04368878112458191	False	0.02715629900679561	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08192	P08192		folC		3284120.0	3446680.0	3319070.0	3409630.0	3192080.0	3430120.0	0	0.3838365220041532	-0.0345055749554765	False	0.027182435964453737	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P30855	P30855		evgS		821806.0	920151.0	880122.0	875040.0	918895.0	821483.0	0	0.3847474804074183	0.060949087798315676	False	0.02720857292211187	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
