protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	614362.1114564756	664011.9137146141	634381.8644035169	2310875.2687672987	2238689.9036414493	2314102.8912207293	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	5.5772818865030026e-06	-1.8433270185375414	True	2.6068821689259648e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	709339.445710239	10275751.950155552	10193188.482840296	9865269.039526189	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			2	2.467135313732442e-05	-5.249195281012895	True	5.2137643378519296e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02918	3630607.724402415	3658931.049237712	3649052.5490813176	3393208.382321243	3414803.723083649	3386378.775429149	P02918	P02918		mrcA	0	3.183332553244289e-05	0.10165138281044496	False	7.820646506777895e-05	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	5992996.2175198505	5844533.53121811	6074741.332145989	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			3	0.00011735985313492	-7.020421005763908	False	0.00010427528675703859	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	21296015.49053095	20614648.627515715	20461669.103199128	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			3	0.00015179010027993763	-8.820378967018476	False	0.00013034410844629823	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	12731000.572491834	12225706.122164642	12658288.650514135	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.00015663430984518998	-8.090780650657617	False	0.0001564129301355579	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0ABJ1	2141977.71256389	2163586.2499999995	2124170.2532613697	2352412.4551876835	2353083.6865510084	2389772.8974814923	P0ABJ1	P0ABJ1		cyoA	0	0.00019740428271727988	-0.14209828710479802	False	0.00018248175182481753	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P28635	58714262.31445313	58486980.7766836	57999936.36025255	54034012.82106327	54579062.223122336	54983739.28450142	P28635	P28635		metQ	0	0.0005206013077909123	0.0988678317817416	False	0.00020855057351407719	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	2402203.522180873	2609516.5107468404	2514115.866755181	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			3	0.0005369322781637175	-5.769396475823311	False	0.0002346193952033368	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	53169.13265293834	2105473.535447493	49744.70427278486	17853497.01354449	17833179.90533921	17166524.156578988	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			2	0.0006379204129301562	-4.580925689657547	False	0.00026068821689259646	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	7783897.595936898	7121186.230586614	7223786.323597155	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			3	0.0007822944510069875	-7.325402531110118	False	0.00028675703858185614	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	1682565.8464979737	1850103.32143639	1854657.3030875009	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			3	0.0009487784098748896	-5.287114138825354	False	0.0003128258602711158	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	6206554.06127962	6879841.813478897	6726915.972854825	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			3	0.0009567096689049622	-7.1659427895104955	False	0.0003388946819603754	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	5225427.600283174	4848034.695559006	4698821.851627294	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			3	0.001017290687150713	-6.742365657239304	False	0.00036496350364963507	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	2099507.5559750544	2163224.3183380915	2368692.000459417	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			3	0.0013439149861215588	-5.586863317672041	False	0.0003910323253388947	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	16803268.040195435	15138868.235925358	15028782.271028489	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			3	0.0013481404644829255	-8.411240545545024	False	0.00041710114702815437	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	6380669.862631708	3964749.275654156	5485754.97082103	17392115.637697108	20382624.13154587	21693511.945150618	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.0017948939781581405	-1.9093514070516842	False	0.000443169968717414	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	2900772.452979972	2613800.021255195	2517632.4338262677	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			3	0.0018680700584342157	-5.863340718016107	False	0.0004692387904066736	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	53169.13265293834	35058.921879999994	49744.70427278486	5897152.722564764	6691195.103693514	6823576.031975317	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			3	0.0020146921160977926	-7.136415845191179	False	0.0004953076120959332	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P31550	6170032.624445005	5971404.955908689	6065846.982454873	5444760.067029731	5529221.394349748	5597111.329846199	P31550	P31550		thiB	0	0.0021333148014791485	0.13584702946377508	False	0.0005213764337851929	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
