protein	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	4561201.953259526	5260926.959188428	4559667.446830264	79139998.74047296	79154892.76119442	79630274.93863535	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	9.589613380600938e-09	-4.048192088261614	True	2.6096033402922757e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	9259512.71881814	8816449.394374881	7883485.273093029	100792275.37010446	99952391.43280178	101522087.1496388	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	1.3849963752413846e-08	-3.5414907296701426	True	5.2192066805845514e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	5604760.858154048	5099703.677645623	4752125.613566348	41720707.801382735	41336393.59616498	40701784.77254179	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			0	1.2216980481122872e-07	-3.001238128592375	True	7.828810020876828e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	7349027.109706275	8682636.199197657	9691322.747769536	78041456.13934535	78139799.97510576	80018218.07833381	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	1.9587251038329304e-07	-3.198875720164451	True	0.00010438413361169103	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P30864	79921.13554057591	75602.75000000003	24836.11861613482	1537361.4441639483	1534997.6591148078	1579744.3571090912	P30864	P30864		yafC	3	5.22008717938294e-07	-4.688931828513344	True	0.00013048016701461377	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	6955772.5751183815	6700161.0350370025	6897246.135430005	110116141.77828497	110978279.92282788	110409620.83825316	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	9.296981930147627e-07	-4.011592950398272	True	0.00015657620041753656	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	1123608.0736277332	837313.8107014985	1735062.432962125	18592156.64577166	18511582.689196613	17758761.397524454	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			0	1.3959552752048563e-06	-3.891789844075043	True	0.00018267223382045932	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	4277641.377574051	4665263.341746272	4143510.282419748	67106220.6933725	66031039.9271142	67099649.978477225	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)			0	1.6065896805571963e-06	-3.935566104374509	True	0.00020876826722338206	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	7723476.360073011	6029981.424384062	4372264.475153732	60881583.91177555	60943157.08945255	63887696.47477853	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			0	2.2765431994941474e-06	-3.3569600494658256	True	0.0002348643006263048	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	2526682.5055466318	2855504.7707378147	3220072.9127920005	42367846.48258687	42330537.54524406	41159795.62563396	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			0	3.7686625062675287e-06	-3.8709394030111977	True	0.00026096033402922753	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
