protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	27395226.340818208	27647076.30990604	26084884.442606576	58772343.67979457	60305407.892240055	60608252.35910157	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	2.08107528712512e-06	-1.1472206669834892	True	2.6096033402922757e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	79282571.77721192	82528750.27294229	81069842.31280813	189268820.0072588	185796809.43839705	184440452.4380836	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	2.33332270586672e-06	-1.2039032014105593	True	5.2192066805845514e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	29088797.31078608	27995634.113538515	28311511.32712661	67779673.92967927	67618098.87646367	67319866.78600314	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	5.731786466386727e-06	-1.2472321985364907	True	7.828810020876828e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	22691733.742321864	21450917.234312136	22436280.00493533	45422354.05199143	44770859.90285207	44697547.8266487	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	6.507714761973232e-06	-1.018653935018828	True	0.00010438413361169103	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	7988232.673229323	7438597.971271627	7605902.939661986	16580989.977428189	17311893.607798714	17193340.580396783	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	1.1728230002473603e-05	-1.1492486645752757	True	0.00013048016701461377	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	11037928.061738878	9966674.500254951	10811949.518138766	23138199.291616216	22161089.513131835	22186770.14546592	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)			0	1.3088891677286858e-05	-1.0848120046228185	True	0.00015657620041753656	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	18039115.06826978	16505292.964058856	16296925.557144906	35750169.82067074	37252642.2690736	36865635.21127787	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)			0	1.4103463827454442e-05	-1.1117033452541158	True	0.00018267223382045932	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	27264582.35771485	26342709.286614746	26714606.76377752	59950543.60871067	61065772.69760943	59184302.56831199	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	1.7837520549975807e-05	-1.1657386929985212	True	0.00020876826722338206	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	13119100.268000768	11986017.534054684	11859214.730834292	27490015.05850693	27641716.22663045	26216981.23094471	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			0	1.855896895396569e-05	-1.1379856501929475	True	0.0002348643006263048	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	11557307.022972792	12565087.602669716	12279712.407148631	29113219.05291893	30668007.60304831	30067771.526536863	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	1.8783231708311215e-05	-1.303480458602225	True	0.00026096033402922753	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	79550371.95204414	77048069.21291925	77554337.2092499	180266296.6349372	182685489.11793208	177067515.19455177	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	1.9915214615336528e-05	-1.205560815226567	True	0.00028705636743215035	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	5525369.935216189	5849832.374307165	6209610.7426971	12478338.780294206	11885684.084879924	12254782.31988591	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)			0	2.015080581586542e-05	-1.058254721541007	True	0.0003131524008350731	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	22771886.087132264	22653103.58231624	21151349.717832725	53311241.63414917	53033982.250078425	50781775.61688549	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	2.3336916594827153e-05	-1.2388496505317843	True	0.0003392484342379958	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	24588382.06487565	25634453.28880949	25177501.94596031	58160840.04957158	58669106.86231761	60237889.25658025	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	2.638427618722795e-05	-1.2316592922959684	False	0.00036534446764091864	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	10642647.730033398	10424353.942921782	10085184.861947509	25414944.515934072	24855687.45376117	25983183.6852976	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			0	3.736492324514876e-05	-1.29147610235167	False	0.00039144050104384135	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.6609640474436812
