Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				4567760.0	4700270.0	47849.9	4547910.0	219551.0	82659.6	2	4.1367736641595804e-07	-5.302585631768303	True	2.612330198537095e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				4490380.0	4313360.0	47849.9	4458000.0	256693.0	82659.6	2	1.236863212704679e-06	-5.098037998225316	True	5.22466039707419e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				16675700.0	16369700.0	1039650.0	17198600.0	1227970.0	269738.0	0	2.82033937692657e-06	-4.3075523328279175	True	7.836990595611286e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A6X7	P0A6X7		ihfA		57406000.0	58139700.0	48865400.0	57718500.0	48469800.0	48300600.0	0	7.4321490320988965e-06	-0.25060855386118674	True	0.0001044932079414838	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				7750300.0	7567670.0	3978320.0	7868400.0	3925070.0	3767220.0	0	9.119443712008537e-06	-0.9903970030719537	True	0.00013061650992685477	True	False	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0AA25	P0AA25		trxA		31274800.0	31050400.0	28326300.0	31205100.0	28180500.0	28311000.0	0	1.0551527694909878e-05	-0.1410667521697175	True	0.00015673981191222572	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1089170.0	1123250.0	47849.9	1154770.0	76726.4	82659.6	3	1.1868626125971404e-05	-4.022199278727223	True	0.00018286311389759666	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P18355	P18355				1768190.0	1897930.0	3170310.0	1772940.0	3278410.0	3264170.0	0	1.9009721872281633e-05	0.8365432822503197	True	0.0002089864158829676	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				3737910.0	3860020.0	47849.9	3829840.0	76726.4	82659.6	3	2.7957909568779903e-05	-5.7851261487886445	False	0.00023510971786833856	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0AEX9	P0AEX9		malE		7960960.0	8058710.0	6623770.0	7907050.0	6745950.0	6676130.0	0	3.244714425126723e-05	-0.25531904516146925	False	0.00026123301985370953	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
