Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				12003600.0	12028000.0	962989.0	11851300.0	1094290.0	890661.0	0	1.9642648018255287e-08	-3.605517424941767	True	2.623294858342078e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				2074470.0	2017680.0	228238.0	2108630.0	225435.0	326807.0	0	3.0912893342467958e-06	-2.990016136067995	True	5.246589716684156e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P09373	P09373		pflB		308032000.0	306119000.0	284229000.0	308184000.0	285078000.0	282624000.0	0	1.8965148456115398e-05	-0.11455425733674122	True	7.869884575026234e-05	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				4357400.0	4295930.0	53024.4	4388280.0	56478.2	66725.8	3	2.7395012494803726e-05	-6.209531732711299	False	0.00010493179433368311	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				11269800.0	11012300.0	53024.4	11192500.0	56478.2	66725.8	3	4.5048376386918004e-05	-7.569476566352073	False	0.00013116474291710389	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5909720.0	5861710.0	53024.4	6013060.0	56478.2	66725.8	3	5.0581793303189573e-05	-6.657029353279277	False	0.00015739769150052469	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				11554500.0	11992500.0	849690.0	12948400.0	981490.0	66725.8	1	5.262336992846105e-05	-4.265234340411552	False	0.00018363064008394546	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A972	P0A972		cspE		157565000.0	155937000.0	220508000.0	163770000.0	226205000.0	222614000.0	0	6.061520787373576e-05	0.4878995117567069	False	0.00020986358866736623	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P42628	P42628		yhaO		8805890.0	9012040.0	11357100.0	8831620.0	11252700.0	11341200.0	0	6.740971863663714e-05	0.34934289646894506	False	0.000236096537250787	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				13468400.0	13080100.0	53024.4	13281800.0	56478.2	66725.8	3	7.046152091019953e-05	-7.82027609603607	False	0.00026232948583420777	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
