protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	24891.38117493505	75434.79688000007	84320.20227959774	632444.7288441549	673623.9742072192	599684.8493840966	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			2	4.08270037680671e-05	-3.3675246789317805	False	2.6581605528973953e-05	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P69908	8228909.971980183	7986103.387845289	8178234.190007141	6123775.874673455	5968364.8780370895	6248675.861482762	P69908	P69908		gadA	0	5.4768476498580097e-05	0.4114239659321955	False	5.3163211057947905e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P18355	3356940.734769891	3262498.5000000023	3299242.2678672154	2250466.216490656	2369276.8592636203	2252523.512642608	P18355	P18355			0	6.81744877223639e-05	0.5293623524146667	False	7.974481658692186e-05	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AFK9	36146091.40730583	35942251.719644375	36497254.06072901	40459833.82926363	40557337.36353571	39777417.72725173	P0AFK9	P0AFK9		potD	0	0.0003715856070195688	-0.1537230730416059	False	0.00010632642211589581	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P33593	721836.8482946884	628053.8125000006	717380.8900259567	42362.623274254256	68299.23859858318	20704.41110849964	P33593	P33593		nikD	3	0.00048342546739109794	3.9760610791355333	False	0.00013290802764486976	False	True	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	104799.40193022147	143568.92080506452	121642.93922081258	989495.9432911634	1011481.0075724825	903940.2869066056	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	0.0005354287797750155	-2.9728559737361313	False	0.00015948963317384372	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0A6R3	9514582.138621371	9409756.681563392	9046990.98543727	11457599.307825716	11227502.879338156	11011279.305882107	P0A6R3	P0A6R3		fis	0	0.000595465089289529	-0.26864483134400435	False	0.00018607123870281766	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P28635	63252422.35074951	62832350.85670883	62388745.77436531	56888168.27162174	55391730.35720431	55736886.35147224	P28635	P28635		metQ	0	0.0007779553463189076	0.16575646901141866	False	0.00021265284423179162	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A796	148430324.55363584	146417869.0797587	147943926.21766698	155431521.0754163	156935555.72915298	154665595.38391495	P0A796	P0A796		pfkA	0	0.0008919465014638394	-0.07689393260344314	False	0.00023923444976076556	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A9U1	571762.7325910986	547689.5625000006	549359.3250227484	444003.86688674026	433304.1876678632	434983.71582293353	P0A9U1	P0A9U1		ybhF	0	0.0013025622531125942	0.34673258923905964	False	0.0002658160552897395	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
