Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A8J4	0.09508137474069099	-0.05287677644785305	1.0219045476213928	non_sig	ybeD		False	False	0.012804561949196476	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0ACD4	0.09558734772985837	0.049402747548121795	1.0195995886312854	non_sig	nifU		False	False	0.012830482115085537	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A6F3	0.09582566765227019	0.0377124062468539	1.0185181461754975	non_sig	glpK		False	False	0.012856402280974599	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P76273	0.0960432707270164	0.2603331138790139	1.0175330585847302	non_sig	rsmF		False	False	0.01288232244686366	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P25519	0.09614280526922396	-0.06021697508900559	1.0170832101128224	non_sig	hflX		False	False	0.012908242612752722	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P50456	0.09737068805921309	-0.13244789352321362	1.0115717610888628	non_sig	mlc		False	False	0.012934162778641786	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0AED0	0.09806892828319519	0.1252779806746318	1.0084685707307395	non_sig	uspA		False	False	0.012960082944530845	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A7Y0	0.09838573822937167	0.0309496113975527	1.0070678513367934	non_sig	rnc		False	False	0.012986003110419907	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P68567	0.09901809400896887	0.09023991302898082	1.0042854376223298	non_sig	rsmJ		False	False	0.013011923276308969	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0AF08	0.09926381443637677	0.1434830009839203	1.0032090400711908	non_sig	mrp		False	False	0.013037843442198032	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P24192	0.09940802690557263	0.7064806357567583	1.0025785461856906	non_sig	hypD		False	False	0.013063763608087094	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P26612	0.09944983450494027	0.21901980138847676	1.0023959352509686	non_sig	amyA		False	False	0.013089683773976154	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P75849	0.10004015256696902	0.09350882754321788	0.9998256546170424	non_sig	ycbL		False	False	0.013115603939865215	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A9P4	0.10037309879731904	-0.11582826005308178	0.9983826677621098	non_sig	trxB		False	False	0.013141524105754277	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P46854	0.10055934059102413	-0.08150797306987201	0.997577583160389	non_sig	yhhY		False	False	0.01316744427164334	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A8F8	0.10168681374461416	-0.13314489078813452	0.9927353606391194	non_sig	uvrB		False	False	0.013193364437532402	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A9A2	0.10219291568172793	0.35638257558152375	0.9905792097489917	non_sig	ftnB		False	False	0.013219284603421462	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A894	0.10363952814843563	0.04575641768136762	0.984474572944001	non_sig	yhbJ		False	False	0.013245204769310523	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P16676	0.10418266635604338	-0.1062229422042904	0.9822045318246297	non_sig	cysA		False	False	0.013271124935199587	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P30014	0.10420593879126511	0.08546560370955092	0.9821075294935079	non_sig	rnt		False	False	0.013297045101088648	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P25524	0.10467220497924448	0.1206177750115458	0.9801686270767838	non_sig	codA		False	False	0.01332296526697771	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P15254	0.10477554411697795	-0.024707695035456112	0.9797400751241592	non_sig	purL		False	False	0.01334888543286677	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P77475	0.10508315017659323	-0.2400020533110343	0.9784669164359789	non_sig	yqaB		False	False	0.013374805598755833	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P33030	0.10593422378670826	-0.07911666897074099	0.9749637112753458	non_sig	yeiR		False	False	0.013400725764644895	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P17854	0.1060854934448598	0.06888989381620192	0.9743439992049815	non_sig	cysH		False	False	0.013426645930533956	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P60472	0.10679081402812639	-0.05139437117722068	0.9714661030047684	non_sig	ispU		False	False	0.013452566096423018	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0AAI5	0.10711420649203662	0.054488085349007065	0.9701529251351646	non_sig	fabF		False	False	0.01347848626231208	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P07021	0.10757589174891125	-0.21751595157244452	0.9682850451522048	non_sig	yfiB		False	False	0.013504406428201141	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P45568	0.10831501472904273	0.2120788635976112	0.965311336892787	non_sig	dxr		False	False	0.013530326594090203	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A720	0.10838394660138859	-0.07876518700832591	0.9650350390036508	non_sig	tmk		False	False	0.013556246759979265	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A8Z3	0.10951396268816156	0.40521194177536657	0.9605305061038688	non_sig	ybgC		False	False	0.013582166925868328	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0AAZ7	0.1100357704815535	0.06471374808453945	0.9584661112287755	non_sig	ycaR		False	False	0.013608087091757388	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
Q47622	0.11042498541910903	0.10649317747373743	0.9569326494152892	non_sig	sapA		False	False	0.01363400725764645	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P23886	0.11044285384041776	-0.3322941478439496	0.9568623797298733	non_sig	cydC		False	False	0.013659927423535511	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P30749	0.11072339315895197	0.13027659886446585	0.9557606135698602	non_sig	moaE		False	False	0.013685847589424573	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0A921	0.11112526535162147	0.15305614834043269	0.9541871889858929	non_sig	pldA		False	False	0.013711767755313636	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P30870	0.11126184857768348	-0.12196079236223767	0.9536537286804873	non_sig	glnE		False	False	0.013737687921202696	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0ABC3	0.11127523346828211	-0.038346181690641856	0.953601485844539	non_sig	hflC		False	False	0.013763608087091758	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P31119	0.11181692050256892	-0.2164083262760883	0.951492472613544	non_sig	aas		False	False	0.01378952825298082	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P56262	0.11189030637328036	-0.3095893886219301	0.9512075369832741	non_sig	ysgA		False	False	0.013815448418869882	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P27238	0.11302759363535264	-0.09546225971529054	0.9468155184578098	non_sig	yfeD		False	False	0.013841368584758944	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P0ADA1	0.11348798796333996	0.1624840776585117	0.9450501035572892	non_sig	tesA		False	False	0.013867288750648004	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
P76177	0.11359869931286998	0.029355484994795233	0.9446266411996227	non_sig	ydgH		False	False	0.013893208916537066	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.160964047443681
