Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2986870.0	2854570.0	34604.9	194282.0	52355.4	2987270.0	2	2.220302503027431e-06	-4.972317151906861	True	2.6082420448617632e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)				1269170.0	1277730.0	370276.0	365138.0	356952.0	1250810.0	0	2.975217912675964e-06	-1.7976734270039265	True	5.2164840897235264e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				1588400.0	1627110.0	34604.9	50995.1	52355.4	1563950.0	3	3.809960708765196e-05	-5.114573792270022	False	7.82472613458529e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5524160.0	5335890.0	34604.9	50995.1	52355.4	5587110.0	3	0.0001783882248413657	-6.89749274971423	False	0.00010432968179447053	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				5929960.0	5846720.0	727113.0	50995.1	52355.4	5524450.0	2	0.00017848409226173167	-4.380805697224825	False	0.00013041210224308815	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0ABJ1	P0ABJ1		cyoA		2321050.0	2300640.0	2083630.0	2115220.0	2076400.0	2352580.0	0	0.0003594844735005126	-0.15236928149233003	False	0.0001564945226917058	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				2557360.0	2444290.0	34604.9	50995.1	52355.4	2369120.0	3	0.0004540781651960661	-5.739541506335362	False	0.00018257694314032343	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2665710.0	2569850.0	34604.9	50995.1	52355.4	2468240.0	3	0.0004551180962570606	-5.803296415108684	False	0.00020865936358894105	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				2568960.0	2718350.0	1404600.0	1320730.0	1396540.0	2774500.0	0	0.0005069139770001655	-0.9678047779689487	False	0.00023474178403755868	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				2199020.0	2319700.0	34604.9	50995.1	52355.4	2384760.0	3	0.0005140859350190036	-5.645049964129005	False	0.0002608242044861763	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				2398850.0	2340460.0	34604.9	50995.1	52355.4	2537210.0	3	0.0005396712454238484	-5.720974811158531	False	0.000286906624934794	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				6911600.0	6976190.0	34604.9	50995.1	52355.4	7466900.0	3	0.0006068167525060144	-7.274207215378977	False	0.0003129890453834116	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
