Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				703154.0	760602.0	29358500.0	29385500.0	676879.0	29274400.0	0	1.5214004556298186e-10	-5.3616944189806786	True	2.598752598752599e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				656204.0	706519.0	15478700.0	15559600.0	598204.0	15650800.0	0	2.466385046294068e-08	-4.573478044798158	True	5.197505197505198e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)				1134550.0	872057.0	13772600.0	13592400.0	843841.0	13432200.0	0	8.187781418153732e-08	-3.8392095522121634	True	7.796257796257798e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				3289480.0	3300710.0	18531900.0	18493500.0	3049370.0	18664700.0	0	1.1630921476168637e-07	-2.530381682300661	True	0.00010395010395010396	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1474100.0	1636190.0	33487400.0	33369100.0	1711420.0	33028700.0	0	2.8803022808259e-07	-4.37265414129331	True	0.00012993762993762994	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				354586.0	299001.0	18479800.0	18407300.0	267844.0	18616200.0	0	5.175194821002503e-07	-5.912553604741909	True	0.00015592515592515596	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				543579.0	667940.0	12492500.0	12959100.0	353828.0	12741600.0	0	9.220499370398713e-07	-4.608761391859953	True	0.00018191268191268192	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				10951.5	333294.0	5828110.0	6076860.0	266280.0	5944480.0	1	3.0764021284214857e-06	-4.869684256612229	True	0.0002079002079002079	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				2149770.0	1807460.0	21352800.0	21275700.0	1239860.0	21792200.0	0	3.311617682158241e-06	-3.631748389196975	True	0.0002338877338877339	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				10951.5	80563.1	4305830.0	4168440.0	63941.4	4281030.0	3	4.02710336891211e-06	-6.358446720575835	True	0.0002598752598752599	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				802343.0	717547.0	25463100.0	26060500.0	576552.0	25667100.0	0	5.600024297052797e-06	-5.202412218498805	True	0.0002858627858627859	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
