Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P33590	P33590		nikA		3573500.0	3528220.0	3544550.0	3407000.0	3425370.0	3383870.0	0	0.30560705071315497	-0.031027163338734294	False	0.026894142933906504	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AEX5	P0AEX5		prkB		1839110.0	1823260.0	2132830.0	1847180.0	1928930.0	1876700.0	0	0.3065715199278049	-0.08918353818533628	False	0.02692101020956475	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A910	P0A910		ompA		600578000.0	587346000.0	616422000.0	601304000.0	586119000.0	570993000.0	0	0.3067882697495398	-0.03521185149563548	False	0.026947877485223003	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P39274	P39274		yjdJ		4002700.0	3578380.0	4525560.0	3601760.0	3352420.0	3323280.0	0	0.3072222531956684	-0.17775825451428817	False	0.02697474476088125	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0C0T5	P0C0T5		mepA		712534.0	658985.0	605622.0	522303.0	601942.0	541759.0	0	0.30758636346171253	-0.15621789176010908	False	0.027001612036539495	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P32132	P32132		typA		41568000.0	42190200.0	41724200.0	42093200.0	42477100.0	42688200.0	0	0.3080996167315797	0.013726035887705665	False	0.027028479312197744	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P19624	P19624		pdxA		511746.0	521850.0	496764.0	478772.0	533872.0	477675.0	0	0.3084940474341797	-0.061223974225044935	False	0.02705534658785599	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P06715	P06715		gor		4660330.0	4818460.0	4778590.0	4904890.0	4827170.0	4766790.0	0	0.3095982218131869	0.02248155372588459	False	0.027082213863514244	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P33232	P33232		lldD		1694190.0	1641960.0	1947020.0	1495000.0	1531350.0	1547630.0	0	0.31031052612780147	-0.14295568767441985	False	0.02710908113917249	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P23871	P23871		hemH		2309830.0	2510590.0	2325400.0	2395900.0	2396040.0	2335720.0	0	0.31043327594459874	0.04264471590082382	False	0.027135948414830736	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P42641	P42641		obgE		7902870.0	8053520.0	7932420.0	7815910.0	7620960.0	8024120.0	0	0.31048511041338717	0.026648833977355242	False	0.027162815690488985	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P30014	P30014		rnt		5510680.0	5548820.0	5578940.0	5402580.0	5553230.0	5512650.0	0	0.31084504954987413	-0.015583239826403267	False	0.027189682966147235	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AG78	P0AG78		sbp		830966.0	841274.0	852141.0	766210.0	868997.0	842507.0	0	0.31182291617337643	-0.058910671597623504	False	0.027216550241805484	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P10903	P10903		narK		2386790.0	2471820.0	2395860.0	2476970.0	2192400.0	2319720.0	0	0.31280446905225134	0.05945609200800627	False	0.02724341751746373	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AEE3	P0AEE3		degS		1113860.0	1111820.0	1057360.0	1111510.0	1037690.0	1078370.0	0	0.3129418867067123	0.041125712587383886	False	0.027270284793121977	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P64451	P64451		ydcL		1558420.0	1546210.0	1569450.0	1552930.0	1647220.0	1564390.0	0	0.31365748172027696	-0.034105526913902603	False	0.02729715206878023	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AG84	P0AG84		yghA		998243.0	991023.0	916012.0	823003.0	965161.0	859008.0	0	0.3141334465376534	-0.10729804726525571	False	0.027324019344438476	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
