Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AB38	1.518144567371849e-06	0.5663350030930374	5.818686870191278	non_sig	lpoB		False	True	2.612330198537095e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P37908	3.913612483066699e-06	0.3349467672397495	5.407422179392802	non_sig	yfjD		False	True	5.22466039707419e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A972	4.150402177590676e-06	0.7799259665011817	5.381909817734756	non_sig	cspE		False	True	7.836990595611286e-05	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A9P0	6.612590523038428e-06	0.09829046896379623	5.179628369643036	non_sig	lpdA		False	True	0.0001044932079414838	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7L3	9.874185553314937e-06	-0.2712409597960459	5.00549871588258	non_sig	rplT		False	True	0.00013061650992685477	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7Q1	1.1396883896587617e-05	0.7336568879622547	4.943213875988858	non_sig	rpmI		False	True	0.00015673981191222572	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7W1	1.4157785631461731e-05	0.23724965359610195	4.8490046677790355	non_sig	rpsE		False	True	0.00018286311389759666	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P77330	1.9546107832637983e-05	0.4727582895533473	4.7089397096284245	non_sig	borD		False	True	0.0002089864158829676	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P18355	1.9609345189458616e-05	0.8553348153109752	4.707536908389987	non_sig			False	True	0.00023510971786833856	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P75821	2.5925446967334157e-05	-0.12063908271959178	4.586273747425961	non_sig	ybjS		False	True	0.00026123301985370953	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P26612	3.2105366932308124e-05	0.34554358745789315	4.493422362166549	non_sig	amyA		False	False	0.0002873563218390805	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7M6	3.5927187074849694e-05	-0.46900307500531824	4.444576784623731	non_sig	rpmC		False	False	0.00031347962382445143	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AAJ8	3.93143920143403e-05	0.13329256955283242	4.4054484361838755	non_sig	hybA		False	False	0.00033960292580982235	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AF98	4.9597384661212665e-05	-0.3502194294143983	4.304541223855568	non_sig	lptF		False	False	0.0003657262277951933	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AA04	7.086116063014024e-05	0.7816988354333922	4.149591738664745	non_sig	ptsH		False	False	0.00039184952978056425	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	7.240469126871755e-05	-1.2015812434807316	4.140233293939427	non_sig			False	False	0.0004179728317659352	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AEX9	9.821655083804232e-05	-0.21272829340629684	4.007815321459837	non_sig	malE		False	False	0.0004440961337513062	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7R5	0.00010254331951796857	0.28196120505222666	3.9890926277479535	non_sig	rpsJ		False	False	0.0004702194357366771	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P69908	0.00012404631810043737	0.5627305761286898	3.9064161217778555	non_sig	gadA		False	False	0.0004963427377220481	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P68919	0.00014690700100796703	0.20277656278805622	3.8329575069553012	non_sig	rplY		False	False	0.0005224660397074191	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7S9	0.00016441646966227418	-0.19278871888004545	3.7840546811682985	non_sig	rpsM		False	False	0.00054858934169279	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P23830	0.00016529668993819633	-0.1848188382299476	3.781735843076885	non_sig	pssA		False	False	0.000574712643678161	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	0.000179444703542144	-2.1647882742938584	3.7460693557000178	down		ids:P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	True	False	0.0006008359456635319	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P24205	0.00021718902082576682	-0.5735271364993153	3.663162132652723	non_sig	msbB		False	False	0.0006269592476489029	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P36979	0.00022504237571214245	-0.12058173350228074	3.6477356960880205	non_sig	rlmN		False	False	0.0006530825496342738	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P68679	0.0002539136021277665	-0.12735223903080595	3.5953140333885827	non_sig	rpsU		False	False	0.0006792058516196447	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P68066	0.0002567293733060528	-0.07731880086552323	3.590524439334249	non_sig	grcA		False	False	0.0007053291536050157	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AC02	0.00025733521926759304	0.10384745287368702	3.589500771555529	non_sig	bamD		False	False	0.0007314524555903867	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A873	0.00027701608950882054	-0.057620058056222945	3.5574950057298884	non_sig	trmD		False	False	0.0007575757575757577	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	0.0002918759403652915	-3.4935451230430594	3.534801702878509	down		ids:P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	True	False	0.0007836990595611285	True	Human	True	False	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0ACI0	0.0003050462165534528	-0.15193160517746662	3.515634357133314	non_sig	rob		False	False	0.0008098223615464995	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P76268	0.00031853467509605787	-0.10396727017459284	3.496843284260533	non_sig	kdgR		False	False	0.0008359456635318704	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AAC0	0.00032620951311849154	-0.16447472685266717	3.4865033779535497	non_sig	uspE		False	False	0.0008620689655172415	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P15043	0.0003361878468327622	0.4046365133571044	3.473417990328042	non_sig	recQ		False	False	0.0008881922675026124	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P09029	0.0003424566057052552	-0.2657564820004268	3.4653944521912052	non_sig	purK		False	False	0.0009143155694879833	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A825	0.0003507577293073944	0.10009950829724801	3.454992750068484	non_sig	glyA		False	False	0.0009404388714733542	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A9Y6	0.00036802995070367136	0.18949303833433007	3.434116836500288	non_sig	cspC		False	False	0.0009665621734587253	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A884	0.0003696277853720454	-0.1324785604960823	3.432235389778233	non_sig	thyA		False	False	0.0009926854754440963	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A8W5	0.0003720776489948209	-0.12597535223772027	3.429366417615552	non_sig	yqgE		False	False	0.0010188087774294671	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P76548	0.0003783920803704612	-0.31737396479199376	3.422057961824686	non_sig	yffQ		False	False	0.0010449320794148381	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P63284	0.00039366211770497047	-0.04498208260630321	3.4048763755660394	non_sig	clpB		False	False	0.0010710553814002092	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AA25	0.00040360542486900486	-0.08624959921878883	3.394043005034631	non_sig	trxA		False	False	0.00109717868338558	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P52614	0.0004168585004641525	0.7778845165278376	3.3800113380627494	non_sig	fliK		False	False	0.0011233019853709508	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P25746	0.00043399398536883343	-0.19711110476884386	3.362516289241468	non_sig	hflD		False	False	0.001149425287356322	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P69441	0.0004397390245679604	-0.1276170461927677	3.3568049912771074	non_sig	adk		False	False	0.0011755485893416929	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P45795	0.00044032956066447713	-1.0589313666956777	3.356222158050522	non_sig	yrdB		False	False	0.0012016718913270639	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
P0ABV6	0.00044554932730525305	-0.4293232743882669	3.3511042076976447	non_sig	tolR		False	False	0.0012277951933124347	True	Ecoli	False	True	False	True	msfragger	AlphaPeptStats	mean	1.660964047443681
