Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P31825	0.06310272417951748	-0.1592636723637284	1.1999518916180791	non_sig	yfiC		False	False	0.017256637168141593	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P76002	0.0631321472625115	0.1549384533214635	1.1997494391155288	non_sig	pliG		False	False	0.01728266527850078	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P05793	0.06317700369700982	0.0375331665879024	1.1994409752765836	non_sig	ilvC		False	False	0.01730869338885997	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A7V3	0.06346390967641877	0.03252328826669526	1.197473176821287	non_sig	rpsC		False	False	0.01733472149921916	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P23003	0.06398648372383664	0.03245630887688833	1.1939117551425746	non_sig	trmA		False	False	0.017360749609578344	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P09126	0.0640740389739887	0.061197933493197354	1.193317898938859	non_sig	hemD		False	False	0.017386777719937532	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P0AG40	0.06424103676593784	-0.07547613208031834	1.1921874587304262	non_sig	ribF		False	False	0.01741280583029672	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P24215	0.06431017623641366	0.08269988497875502	1.1917203002695556	non_sig	uxuA		False	False	0.017438833940655908	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P0A786	0.06442986983639201	-0.058504555149543336	1.1909127460305557	non_sig	pyrB		False	False	0.0174648620510151	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
P31475	0.06444150924300011	-0.050411748572553705	1.1908342968029246	non_sig	yieP		False	False	0.017490890161374284	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	mean	1.660964047443681
