Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0ADQ2	0.8409484601923135	0.005093360180325135	0.07523062030194269	non_sig	yiiD		False	False	0.04530666666666667	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AE48	0.8413460625594082	-0.005421119539178676	0.07502533339777605	non_sig	ytfP		False	False	0.04533333333333334	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A8L5	0.8419778972099213	0.020477747057540796	0.07469930902975445	non_sig	ycgN		False	False	0.045360000000000004	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A6K1	0.8420156737542009	-0.025745924678393095	0.07467982422291002	non_sig	dapF		False	False	0.04538666666666667	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P13024	0.843658562244343	0.002795004846863236	0.07383328149676945	non_sig	fdhE		False	False	0.04541333333333333	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AA53	0.8440269374627463	-0.019810846512005043	0.07364369246825567	non_sig	qmcA		False	False	0.04544	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P75767	0.8444792980340247	-0.021924815888937133	0.07341099246335557	non_sig	ybhK		False	False	0.04546666666666667	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A8U6	0.8451826299265608	0.003304277980028303	0.07304943708655241	non_sig	metJ		False	False	0.04549333333333334	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P62556	0.8452008794153527	-0.00466308424845252	0.07304005974438552	non_sig	sopA		False	False	0.045520000000000005	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A698	0.8465202333012942	0.0020251021277175596	0.07236265703988098	non_sig	uvrA		False	False	0.04554666666666667	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
