protein	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	2135798.675093641	2207881.653788676	2210678.436193217	3608903.36386428	3502036.4355095057	3525216.2572301645	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	9.43230451420832e-06	-0.6984503013177779	True	2.660989888238425e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	15355032.067253726	15512060.96538148	16329239.738640336	28171567.88092591	27152120.840061564	27201043.90470517	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	1.3540791813410684e-05	-0.8061517949398173	True	5.32197977647685e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P30847	63103.1433771473	34125.0	30681.02645179974	406023.00001707446	424197.6102600887	395649.7970341399	P30847	P30847		baeS	3	1.4702080497508327e-05	-3.2606148727413093	True	7.982969664715275e-05	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	1521906.3892168591	1628060.4120969404	1591858.650974047	2755062.766696271	2784789.138069593	2670691.931762868	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			0	1.6327741321315713e-05	-0.7920352261815998	True	0.000106439595529537	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	3913585.7746385336	3719477.535950266	3719593.316692229	5955396.372387716	6031722.847687408	6127119.3250233	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	1.7928308723428805e-05	-0.6740942204705166	True	0.00013304949441192123	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q47083	63103.1433771473	34125.0	30681.02645179974	403092.7138832973	423113.6100137645	447603.6192647393	Q47083	Q47083		cbl	3	3.0198139607293446e-05	-3.315958438494462	False	0.0001596593932943055	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	4044718.5909162	4174634.749831964	3984309.393714652	7763367.3789192755	7737476.969948862	7814459.913537171	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	3.171567186284247e-05	-0.9339630421722303	False	0.00018626929217668975	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	9245377.71848551	9646068.143725729	8926860.785726964	16747796.93280562	17506519.16026483	17600977.020058125	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)			0	3.2421127618453416e-05	-0.8984566561857321	False	0.000212879191059074	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	2261567.8317736858	2171462.8826395418	2291557.6318470654	4186477.0984599567	4064230.102970277	4258859.746608393	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)			0	3.655806213208049e-05	-0.8955139884607698	False	0.00023948908994145824	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P03023	63103.1433771473	34125.0	30681.02645179974	244573.40398398583	259413.0557651043	276747.4003786434	P03023	P03023		lacI	3	0.00010286303421542752	-2.609711145194376	False	0.00026609898882384245	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P52614	1215273.0984074085	1096669.2499999998	1157831.3277981544	292456.874052717	282167.1336861874	346796.7511365895	P52614	P52614		fliK	0	0.0001372887641804097	1.9129095566519752	False	0.00029270888770622675	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P36930	163038.25048458637	169519.9061999998	172509.51035440777	227842.91856640496	233900.60942197585	232182.03294408385	P36930	P36930		gatR	0	0.00013969572460977082	-0.4583042221386783	False	0.000319318786588611	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	2832461.3261894616	2845530.5843859846	2889065.890412752	5817577.863363799	5622093.728861499	5634920.733799956	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	0.00021658609485575826	-0.994979405718719	False	0.00034592868547099524	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	5811871.588269868	5339276.904231789	6142254.24113678	11318556.575683463	10522157.516378006	10326402.20966518	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	0.00029869894956862807	-0.8953648393590896	False	0.0003725385843533795	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	4645910.7513879705	4295842.435684879	4378973.175747194	8038307.054264187	7763640.181673503	8406011.513916677	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	0.00032416586376368136	-0.8618086813901827	False	0.0003991484832357637	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	21016880.025526173	21194214.45545052	21740282.256296106	35859500.89303654	34388505.691462375	34116223.0179973	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	0.0004130532769056195	-0.7065799963029388	False	0.000425758382118148	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	5605506.996250638	5307759.447625753	5294073.971025012	10656234.439387916	10355523.091997378	9888866.384895382	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	0.0004237092841060882	-0.9309886004281435	False	0.0004523682810005322	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	15805003.434200523	16073704.7647105	15089487.172576549	26270996.33721328	28290038.397896543	27146666.918259952	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			0	0.00043452031311349757	-0.7987879082670061	False	0.00047897817988291647	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	4429860.924776864	3900534.057634407	3724636.611671588	7492670.165299151	7082515.930748829	6784898.781472793	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)			0	0.0004650951585039103	-0.8252819478121222	False	0.0005055880787653008	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	576907.6460792994	673773.6875000002	617247.2010851413	1026190.7889950108	979965.155247728	934565.9379224364	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			0	0.0007668200809807794	-0.654731088418066	False	0.0005321979776476849	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.5
P0C0K3	9312691.863160402	9401755.399863124	9403459.75038918	8775131.097591957	8891710.30984708	8903749.737582693	P0C0K3	P0C0K3		rdoA	0	0.0008198384731407084	0.08165888445221141	False	0.0005588078765300693	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.5
P18355	2635603.7226493936	2777271.25	2620611.110879858	2016236.115589205	1877707.7061057044	2068814.9987893736	P18355	P18355			0	0.0008723754228032519	0.4300461882195015	False	0.0005854177754124535	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	0.5
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	1615893.1069845683	1626517.3633351792	1916889.7924494075	2844301.626764004	3040084.8097738395	3045150.259307955	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			0	0.0008874942682547342	-0.7914099124341313	False	0.0006120276742948378	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.5
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	606450.822033635	550665.8124999994	507773.44546964206	956588.665010781	927401.1747309132	983652.071264075	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)			0	0.0009033282597740369	-0.7844379523743644	False	0.000638637573177222	False	True	Human	True	False	False	False	msfragger	directlfq	min	0.5
