Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				131655.0	1749120.0	1728450.0	1721120.0	146680.0	129430.0	0	9.427898136702417e-08	-3.672338275439224	True	2.6343519494204427e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				25394.3	1396550.0	1405670.0	1319440.0	80644.9	33224.2	3	1.1260911829160623e-05	-4.887337444120712	True	5.2687038988408854e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P33593	P33593		nikD		594810.0	80442.6	75799.8	22402.9	667265.0	644534.0	3	4.013372173731285e-05	3.4158391481609596	False	7.903055848261329e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				68655.2	1540020.0	1501590.0	1416970.0	80644.9	33224.2	2	0.00013500310934590217	-4.610423851458382	False	0.00010537407797681771	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P17117	P17117		nfsA		4133880.0	4746780.0	4698340.0	4649110.0	4222180.0	4202400.0	0	0.00019516550021103364	-0.1664450999018509	False	0.00013171759747102212	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				326033.0	962081.0	935085.0	948784.0	387472.0	374676.0	0	0.00020531485915806956	-1.386991771831123	False	0.00015806111696522657	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)				25394.3	824636.0	796417.0	908440.0	80644.9	33224.2	3	0.0002414920514934459	-4.182960190446842	False	0.000184404636459431	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0AEX9	P0AEX9		malE		5938800.0	6464960.0	6367070.0	6464330.0	5860760.0	5839380.0	0	0.00024739872274476954	-0.12956486232033781	False	0.00021074815595363542	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				25394.3	582941.0	631674.0	533296.0	80644.9	33224.2	3	0.00029698201233953835	-3.6497436714143023	False	0.00023709167544783984	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				1003230.0	2004910.0	2212800.0	2174460.0	903189.0	1039820.0	0	0.00030559018276142834	-1.1174313102271716	False	0.00026343519494204424	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0A7N9	P0A7N9		rpmG		28491900.0	27558300.0	27363300.0	27399700.0	28343100.0	28405700.0	0	0.000334906694122979	0.05027667550106404	False	0.0002897787144362487	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				25394.3	589949.0	499997.0	513578.0	80644.9	33224.2	3	0.0003714176715955213	-3.5253578905510343	False	0.00031612223393045314	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				25394.3	1558470.0	1411700.0	1570670.0	80644.9	33224.2	3	0.0004200483626889143	-5.027071146927785	False	0.00034246575342465754	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				113507.0	475439.0	479783.0	400457.0	80644.9	33224.2	1	0.00043450923252430203	-2.5758630926274204	False	0.000368809272918862	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0A972	P0A972		cspE		125997000.0	112268000.0	111252000.0	113474000.0	125990000.0	123400000.0	0	0.0004472908361174922	0.15565578395309024	False	0.0003951527924130664	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P32176	P32176		fdoG		6415310.0	6520350.0	6547720.0	6533920.0	6387240.0	6386120.0	0	0.00044810867804860214	-0.030745405312819496	False	0.00042149631190727084	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
Q46829	Q46829		bglA		12086700.0	12779000.0	12627100.0	12662200.0	12054200.0	11926800.0	0	0.0005829228952723848	-0.0778827186302469	False	0.0004478398314014753	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				25394.3	1645000.0	1763200.0	1861960.0	80644.9	33224.2	3	0.0006649733170488095	-5.24195870592811	False	0.0004741833508956797	False	True	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
