Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P19931	P19931		hyaE		1380610.0	1426130.0	1305390.0	1475210.0	1302400.0	1358480.0	0	0.10501862221466961	-0.09498236412324623	False	0.021540880503144656	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P45464	P45464		lpoA		4266480.0	4025200.0	4309950.0	4086560.0	4074630.0	3974590.0	0	0.10508322368882404	0.06587964398291563	False	0.02156708595387841	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P42599	P42599		ygjR		477214.0	611848.0	587957.0	611409.0	555691.0	738228.0	0	0.10519893875170887	-0.27518503758465623	False	0.02159329140461216	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31142	P31142		sseA		6871760.0	6486180.0	6988340.0	6823530.0	7084180.0	6795690.0	0	0.10530006688235088	0.058973250572008355	False	0.02161949685534591	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)				2878040.0	3192670.0	2900770.0	2969520.0	2431790.0	3232540.0	0	0.10530141779698918	-0.19436404725910694	False	0.021645702306079668	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P29217	P29217		yceH		3301100.0	3175170.0	3269760.0	3170710.0	3453470.0	3218680.0	0	0.10540082322521706	0.06773530726176064	False	0.021671907756813418	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P36649	P36649		cueO		1834670.0	1596530.0	1930040.0	1709320.0	1750750.0	1763450.0	0	0.10590731157719901	0.121694669570814	False	0.021698113207547172	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACP5	P0ACP5		gntR		683424.0	600318.0	808574.0	698573.0	838026.0	663650.0	0	0.10607174529462829	0.24762202111122653	False	0.021724318658280922	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P69924	P69924		nrdB		2897060.0	3033320.0	2806230.0	2979210.0	2781560.0	2864520.0	0	0.10607218348419627	-0.0651911680476687	False	0.021750524109014676	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7E9	P0A7E9		pyrH		7345120.0	7893300.0	7599280.0	7556170.0	6975910.0	7872280.0	0	0.10627201282990295	-0.08940784723775302	False	0.02177672955974843	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27833	P27833		rffA		2191070.0	2156790.0	2281680.0	2152990.0	2238300.0	2199210.0	0	0.1063716565905896	0.04410480804865318	False	0.02180293501048218	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P32685	P32685		yjbD		946381.0	815355.0	1225770.0	719202.0	1129280.0	1017550.0	0	0.10655955458906906	0.37140267689143486	False	0.021829140461215937	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P07648	P07648		recC		1179690.0	1379960.0	1148860.0	1349830.0	1193060.0	1211310.0	0	0.10690151481979933	-0.16236320930590337	False	0.021855345911949688	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P00961	P00961		glyS		13192700.0	13604600.0	13199600.0	13713000.0	13245000.0	13312500.0	0	0.10693717407045204	-0.03569022251136644	False	0.021881551362683438	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P75780	P75780		fiu		550159.0	486399.0	556309.0	484309.0	605496.0	555640.0	0	0.10747623503374144	0.1655684371719303	False	0.02190775681341719	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P02919	P02919		mrcB		1723200.0	1835510.0	1629210.0	1754540.0	1659210.0	1711200.0	0	0.10751146462900968	-0.08105554961429597	False	0.021933962264150945	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
