Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00961	P00961		glyS		13563400.0	13555800.0	13530200.0	13665500.0	13807500.0	13590200.0	0	0.6413515394228274	0.005056604277742356	False	0.04072602013778485	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P69801	P69801		manY		1390260.0	1230210.0	1293280.0	1359100.0	1240120.0	1356300.0	0	0.643749435239087	-0.032953664193449916	False	0.04075251722310546	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06996	P06996		ompC		209707000.0	211454000.0	208783000.0	204326000.0	207930000.0	205059000.0	0	0.6442299459602665	-0.008594250154168303	False	0.04077901430842607	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7F3	P0A7F3		pyrI		1930780.0	2019360.0	2026370.0	2025230.0	2043840.0	1963230.0	0	0.64810676190996	0.0139527486948364	False	0.04080551139374669	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P30125	P30125		leuB		742514.0	792189.0	768349.0	788467.0	798601.0	710823.0	0	0.6485121973718599	-0.02847075145124795	False	0.04083200847906731	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P02943	P02943		lamB		1435430.0	1455620.0	1419030.0	1523680.0	1409850.0	1520160.0	0	0.6487705468558493	-0.021628228987380975	False	0.04085850556438792	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27828	P27828		wecB		2011380.0	1997530.0	2033160.0	2148340.0	2151940.0	2060870.0	0	0.6500637492633343	0.02063949314304367	False	0.040885002649708534	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAT9	P0AAT9		ybeL		7619500.0	7340620.0	7676810.0	7291050.0	7560740.0	7252740.0	0	0.6508619199509478	0.015421066850300829	False	0.040911499735029146	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGG2	P0AGG2		tesB		1077640.0	1122450.0	1088010.0	1019830.0	1104150.0	1075260.0	0	0.6527018964806475	0.02112706875238717	False	0.040937996820349765	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGC7	P0AGC7		smp		607280.0	558348.0	642967.0	596969.0	483756.0	562125.0	0	0.6536284437140478	-0.061663166428434675	False	0.040964493905670384	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
