protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P60651	47565206.51710263	46425724.1461407	46572490.45418355	48012246.46958233	49754074.4621882	48757316.50887912	P60651	P60651		speB	0	0.037713399117532936	-0.059912211353531156	False	0.0057682223387519665	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P09372	63557421.77388215	63049397.35646766	69403236.33116549	75591480.31627947	74114785.89011812	73602334.07507011	P09372	P09372		grpE	0	0.03788796483370523	-0.18811114716056865	False	0.005794441531200839	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P45577	96901077.18994255	95732541.72820392	97468429.42723928	98884521.9983924	102127907.37436956	100280398.56689586	P45577	P45577		proQ	0	0.03803445315107272	-0.05460584889978304	False	0.005820660723649712	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7W7	118493753.35396668	113584390.36749734	111506167.35399991	121123201.2163583	121504709.3234857	125265556.3103881	P0A7W7	P0A7W7		rpsH	0	0.03820943538737087	-0.09862389588397913	False	0.005846879916098584	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABD3	30821545.967015497	29116768.224260725	29531696.48185585	33189007.84620464	31152255.472254537	32327587.71390596	P0ABD3	P0ABD3		bfr	0	0.03833616414067735	-0.11164690596990916	False	0.005873099108547457	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P39396	10783600.287647633	11252142.993023112	11006651.867647812	10416696.492860127	10675608.856136398	10365689.258702716	P39396	P39396		yjiY	0	0.03865414853658271	0.07089156297573672	False	0.005899318300996329	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62399	848828591.8730456	838841901.1956466	833811942.961046	930030365.9904096	880034762.6934414	926242295.067415	P62399	P62399		rplE	0	0.03888177521011602	-0.11795815000949349	False	0.005925537493445202	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ACF4	104380657.2256946	105007675.05616651	101917395.80946724	95093986.05305228	94959528.11501284	100350877.02918154	P0ACF4	P0ACF4		hupB	0	0.03952158474036021	0.10026885449283171	False	0.005951756685894075	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6R0	62730937.772332095	61792254.09682554	60764235.04230294	68666681.35535361	65819851.67236612	64736742.45294482	P0A6R0	P0A6R0		fabH	0	0.039954277947911954	-0.10462122152588392	False	0.005977975878342947	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AAI9	31390439.19205966	31134024.49022973	32119522.77317195	28704840.932617337	30307416.93405226	28280127.887349397	P0AAI9	P0AAI9		fabD	0	0.040024021176071005	0.11665502454891476	False	0.00600419507079182	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
