protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P08200	100024667.1566112	98609475.5791692	96641030.47735842	92880961.16767658	104603668.45910431	101551215.1435393	P08200	P08200		icd	0	0.759782285145717	-0.018258367950191215	False	0.04312957157784745	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P11557	23604456.722710725	23723772.49919362	25755302.417015687	25040591.30719973	24039339.48439997	23126478.25584196	P11557	P11557		damX	0	0.7598980789648792	0.01741945492569386	False	0.04315569487983281	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62558	31166046.52565969	30744647.62209644	31178856.31805685	33185029.642459955	29561486.38594897	28953499.12012713	P62558	P62558		sopB	0	0.759975170766717	0.021697258607927084	False	0.04318181818181818	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P06996	783024576.7863708	785591097.7893592	868512119.5743865	793092399.0800347	805759847.1267643	808668669.8858418	P06996	P06996		ompC	0	0.7604156754758226	0.017633570756189557	False	0.04320794148380355	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P05041	8276880.983628632	7300006.325020232	7270956.124306967	8319870.25088818	7149975.899935144	7839724.019602898	P05041	P05041		pabB	0	0.7616269779817793	-0.028864403040407674	False	0.04323406478578892	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P11447	10499004.15463466	10260990.7924205	9656841.820100104	10814638.978156812	9496642.309559325	9622343.317282816	P11447	P11447		argH	0	0.7619104998880386	0.023103143604788944	False	0.0432601880877743	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AG40	9350548.311177654	8834816.470065437	9345394.330804223	8883161.929980442	9133090.57743819	9308163.340720512	P0AG40	P0AG40		ribF	0	0.7621906942103599	0.010853736511087451	False	0.04328631138975967	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P15005	737498.3737864587	713912.2500000008	856827.3078290856	798880.6321201848	752334.2550788836	706233.9804297223	P15005	P15005		mcrB	0	0.7630276707548999	0.03209863338843878	False	0.04331243469174504	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P60472	2643332.133377389	3005884.161491441	2876652.090096094	2681830.61049984	2813885.11924902	3219424.866485245	P60472	P60472		ispU	0	0.7630944148103096	-0.031677154302189134	False	0.04333855799373041	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P69407	19630127.83598528	20104764.038292784	19943843.4224866	15909731.376366789	21063568.159931645	20950057.2141683	P69407	P69407		rcsB	0	0.7637991630938001	0.04307175121841556	False	0.04336468129571578	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P60664	11632894.8795698	11634991.527317222	11646943.166251656	13533259.433270743	11271206.32107901	10944585.869951438	P60664	P60664		hisF	0	0.7651791232370616	-0.03406503894977881	False	0.04339080459770116	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9Q9	70453545.6452578	63599140.80402422	65023419.13660741	63877466.61444277	66461206.80040858	66496155.32894792	P0A9Q9	P0A9Q9		asd	0	0.7652967552849194	0.016334550260748298	False	0.04341692789968653	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFZ3	27609971.93049346	26550701.4041965	27913951.243381023	25238558.077140614	27445862.87574481	28384681.70190186	P0AFZ3	P0AFZ3		sspB	0	0.7658037177382258	0.017784071583016887	False	0.04344305120167189	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P32703	669449.2918047513	814773.8816589593	741014.3007270566	372817.1678474778	708838.1555186071	969397.3357516364	P32703	P32703		yjcE	0	0.7719612395852851	0.11759477434455663	False	0.04346917450365726	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P33667	882540.2024750194	908419.125	764208.4320352911	790836.1937470533	807540.1203376563	903983.1715347064	P33667	P33667		selU	0	0.7724394193408912	0.030128954365354958	False	0.04349529780564263	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7U7	110292345.67960744	109910331.93960056	106972854.49143876	86665012.6897497	116046657.55795418	114992670.64939722	P0A7U7	P0A7U7		rpsT	0	0.7746432596622856	0.04238005787420909	False	0.04352142110762801	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P39406	38179082.03513658	38180309.08058695	38506122.46135228	42546196.11059868	36869088.15453907	37246141.84641686	P39406	P39406		rsmC	0	0.7751447830588873	-0.022381897131326798	False	0.04354754440961338	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AGJ7	13757445.097259011	14403351.989492342	14185239.259091124	14838120.638026085	13394437.75925356	13659438.0484743	P0AGJ7	P0AGJ7		trmL	0	0.7763840393753245	0.01555229707958724	False	0.04357366771159875	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P04693	13119248.814492622	13188030.291462794	13164798.577951008	15092435.27817078	12872236.504595969	12327204.946773635	P04693	P04693		tyrB	0	0.7772786435080529	-0.029656545338825044	False	0.04359979101358412	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A749	54331275.23695516	50780182.05359532	51247421.39656502	53813624.720410295	51854361.36488496	51860625.10201818	P0A749	P0A749		murA	0	0.7810390000545415	-0.01075273875993648	False	0.04362591431556949	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P31545	1986635.2918602712	1895852.37669624	2061263.1197994284	2091248.6908557797	1988271.9869025485	1924643.400650275	P31545	P31545		efeB	0	0.782302855938719	-0.014589775326804983	False	0.043652037617554866	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P64429	3037070.688439659	2944655.5946065597	2821105.0053661577	2914989.860334177	3010709.3488623	2939722.61997849	P64429	P64429		ypfJ	0	0.7828529939893488	-0.010221660274609263	False	0.043678160919540236	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A8U6	23508863.90374292	24183397.3701389	24333397.49184544	24734059.99188055	23857557.501979392	22904231.57754561	P0A8U6	P0A8U6		metJ	0	0.7836337641981943	0.010651466838029035	False	0.043704284221525606	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P15042	48002667.349088304	46596618.276874	46968313.7261152	46097880.80014085	47372254.96390064	47550812.87702327	P15042	P15042		ligA	0	0.7840447440232879	0.005581622179702218	False	0.04373040752351098	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P06722	1804657.0329772085	1490407.4363595964	1680848.178764445	1703316.8676144914	1749407.2673143365	1613271.052319488	P06722	P06722		mutH	0	0.7847909499837862	-0.025884547223540787	False	0.04375653082549634	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ACB2	29710073.04125388	27680967.09696397	27096058.45057005	28875325.455953542	28262187.392405745	28106663.083326638	P0ACB2	P0ACB2		hemB	0	0.7849940190462835	-0.012870214695212226	False	0.04378265412748172	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P75728	2242271.211284893	2574957.1798057472	2397832.396768153	2681800.8596491218	2352159.740417382	2313702.5305373794	P75728	P75728		ubiF	0	0.7851770476683997	-0.026273934845283557	False	0.04380877742946709	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P46889	4907998.037855897	5359714.401825464	4922436.107917152	4555299.078930959	4990623.378887107	5393537.289231642	P46889	P46889		ftsK	0	0.7859228202869873	0.02400800116803208	False	0.04383490073145246	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A720	9275767.806020912	9583438.973447977	9231500.824443989	9907800.090037605	8858381.970030425	9013188.422071058	P0A720	P0A720		tmk	0	0.7873767854860516	0.016079060076528283	False	0.04386102403343783	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEV9	324000.7225273857	330271.31249999965	289739.6042684365	386826.4280559422	272441.9573126184	316422.1887155524	P0AEV9	P0AEV9		hycI	0	0.7892310147595235	-0.04761904324329887	False	0.0438871473354232	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P77625	23167412.36210652	22828642.89642861	22100459.061165944	18910097.289063893	22874826.82988718	24739891.06342337	P77625	P77625		yfbT	0	0.7910335550741088	0.03368835519461561	False	0.043913270637408575	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEN8	12372233.89535451	12580381.402658472	12533922.490755817	12527906.628553933	12467919.585264426	12550159.713821951	P0AEN8	P0AEN8		fucU	0	0.7915560806853981	-0.002286090053700374	False	0.043939393939393945	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P08179	1786646.3201203372	1909300.3901865988	2071021.7778476456	1253111.5655754113	2058391.02150406	2186458.1110377726	P08179	P08179		purN	0	0.792081125511074	0.06891654539014126	False	0.043965517241379315	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37650	6657347.917741312	6725005.569596341	6375746.156362951	7026064.081440068	6591303.704164437	6336436.820851789	P37650	P37650		bcsC	0	0.7931178238974088	-0.014219658830257876	False	0.043991640543364685	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A790	6871211.251776576	7634493.000000001	7764186.50832555	8505064.618071314	7234420.215039086	6993602.38761785	P0A790	P0A790		panD	0	0.7941568622425108	-0.029699138399835012	False	0.044017763845350055	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P28634	335611.9280924851	424046.2811999998	451054.1695360559	591286.6631698932	452108.5956075866	255977.9253607114	P28634	P28634		tsaA	0	0.7968179962871389	-0.10195966300020314	False	0.04404388714733543	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P43671	2584638.445734815	2454075.557142585	2335516.685475444	2861832.363923148	2426623.1904589785	2251543.8915148205	P43671	P43671		pqiB	0	0.7980002199805296	-0.032071868448284496	False	0.044070010449320796	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P60293	19682882.72449925	19202294.910732582	19207272.052225623	19549437.44186576	18758071.72364426	19531612.908037223	P60293	P60293		mukF	0	0.7987350014492218	0.006305013698277476	False	0.044096133751306166	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADW8	1313881.187124234	1368747.2500000012	1467886.887491418	1648886.861948427	1250683.9022586772	1106867.402003147	P0ADW8	P0ADW8		yheV	0	0.7989398576054075	0.050970260547753936	False	0.044122257053291536	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P05852	6962205.172528292	7149866.830939023	6919962.608214289	7662165.398077805	6701153.992275327	6317932.667678473	P05852	P05852		gcp	0	0.799035961638574	0.024264891159962124	False	0.044148380355276906	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0CG19	19756377.18146426	20131239.68852069	20657259.272614837	20633049.55451763	20260283.92206866	19251816.27451378	P0CG19	P0CG19		rph	0	0.8007991456246315	0.009556471416687322	False	0.04417450365726228	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P63228	6000555.77519339	5631341.065178678	5330323.417499746	6056538.910084927	5436900.336878095	5681755.161696861	P63228	P63228		gmhB	0	0.8018267287692072	-0.018001406409895625	False	0.04420062695924765	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P23894	9603083.633637244	10236516.838983765	9775094.059119117	9508824.780763945	10479954.763866058	9898409.02236542	P23894	P23894		htpX	0	0.8041770488454945	-0.013213986555982452	False	0.044226750261233023	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
