Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				41245.6	4092570.0	3986720.0	75754.0	27598.9	4014930.0	3	3.3254030268558914e-06	-6.386121330975312	True	2.6055237102657634e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				41245.6	1966800.0	1881920.0	75754.0	27598.9	1924790.0	3	3.667044630281148e-06	-5.319324179082167	True	5.211047420531527e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)				3891390.0	12499900.0	12691400.0	3794770.0	3399820.0	12364100.0	0	5.925882004966279e-06	-1.7602840542782747	True	7.816571130797291e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				41245.6	19227600.0	19073100.0	75754.0	27598.9	19315500.0	3	6.393566776911846e-06	-8.638278115878327	True	0.00010422094841063054	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				2279010.0	13835900.0	14080700.0	2675390.0	2140560.0	13827000.0	0	8.32307584666371e-06	-2.556688569198846	True	0.00013027618551328816	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A972	P0A972		cspE		378782000.0	226531000.0	222895000.0	388890000.0	383246000.0	228974000.0	0	9.77646887361324e-06	0.7625769737408624	True	0.00015633142261594582	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				41245.6	16718000.0	16479400.0	75754.0	27598.9	16677500.0	3	1.0065740784418937e-05	-8.430117551989957	True	0.00018238665971860346	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				41245.6	7226080.0	7334180.0	75754.0	27598.9	7402460.0	3	1.4566136012876623e-05	-7.24686034102457	True	0.00020844189682126107	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)				41245.6	8497320.0	8528230.0	75754.0	27598.9	8687540.0	3	1.8576441240773475e-05	-7.474306595785034	True	0.0002344971339239187	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)				41245.6	5767480.0	5973710.0	75754.0	27598.9	5889230.0	3	4.612965985722813e-05	-6.929870446893912	False	0.0002605523710265763	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
