Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AG27	0.7183043638893228	0.005449096928334285	0.143691495104644	non_sig	yibN		False	False	0.03905511811023622	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A9C5	0.7188583480404676	-0.003281242213649449	0.1433566794712808	non_sig	glnA		False	False	0.03908136482939633	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AG96	0.7189471477676035	0.027346592777682588	0.1433030348974478	non_sig	secE		False	False	0.03910761154855643	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P75691	0.7207549494951426	-0.017807575532092557	0.14221236658658346	non_sig	yahK		False	False	0.03913385826771654	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P18390	0.7209047689011521	0.02577338226523551	0.1421221015389916	non_sig	yjjA		False	False	0.039160104986876644	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ADX7	0.7218531600186511	0.07586738997426679	0.1415511379974509	non_sig	yhhA		False	False	0.03918635170603675	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P77150	0.7229157339529269	-0.012820242283247296	0.14091232291581443	non_sig	pdxY		False	False	0.03921259842519685	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P42599	0.723171922312461	0.09594480904466351	0.14075844401150947	non_sig	ygjR		False	False	0.03923884514435696	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P28629	0.7233432285280446	-0.008136883093467162	0.14065557976643295	non_sig	adiA		False	False	0.03926509186351706	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P63389	0.7243278212832185	-0.016271684925492025	0.1400648333168424	non_sig	yheS		False	False	0.03929133858267717	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P60723	0.7256707383722917	0.004999770847838647	0.13926038886507627	non_sig	rplD		False	False	0.03931758530183727	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P21420	0.7264492720376412	-0.014116947901992916	0.13879470709661462	non_sig	nmpC		False	False	0.03934383202099738	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P04951	0.7268966148863316	0.00835125589691188	0.13852735362131527	non_sig	kdsB		False	False	0.03937007874015748	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A8L7	0.727022107148524	0.02928543323557875	0.13845238299702786	non_sig	yciU		False	False	0.03939632545931759	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P38506	0.7274416973861639	0.0297856556368572	0.13820180855254255	non_sig	ygdG		False	False	0.039422572178477694	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P64483	0.7274719163810217	0.02607690133756435	0.13818376769761742	non_sig	yeaK		False	False	0.0394488188976378	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ACR4	0.7278296649566147	-0.009820250158487198	0.13797024736972002	non_sig	yeiE		False	False	0.0394750656167979	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A7E3	0.730279289797569	-0.0050162088350020895	0.13651101546723138	non_sig	pyrE		False	False	0.03950131233595801	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P06986	0.7327504567627349	-0.010184445733230518	0.1350439021703546	non_sig	hisC		False	False	0.03952755905511811	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ABQ2	0.7333763765292773	0.015177276046710375	0.13467308361487113	non_sig	garR		False	False	0.03955380577427822	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P39325	0.7341631419639685	0.030754220772791996	0.1342074226697745	non_sig	ytfQ		False	False	0.03958005249343832	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A6H5	0.7343406175158449	0.003817186586442034	0.1341024496280232	non_sig	hslU		False	False	0.03960629921259843	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0A759	0.7351609430384896	-0.019412921137988093	0.13361757381105382	non_sig	nagB		False	False	0.03963254593175853	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P67338	0.7374851205361045	0.0618618233801449	0.13224673756573466	non_sig	yoaH		False	False	0.03965879265091864	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0AE70	0.7388864633485696	-0.01914282780594334	0.13142228979103948	non_sig	mazF		False	False	0.039685039370078744	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
P0ACB4	0.7392407755993347	-0.014869917166517865	0.13121408598520928	non_sig	hemG		False	False	0.03971128608923885	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	1.660964047443681
