Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				11130.7	1608660.0	1551950.0	1613870.0	61623.2	15496.3	3	6.94136394427555e-07	-5.75760025617856	True	2.6371308016877638e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				11130.7	1169760.0	1203980.0	1219010.0	61623.2	15496.3	3	8.125694128481828e-07	-5.347345191334899	True	5.2742616033755275e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				11130.7	1235380.0	1256480.0	1199860.0	61623.2	15496.3	3	8.241700936322881e-07	-5.386549777173591	True	7.911392405063293e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				11130.7	1341310.0	1404420.0	1342810.0	61623.2	15496.3	3	1.7581040677194145e-06	-5.533842396783508	True	0.00010548523206751055	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0A7M9	P0A7M9		rpmE		35859400.0	39181000.0	39086900.0	39008900.0	35987700.0	35898200.0	0	1.8969785007410115e-06	-0.12229270560557344	True	0.00013185654008438817	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				11130.7	1832620.0	1803560.0	1913430.0	61623.2	15496.3	3	2.3307143908543535e-05	-5.974643031160966	True	0.00015822784810126585	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0AEK4	P0AEK4		fabI		54242800.0	60530800.0	60092200.0	59758300.0	53903800.0	54639100.0	0	4.599430984035315e-05	-0.14807581235989856	False	0.00018459915611814348	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				11130.7	1478020.0	1441720.0	1359060.0	61623.2	15496.3	3	7.900194787658538e-05	-5.599462887805145	False	0.0002109704641350211	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P0AFL3	P0AFL3		ppiA		6515160.0	6064920.0	5997080.0	6069770.0	6606510.0	6561480.0	0	0.00013772314576230652	0.1184413553887454	False	0.00023734177215189875	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P61320	P61320		lolB		2785750.0	3042600.0	3006480.0	3006550.0	2769020.0	2799280.0	0	0.00017290249889037766	-0.11633923470145974	False	0.00026371308016877635	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P0A9T0	P0A9T0		serA		5857630.0	5691790.0	5710430.0	5692280.0	5885210.0	5884590.0	0	0.00020128165351982125	0.04428992579200526	False	0.00029008438818565405	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				11130.7	863358.0	769606.0	871715.0	61623.2	15496.3	3	0.00024314605123996804	-4.826882361106487	False	0.0003164556962025317	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P45578	P45578		luxS		17102400.0	21270000.0	20680000.0	20728500.0	17395000.0	16612400.0	0	0.0002468280698893966	-0.29437070827317824	False	0.0003428270042194093	True	False	Ecoli	False	True	False	True	msfragger	manual	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)				11130.7	628419.0	730293.0	689958.0	61623.2	15496.3	3	0.0002484476742033533	-4.53694425541093	False	0.00036919831223628695	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
