Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				4306060.0	4417640.0	4405830.0	1099570.0	1177850.0	1048290.0	0	3.930775508954188e-07	-1.9810809957131168	True	2.6497085320614733e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3521020.0	3554020.0	3434660.0	804838.0	893430.0	924426.0	0	8.153082677709297e-07	-2.0026000904306747	True	5.299417064122947e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				3434020.0	3364200.0	3409590.0	782387.0	861324.0	885950.0	0	1.5725690898499438e-06	-2.0126574139459756	True	7.949125596184421e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				3742470.0	3846450.0	3718410.0	1034610.0	1009140.0	882939.0	0	1.907547517873394e-06	-1.9499169526541384	True	0.00010598834128245893	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				4160870.0	4220980.0	4041200.0	915962.0	870924.0	780988.0	0	2.2279802617962736e-06	-2.274373095681111	True	0.00013248542660307367	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				1749910.0	1695050.0	1761470.0	464779.0	494082.0	441883.0	0	2.42542770015909e-06	-1.8941011562216947	True	0.00015898251192368842	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1485570.0	1421950.0	1483850.0	498381.0	519714.0	462774.0	0	5.633781358691087e-06	-1.568227072338879	True	0.00018547959724430314	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				2831130.0	2949190.0	2794220.0	642418.0	638411.0	478361.0	0	7.075918873357788e-06	-2.285147968398879	True	0.00021197668256491787	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				4130320.0	4280580.0	4146310.0	1235570.0	1290030.0	1071430.0	0	7.9932579883389e-06	-1.8036378603379994	True	0.0002384737678855326	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)				2969970.0	3095990.0	3184190.0	672077.0	734665.0	881294.0	0	1.217365438990296e-05	-2.0153670088091102	True	0.00026497085320614734	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				5220440.0	5271540.0	5472900.0	1601720.0	1887540.0	1896420.0	0	1.395627976992855e-05	-1.567701291791751	True	0.00029146793852676206	True	True	Human	True	False	False	True	msfragger	manual	min	1.160964047443681
