Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P77173	P77173		zipA		2561910.0	2642740.0	2508640.0	2770020.0	2549140.0	2388470.0	0	0.32965182637995766	0.06385569294979318	False	0.02571808510638298	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A6Q3	P0A6Q3		fabA		13325000.0	13253400.0	13521900.0	13146100.0	13469300.0	13931600.0	0	0.3300378448413598	-0.027424577091332107	False	0.025744680851063833	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P05791	P05791		ilvD		3113200.0	3206920.0	3187850.0	3122070.0	3120780.0	3094350.0	0	0.3301358253751467	-0.020374729433892808	False	0.025771276595744682	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AEL0	P0AEL0		fdoI		323135.0	304682.0	318691.0	215360.0	22554.6	273595.0	1	0.33024080104237097	-0.6769281978630586	False	0.02579787234042553	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P46130	P46130		ybhC		9742220.0	8632050.0	9291450.0	9619120.0	9326880.0	9633090.0	0	0.330632262164679	0.058061084610911855	False	0.025824468085106387	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P39199	P39199		prmB		7660980.0	7992440.0	7455170.0	8099760.0	7963350.0	7583470.0	0	0.33072696515213734	0.04277068469803915	False	0.025851063829787236	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AFD6	P0AFD6		nuoI		8382950.0	8511700.0	8213820.0	8557470.0	8379030.0	8174310.0	0	0.3307904665728795	0.024110173728911694	False	0.02587765957446809	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P46887	P46887		yecH		176361.0	312453.0	344496.0	208076.0	344510.0	270319.0	0	0.33123996334194844	-0.34717244495408545	False	0.025904255319148937	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A8F0	P0A8F0		upp		34833600.0	34913400.0	35079500.0	35018200.0	34052100.0	35037600.0	0	0.3317303323099178	-0.015558529237802213	False	0.025930851063829786	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P02925	P02925		rbsB		9665320.0	9649820.0	9666590.0	9632660.0	9263900.0	9733380.0	0	0.3330208393118444	-0.024436790909237553	False	0.02595744680851064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P31119	P31119		aas		2973260.0	3126420.0	2837660.0	3163690.0	3009640.0	2686090.0	0	0.33318846098212634	0.0805054970508745	False	0.02598404255319149	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P22333	P22333		add		18946300.0	19243000.0	18786200.0	18836700.0	18267400.0	18869700.0	0	0.3346286195391393	-0.021676093082578243	False	0.026010638297872344	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P43329	P43329		hrpA		1539640.0	1477480.0	1467460.0	1457340.0	1508120.0	1469820.0	0	0.3355416148681016	0.02922411934704323	False	0.026037234042553193	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ADK0	P0ADK0		yiaF		15653600.0	15453500.0	16015500.0	15124500.0	15547900.0	15618900.0	0	0.33565364854556384	-0.02353426473960977	False	0.026063829787234042	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P07604	P07604		tyrR		2516490.0	2461740.0	2499400.0	2461330.0	2561390.0	2468400.0	0	0.3362466131913321	0.02114046881186118	False	0.026090425531914894	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ABV6	P0ABV6		tolR		7386300.0	7422780.0	7503690.0	6694150.0	7521490.0	7636450.0	0	0.3371354751758273	-0.06279290549996377	False	0.026117021276595747	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A8I1	P0A8I1		yqgF		1701200.0	1644260.0	1713880.0	1582170.0	1637170.0	1697680.0	0	0.33784328649399387	-0.03912844937790214	False	0.0261436170212766	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P19926	P19926		agp		3015400.0	3022560.0	2928800.0	2974830.0	3010400.0	2934700.0	0	0.3383458529173024	0.018482103888240137	False	0.02617021276595745	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P10100	P10100		rlpA		3616670.0	3499910.0	3696600.0	3736360.0	3817290.0	3690450.0	0	0.3391291010631061	0.03706935376865857	False	0.026196808510638298	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P09831	P09831		gltB		4129500.0	4110670.0	4161150.0	4067720.0	3976530.0	4073990.0	0	0.3395241143279819	-0.02024784974066114	False	0.02622340425531915	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AES0	P0AES0		gsp		3144060.0	3102860.0	3133790.0	2993860.0	3055650.0	3119210.0	0	0.3398103541422745	-0.02524508327109176	False	0.02625	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
Q47157	Q47157		yafO		346728.0	298254.0	373070.0	279857.0	320064.0	385427.0	0	0.3402544470331157	-0.15873397236356843	False	0.026276595744680855	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P30177	P30177		ybiB		8875800.0	8873120.0	8876290.0	8722430.0	8848320.0	8871860.0	0	0.3426585899295453	-0.009499865957971547	False	0.026303191489361704	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ADA3	P0ADA3		nlpD		6184450.0	6186980.0	6402660.0	6088580.0	6310430.0	6282460.0	0	0.3432024620080033	-0.022235830407540482	False	0.026329787234042553	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ACU0	P0ACU0		ybiH		645781.0	574893.0	650333.0	635592.0	637724.0	613769.0	0	0.34463902049732004	0.06151007658156773	False	0.026356382978723406	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AEL6	P0AEL6		fepB		2272800.0	2522980.0	2486590.0	2315490.0	2478100.0	2331960.0	0	0.3449594570756079	-0.0551073820137013	False	0.026382978723404255	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P30870	P30870		glnE		903560.0	791126.0	741748.0	862016.0	835139.0	897409.0	0	0.3462487394114547	0.09778398822938482	False	0.02640957446808511	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P21513	P21513		rne		11016300.0	11154200.0	11020700.0	11068600.0	10596600.0	11053000.0	0	0.34695612494597505	-0.023920916590328033	False	0.02643617021276596	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P64636	P64636		yrfG		2871780.0	2675530.0	2811550.0	2957950.0	2633230.0	2599750.0	0	0.34756979669679544	0.06558806411556016	False	0.02646276595744681	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A7P5	P0A7P5		rpmH		28290200.0	30355400.0	28214900.0	27927000.0	27397400.0	27880900.0	0	0.3479350514984105	-0.04813111534408244	False	0.02648936170212766	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P21369	P21369		pncA		2091310.0	2097570.0	2171780.0	1931100.0	2175110.0	2191400.0	0	0.34821145423858274	-0.06001062871442916	False	0.02651595744680851	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P24186	P24186		folD		5971460.0	5844450.0	6045440.0	5782650.0	5913410.0	6066430.0	0	0.3486729962709889	-0.02339216973304157	False	0.026542553191489366	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P00960	P00960		glyQ		4778620.0	4975660.0	4809880.0	4940270.0	4705580.0	4911910.0	0	0.3488353363278742	-0.027047559196348707	False	0.026569148936170215	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AFJ5	P0AFJ5		phoB		620543.0	540643.0	623694.0	416944.0	573945.0	689560.0	0	0.34931419483625653	-0.20221778188537	False	0.026595744680851064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P23909	P23909		mutS		3784720.0	3693840.0	3662350.0	3803740.0	3632000.0	3667250.0	0	0.3500665004432098	0.02555731776131911	False	0.026622340425531917	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P75992	P75992		ymgA		156350.0	210573.0	199396.0	220633.0	121740.0	193602.0	0	0.3506943008080789	-0.2752847513886384	False	0.026648936170212766	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AEM0	P0AEM0		fkpB		1987650.0	1856520.0	1979950.0	1917990.0	1955030.0	1479800.0	0	0.3507385274742664	0.1406512276606528	False	0.02667553191489362	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P21507	P21507		srmB		5691540.0	5620140.0	5724260.0	5498940.0	5565250.0	5625840.0	0	0.3509148169686439	-0.01835242612748563	False	0.02670212765957447	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P75821	P75821		ybjS		1555240.0	1454880.0	1422120.0	1416050.0	1412720.0	1284300.0	0	0.35092457813658573	0.07521678897644264	False	0.02672872340425532	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P60240	P60240		rapA		4432260.0	4480970.0	4385700.0	4486980.0	4436670.0	4295310.0	0	0.3522280437570509	0.0211017420507267	False	0.026755319148936172	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P28904	P28904		treC		2661810.0	2645570.0	2683040.0	2588220.0	2693920.0	2759130.0	0	0.35435343825422455	-0.025880076627599575	False	0.02678191489361702	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P39099	P39099		degQ		5308920.0	4942160.0	5243140.0	4965650.0	5502190.0	5004620.0	0	0.355620674432843	0.05468668449385137	False	0.026808510638297877	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P23256	P23256		malY		897948.0	930064.0	886575.0	962114.0	899879.0	828600.0	0	0.355681570222692	0.06123934927979574	False	0.026835106382978726	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
