protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	15091811.78566353	15497618.213769004	13545043.540957017	63055039.83964891	62810012.75790549	61091462.83793797	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	6.41080469448113e-07	-2.082724856300756	True	2.604166666666667e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	31177752.919067	31579041.33455255	31104729.46785164	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	1.8965088339077836e-05	-9.229497020993978	True	5.208333333333334e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	21124919.873068728	21303532.69396685	20821054.686797917	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			3	3.810415744609343e-05	-8.660017380648734	False	7.812500000000002e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A805	71551991.45002612	72954632.7750251	71583737.10393754	85023079.67200747	84679053.32730252	83626912.07650098	P0A805	P0A805		frr	0	4.056200165796059e-05	-0.2293777741656199	False	0.00010416666666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	19827830.45871107	19467509.311684705	19386396.27024605	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			3	4.064088779168097e-05	-8.55187469247054	False	0.00013020833333333333	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	33988289.11767327	33456352.32055019	34252612.10825151	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			3	4.5132866157946874e-05	-9.345171953072196	False	0.00015625000000000003	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	40923810.00261772	41291663.2556447	41975679.71456797	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	5.3745215553075546e-05	-9.633453638717773	False	0.00018229166666666667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	17465926.98597215	17848810.222824212	17964618.08277217	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)			3	6.332892324242469e-05	-8.412539765274126	False	0.00020833333333333335	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AFI7	20687183.7386684	20723511.71988896	20855932.28097776	22086226.57708628	21969087.03430864	21922347.64027408	P0AFI7	P0AFI7		pdxH	0	6.398289329798566e-05	-0.08351849147677388	False	0.00023437500000000002	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	92915059.6456284	91242786.92178874	90251822.03329308	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	7.189689402096692e-05	-10.777222549609716	False	0.00026041666666666666	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A7Z0	51862395.38789271	52565957.60342101	52113020.58153829	57171114.02654736	56588399.77125624	56750080.24736721	P0A7Z0	P0A7Z0		rpiA	0	8.00537501774093e-05	-0.1233089085239455	False	0.00028645833333333333	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	55573450.258390464	54979560.81118567	53782420.94980126	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)			3	9.163724560124758e-05	-10.037534805312612	False	0.00031250000000000006	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	7563496.269952338	7286496.344274818	7518567.793791459	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)			3	9.211122149236907e-05	-7.160435550798013	False	0.0003385416666666667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P27238	1795217.2097897092	1841584.816314542	1859853.436853978	2270194.187972316	2284552.0187826995	2236130.311531338	P27238	P27238		yfeD	0	9.772934561191738e-05	-0.30504374702349196	False	0.00036458333333333335	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P27306	3806552.069581301	3850806.9768893714	3864509.966660184	3451163.040868056	3500448.133227212	3500282.339230271	P27306	P27306		sthA	0	0.00012214886352618148	0.14061043039749135	False	0.000390625	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	315064236.1450829	308438790.4189504	322216572.417572	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)			3	0.0001592470901273959	-12.562303730294314	False	0.0004166666666666667	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AE67	2635437.5499171894	2725570.2764914245	2736033.2170814434	3796657.5873177815	3922228.686287905	3751411.4378035576	P0AE67	P0AE67		cheY	0	0.00016555132803468272	-0.5024361413633379	False	0.00044270833333333337	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0A7M6	106253423.47921686	106287587.12180343	103222558.0164004	126649216.22524452	123330124.13509892	126514166.5474949	P0A7M6	P0A7M6		rpmC	0	0.00017265690981483231	-0.25378025494243917	False	0.00046875000000000004	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P64463	70722787.01132952	70594168.91384824	71646510.53480771	78563262.74211326	78353745.27925777	77875912.09725833	P64463	P64463		ydfZ	0	0.00017611321865229748	-0.14078294680879244	False	0.0004947916666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	65885926.04401672	68987555.03043929	66866916.07771123	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			3	0.0001849003054996082	-10.333391237839377	False	0.0005208333333333333	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	396636.8284314519	438971.1521199979	418327.9929954039	8440761.67557681	8552147.585671362	8862029.099624123	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)			0	0.00020884290165717792	-4.365904274817692	False	0.000546875	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A972	512572020.2117424	516413466.6545144	520505155.4347463	292534195.6182379	287936097.50676537	308856199.75889605	P0A972	P0A972		cspE	0	0.00022874496328395045	0.8010089731732379	False	0.0005729166666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	22612488.30417127	23265405.36303013	22023638.468012165	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)			3	0.0002471601271708055	-8.762407268049117	False	0.0005989583333333334	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	27667103.108682744	26437687.14416929	26337456.622952502	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)			3	0.0002515299518114931	-9.006916519033522	False	0.0006250000000000001	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P37641	33448.12541480996	43284.28516000001	79629.9261153617	705075.6378275418	697536.6141993533	786988.2068690669	P37641	P37641		yhjC	3	0.00027769985785576577	-3.8077026874216715	False	0.0006510416666666666	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	32614656.708049864	33798693.094222136	34654636.22025405	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)			3	0.0003068203316807659	-9.336217321078124	False	0.0006770833333333334	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0ACF4	104320378.31275871	102704662.2411352	103741915.8740154	96397409.92631815	95380274.88890922	96574580.01499628	P0ACF4	P0ACF4		hupB	0	0.0003286352047207069	0.10800075750476154	False	0.0007031250000000001	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0AB38	7625036.511772622	7734158.661581642	7714398.440733784	5310786.983016843	5568702.233258926	5547566.568394348	P0AB38	P0AB38		lpoB	0	0.0003316465127768672	0.490168785396658	False	0.0007291666666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
