Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				2066030.0	3859190.0	3821370.0	2013840.0	2017180.0	3778620.0	0	1.1867589497311617e-06	0.9103205286670367	True	2.6136957658128594e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P09130	P09130		traD		755147.0	42276.8	64347.0	716071.0	734818.0	35017.7	3	2.0840878383619438e-06	-3.9611404019209036	True	5.227391531625719e-05	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1833920.0	3149170.0	3166680.0	1767150.0	1838670.0	3069650.0	0	7.315671651909117e-06	0.7868959072671162	True	7.841087297438579e-05	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				1523550.0	2724420.0	2656470.0	1401600.0	1490620.0	2778430.0	0	1.6326108653665298e-05	0.8857838928078734	True	0.00010454783063251438	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				3310290.0	5715970.0	5828810.0	3366940.0	3296750.0	5691700.0	0	1.8055754940896227e-05	0.7892239649656043	True	0.00013068478829064296	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P0A812	P0A812		ruvB		1259350.0	1177420.0	1173520.0	1251560.0	1250990.0	1180560.0	0	3.952074951869559e-05	-0.09118040269905824	False	0.00015682174594877158	True	False	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P52614	P52614		fliK		657589.0	1280700.0	1287370.0	659230.0	661120.0	1299830.0	0	4.798259849402854e-05	0.9675525623108696	False	0.00018295870360690017	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P0AAK4	P0AAK4		hydN		45091.9	1263200.0	1308650.0	67349.6	44465.4	1237620.0	3	6.050999517487086e-05	4.601609592393802	False	0.00020909566126502875	True	True	Ecoli	False	True	False	True	msfragger	manual	min	0.5
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				4070500.0	7276370.0	7553230.0	4100100.0	3979370.0	7399650.0	0	7.043843301205229e-05	0.8715065220053612	False	0.00023523261892315734	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				3171910.0	5378560.0	5265460.0	3183930.0	3147340.0	5355330.0	0	7.53477684070306e-05	0.751531033505791	False	0.00026136957658128593	True	True	Human	True	False	False	True	msfragger	manual	min	0.5
