protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	13556.700281489502	727084.7196431811	42258.412911749205	40067385.12980099	40231115.11343094	39742635.86141334	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)			2	1.939172496657194e-07	-7.260485427398757	True	2.617801047120419e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	13556.700281489502	49807.86327999999	42258.412911749205	34083323.29896775	34297363.79190908	34234149.36839728	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)			3	1.807218008366252e-06	-9.92409991876441	True	5.235602094240838e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	13556.700281489502	49807.86327999999	42258.412911749205	23257772.39550076	23109370.61229889	22964254.3652143	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)			3	9.807881728697458e-06	-9.358441325602257	True	7.853403141361257e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	13556.700281489502	49807.86327999999	42258.412911749205	36864723.45520281	36518491.3952004	37009782.90153016	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)			3	1.4132063661556249e-05	-10.02950924678593	True	0.00010471204188481676	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P30864	13556.700281489502	49807.86327999999	42258.412911749205	615347.0847619624	639791.1312974794	672705.3008078613	P30864	P30864		yafC	3	2.3982010125235037e-05	-4.189992345111766	True	0.00013089005235602096	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P29217	10971472.858629815	11016922.460832288	11068928.390787708	10112351.940350356	10089369.579096556	10006345.800890869	P29217	P29217		yceH	0	2.805383130247905e-05	0.13003604518694906	False	0.00015706806282722515	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P64463	70626391.61968102	71143780.0149412	70338821.4371989	78565518.53696656	78266992.60289846	78789632.68562865	P64463	P64463		ydfZ	0	3.745844822492025e-05	-0.15166934030743398	False	0.00018324607329842934	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	13556.700281489502	49807.86327999999	42258.412911749205	44354934.99443401	44817804.581912905	45553843.68672131	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)			3	5.955931915178244e-05	-10.316895123089429	False	0.00020942408376963353	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	227604.7167478545	49807.86327999999	42258.412911749205	85973891.67173912	88164997.34929366	85199679.76401928	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			2	9.878207270594531e-05	-9.664033224762159	False	0.0002356020942408377	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A972	394691249.964253	412719297.69787824	418736049.6388202	220656407.4457511	220448355.31703836	234039395.98510563	P0A972	P0A972		cspE	0	0.0001036881052020123	0.8608639884176909	False	0.0002617801047120419	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
