Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P25519	0.37431245788658	-0.016198353654452546	0.4267657184336347	non_sig	hflX		False	False	0.02475169890224778	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P27848	0.3744594025136094	0.060865207995551174	0.42659525999399905	non_sig	yigL		False	False	0.02477783585990591	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P09996	0.3745385990031148	-0.07217192200210931	0.42650341836441696	non_sig	yidB		False	False	0.024803972817564038	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AGI8	0.37608644322437973	0.06764288084733039	0.42471232129432157	non_sig	trkA		False	False	0.024830109775222164	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ACJ8	0.37632696929239406	-0.011215588191088699	0.42443465705837624	non_sig	crp		False	False	0.024856246732880297	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P32684	0.37653960997834235	-0.02538462989039303	0.4241893315743295	non_sig	rluF		False	False	0.024882383690538423	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A964	0.3771839794879521	-0.019956300593840126	0.4234467617664604	non_sig	cheW		False	False	0.024908520648196552	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AED5	0.37818887288480607	-0.0462369917802512	0.4222912531636864	non_sig	uvrY		False	False	0.02493465760585468	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P76055	0.37823302614303167	0.05951639966009381	0.42224055257859794	non_sig	ttcA		False	False	0.024960794563512807	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P30749	0.3789289395561764	0.047250957454632925	0.421442225525716	non_sig	moaE		False	False	0.024986931521170937	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AEC3	0.3793761247989715	0.06566543116968049	0.4209300039542754	non_sig	arcB		False	False	0.025013068478829066	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P00861	0.3796818532895688	0.12255304502306785	0.4205801592587718	non_sig	lysA		False	False	0.025039205436487195	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P22939	0.38060498916318003	-0.11173478371207324	0.4195255230594114	non_sig	ispA		False	False	0.02506534239414532	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P24182	0.38133364818121335	-0.010486951455966675	0.41869487168755093	non_sig	accC		False	False	0.02509147935180345	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AEZ3	0.38212102346748367	-0.015882098261325694	0.41779906771659686	non_sig	minD		False	False	0.02511761630946158	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ADI7	0.38226590507424074	-0.045489752440843745	0.41763443569386616	non_sig	yecD		False	False	0.02514375326711971	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A9S1	0.38247872317435017	0.1134437636918264	0.4173927191116282	non_sig	fucO		False	False	0.02516989022477784	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
