protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P09130	38993.67873333328	40461.440678849736	63331.35234085615	703241.9999999999	738369.7821025342	724161.4211798472	P09130	P09130		traD	3	1.6013747040762634e-06	-3.922950970472682	True	2.6096033402922757e-05	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	70201254.1180701	73369511.80892423	71341539.26945156	44464362.88682697	41660872.72850478	41443421.65225299	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	2.7326534522126216e-05	0.7524741767735584	False	5.2192066805845514e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P52614	1275510.5731304295	1297667.1223416291	1326848.5302055613	648483.6249999992	658244.3896859876	675906.2842330288	P52614	P52614		fliK	0	3.318874919765036e-05	0.9760652314316762	False	7.828810020876828e-05	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P0AAK4	1291190.8746428231	1230876.133742425	1262171.0245984143	64172.48438	47871.13248186042	44637.987566295466	P0AAK4	P0AAK4		hydN	3	4.4908920728198075e-05	4.594095126866036	False	0.00010438413361169103	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	25715577.037035584	24381006.812561363	24851149.58355612	12812874.432792043	13642197.9153071	13500638.048822764	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)			0	5.073412680859704e-05	0.9074831436771817	False	0.00013048016701461377	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	20788887.51333752	19332695.44334841	19530615.356731214	9846840.991438814	8644831.854866209	9417428.291063713	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	8.097684609629785e-05	1.0958396447820329	False	0.00015657620041753656	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q47083	38993.67873333328	40461.440678849736	63331.35234085615	438483.8750000002	459043.6843499248	486224.4316468404	Q47083	Q47083		cbl	3	8.295533994252868e-05	-3.2766541894228616	False	0.00018267223382045932	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	28561638.14127733	26787527.8075112	27402630.05080606	15476622.58203037	15094949.426581576	14347295.614931695	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)			0	0.0001124936870821304	0.881469064960997	False	0.00020876826722338206	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	13381043.776766682	13145807.453110185	13278139.177270016	6141178.635256345	6751317.613880784	6455062.462731873	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			0	0.00014490788100933368	1.0407977771856223	False	0.0002348643006263048	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	8401461.166285759	7855884.925793885	7902162.994971472	4126450.863410528	4490402.494091259	4340107.110613351	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)			0	0.0002009011056057892	0.8988638191910092	False	0.00026096033402922753	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
