Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P77247	P77247		yniC		1476070.0	1526430.0	1496210.0	1490240.0	1531760.0	1563790.0	0	0.3314907031904149	0.027658920605330158	False	0.03094731240021288	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AG80	P0AG80		ugpB		532698.0	591819.0	552780.0	517903.0	453430.0	572243.0	0	0.3315618742114848	-0.11986165271572947	False	0.030973922299095263	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A7R1	P0A7R1		rplI		316980000.0	314963000.0	312336000.0	323734000.0	314723000.0	316506000.0	0	0.3319362924799638	0.016231650742901133	False	0.03100053219797765	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A7M2	P0A7M2		rpmB		153857000.0	150521000.0	146331000.0	147647000.0	148619000.0	146147000.0	0	0.3319939873254353	-0.026802480060940864	False	0.031027142096860034	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P77295	P77295		ygaV		370281.0	322764.0	350582.0	311106.0	259177.0	360401.0	0	0.3322108824358857	-0.16524286391012072	False	0.031053751995742417	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A821	P0A821		selA		1895270.0	1817590.0	1893250.0	1836760.0	1824570.0	1847810.0	0	0.33286722574281374	-0.02517292682552552	False	0.031080361894624802	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ABE2	P0ABE2		bolA		2225220.0	2222520.0	2229450.0	2415180.0	2159090.0	2452960.0	0	0.3335711294644994	0.07371502566601114	False	0.031106971793507188	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ADB7	P0ADB7		ecnB		11642000.0	11624900.0	13285400.0	11111500.0	11995200.0	11321800.0	0	0.3338790692632725	-0.08635886236999	False	0.03113358169238957	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P37650	P37650		bcsC		1235550.0	1346330.0	1446280.0	1302020.0	1259550.0	1236410.0	0	0.3346092939856044	-0.08488868052448842	False	0.031160191591271955	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P31433	P31433		yicH		1832520.0	1822000.0	1936760.0	1732800.0	1692990.0	1907850.0	0	0.3348336504245823	-0.06805814216873811	False	0.031186801490154337	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ABA4	P0ABA4		atpH		21343000.0	21865700.0	21898200.0	21078900.0	21837000.0	21214500.0	0	0.3350295012770959	-0.02180204195212542	False	0.031213411389036726	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P16431	P16431		hycE		3317990.0	3551420.0	3312350.0	3318120.0	3236210.0	3329440.0	0	0.33592540129567017	-0.04285362056334812	False	0.03124002128791911	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AAS0	P0AAS0		ylaC		809044.0	699967.0	807004.0	743644.0	756815.0	662126.0	0	0.33648961732684907	-0.09888775845346028	False	0.03126663118680149	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A8I3	P0A8I3		yaaA		3979530.0	3919240.0	4021760.0	3966650.0	4244340.0	4025940.0	0	0.3390561985116159	0.03779327916145139	False	0.031293241085683876	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P21513	P21513		rne		10345200.0	10495200.0	10326700.0	10453100.0	10458300.0	10454600.0	0	0.3398886596172157	0.009177635886656774	False	0.03131985098456626	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P76257	P76257		yoaA		2101150.0	2150720.0	77729.8	39940.6	1498550.0	40466.1	3	0.34154277518986664	-1.4552620693163159	False	0.03134646088344865	False	True	Ecoli	False	True	False	False	msfragger	manual	min	0.5
