protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	59010289.788445145	56696940.64461625	57458231.577543095	117324452.46206626	116811248.01235317	114650309.83023553	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	9.612481887515176e-07	-1.0101909631576604	True	2.612330198537095e-05	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	83096.40897191528	44874.80469000001	1433149.8589796058	28677926.96970105	27857766.688084017	29428591.51510113	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)			2	1.6377132849390876e-06	-5.783083065557613	True	5.22466039707419e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	83096.40897191528	44874.80469000001	1394012.7712191348	23338989.248163804	23978833.909807064	23226561.65532697	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			2	2.0558209446206183e-05	-5.534506168624793	True	7.836990595611286e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	83096.40897191528	44874.80469000001	77346.03815186358	3230181.5870064357	3269995.1877975822	3146359.379666649	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)			3	3.126004242432682e-05	-5.554084236991452	False	0.0001044932079414838	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	11198150.710280748	8078672.003642863	8036510.282320316	38099150.31196939	38997030.24739274	42170385.8100779	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	5.575694115768091e-05	-2.126512394030114	False	0.00013061650992685477	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	83096.40897191528	44874.80469000001	77346.03815186358	22038264.260600645	21413901.84421302	21810968.778593738	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			3	6.626240609321657e-05	-8.312269622820624	False	0.00015673981191222572	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A8M6	30923455.20304165	30836347.70329801	30536642.442281887	34827222.31662117	34301971.00775443	34477585.82665689	P0A8M6	P0A8M6		yeeX	0	6.904015726173829e-05	-0.16677141293042266	False	0.00018286311389759666	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	83096.40897191528	44874.80469000001	77346.03815186358	26490203.50148768	27047130.741035983	27390466.44442355	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			3	9.215244164668271e-05	-8.622636723537871	False	0.0002089864158829676	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0A7M6	88354155.39132442	87214097.17678249	82207421.01833539	122067534.72415692	119186649.53541283	125868708.10330436	P0A7M6	P0A7M6		rpmC	0	0.00017574825839616608	-0.5101469558196134	False	0.00023510971786833856	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	13056526.417523958	16467742.459077124	15219555.00708387	31998230.85934927	35499105.31972327	33720984.69272879	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			0	0.000186962818421639	-1.1777099845775316	False	0.00026123301985370953	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
