Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				17817100.0	17978500.0	17879200.0	2287960.0	2159450.0	2138360.0	0	1.9098900180891354e-09	3.026820876847847	True	2.6164311878597596e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				21107800.0	21087100.0	21173200.0	3196210.0	3341250.0	3247760.0	0	1.0219835352701656e-08	2.6950805667953097	True	5.232862375719519e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				9750230.0	9712550.0	9894680.0	1461590.0	1265790.0	1240120.0	0	1.471039529034309e-07	2.8874250237981287	True	7.84929356357928e-05	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)				12050800.0	12292300.0	12100300.0	2720730.0	2990580.0	2987870.0	0	2.372850544747155e-07	2.0667062406551797	True	0.00010465724751439038	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				7532610.0	7315080.0	7439020.0	954903.0	881749.0	1035640.0	0	4.7360792623774024e-07	2.955909331840843	True	0.00013082155939298797	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)				10098200.0	10506900.0	10407800.0	1591970.0	1445440.0	1765170.0	0	1.3643303757550763e-06	2.6909868867106455	True	0.0001569858712715856	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				11351300.0	11157000.0	11371200.0	1584900.0	1674340.0	1564520.0	0	1.4716926030475569e-06	2.812182548571449	True	0.00018315018315018318	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				10501400.0	10260200.0	10683900.0	2157050.0	1967400.0	2434320.0	0	1.5716676994063087e-06	2.2613563861087598	True	0.00020931449502878077	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				6405970.0	6354690.0	6439390.0	1101360.0	1261650.0	1166390.0	0	1.9585571472498708e-06	2.4436152174805432	True	0.00023547880690737836	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)				5181200.0	5308040.0	5148410.0	693331.0	646136.0	731526.0	0	4.3716587111532925e-06	2.916629140786423	True	0.00026164311878597594	True	True	Human	True	False	False	True	msfragger	manual	min	1.660964047443681
