protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	77720225.79468672	78908886.69456975	77302127.50347327	318573291.29680794	320495036.8368561	318227346.278001	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			0	8.164288048330754e-09	-2.0328800533859415	True	2.5960539979231568e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	3762172.6351003535	3862474.544984921	3992834.395951812	19309112.701184403	19193590.245966733	19073710.39957752	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)			0	9.017669360315026e-09	-2.30918056384641	True	5.1921079958463136e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	16649066.869482	17354637.68745913	16952308.583156973	68493153.43572214	67812271.74848068	68503613.96044245	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)			0	9.3821923840615e-09	-2.0069550804449348	True	7.788161993769472e-05	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	12210884.51815002	12768607.846282262	12067391.04949295	56992794.07614878	55959937.147604585	56572005.37017163	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			0	1.2147057197753086e-07	-2.1940717175388462	True	0.00010384215991692627	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	21994084.797874644	21723092.3438688	20635901.09604214	98800440.0126822	97256925.8526534	96829549.20343018	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			0	2.4279775091255457e-07	-2.1862626767595894	True	0.00012980269989615784	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	74661465.83379039	71062643.36550653	73922598.35136081	326525999.3664814	331693258.76454544	331759951.12712	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)			0	2.561644368742574e-07	-2.1722133532431114	True	0.00015576323987538944	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	11132447.277838236	10235325.868645968	9976344.759397607	48487392.46037404	48873477.56647653	49995502.99107802	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)			0	6.026686296867321e-07	-2.233042822182406	True	0.000181723779854621	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	11078309.211332524	10056868.41479048	10095511.29402544	47725032.32697764	47568828.90720897	46247398.505548574	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)			0	1.1844488822457993e-06	-2.180186365341689	True	0.00020768431983385254	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	16310996.929568537	13692770.72816215	14893680.253997618	65728696.0897415	68857764.95388795	68015773.52222216	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			0	2.5711397121918313e-06	-2.173944740325679	True	0.00023364485981308412	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	23644567.62580391	21085976.56015821	20530989.432252757	93275580.80820993	92473787.60132748	96624082.00024396	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)			0	3.0358963476101437e-06	-2.113299652855184	True	0.00025960539979231567	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	16975653.96641807	14268675.141675765	13530391.20503934	69906196.35310496	72476238.28278787	69978015.48763776	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			0	3.1716527510717677e-06	-2.245758779036629	True	0.00028556593977154725	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	1338757.5124070474	1502375.3952990265	1503700.44065269	6819089.057033592	6774604.756454803	7042769.355375399	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)			0	3.2818819348691657e-06	-2.247822985299979	True	0.0003115264797507789	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.160964047443681
