Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.79701e+06	3.12275e+06	1.75231e+06	2.2878e+06	2.24636e+06	2.15062e+06
DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1						2.32609e+06			
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.27399e+07	1.29538e+07	1.38054e+07	1.3473e+07	1.30878e+07	1.31154e+07
DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	DECOY_sp|P10408|SECA_ECOLI Protein translocase subunit SecA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2				694022			525821		
DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2				1.36126e+06	1.32791e+06	1.43019e+06	935337	1.44243e+06	1.52623e+06
DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3	DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3				931492	612478	424667	593971	522557	467576
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1						6.54319e+06		6.08384e+06	
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				4.23535e+06	4.20439e+06	4.01789e+06	4.03177e+06	4.11102e+06	4.15229e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.91073e+06	1.99516e+06	1.94486e+06	2.0855e+06	2.07731e+06	1.8217e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.48182e+06	1.41918e+06		1.45208e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.62698e+06	2.58582e+06		2.40375e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.92306e+06	2.81971e+06		2.85194e+06		
