Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P15038	HELD_ECOLI	helD	Helicase IV	4	4	2.84558e+06	2.30471e+06	1.80292e+06	2.20481e+06	2.25139e+06	2.10506e+06
P15042	DNLJ_ECOLI	ligA	DNA ligase	19	19	2.11856e+07	2.29732e+07	2.20119e+07	2.11402e+07	2.12827e+07	2.10569e+07
P15047	ENTA_ECOLI	entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	3	3	2.22212e+06	2.64176e+06	1.90821e+06	2.80021e+06	2.48809e+06	2.52633e+06
P15067	GLGX_ECOLI	glgX	Glycogen debranching enzyme	5	5	2.47434e+06	3.13637e+06	2.79868e+06	3.12781e+06	3.26416e+06	3.16073e+06
P15070	FLIN_ECOLI	fliN	Flagellar motor switch protein FliN	1	1	1.87401e+07	1.9167e+07	1.85587e+07	1.56125e+07	1.90232e+07	1.64581e+07
P15082	SRLR_ECOLI	srlR	Glucitol operon repressor	2	2	1.9292e+06		2.10401e+06	1.91108e+06	2.1237e+06	1.99478e+06
P15254	PUR4_ECOLI	purL	Phosphoribosylformylglycinamidine synthase	20	20	1.35096e+07	1.33615e+07	1.35377e+07	1.38658e+07	1.3475e+07	1.31577e+07
P15286	FLK_ECOLI	flk	Flagellar regulator flk	2	2	1.58677e+06	1.45945e+06		1.2559e+06	1.25635e+06	1.2657e+06
P15288	PEPD_ECOLI	pepD	Cytosol non-specific dipeptidase	19	19	1.04091e+08	1.04348e+08	1.15124e+08	1.05393e+08	1.14185e+08	1.12494e+08
P15559ups|NQO1_HUMAN_UPS	NAD(P)H	NAD(P)H		10	10	6.64207e+07	6.52776e+07	3.73053e+06	6.71916e+07	3.781e+06	3.66006e+06
P15639	PUR9_ECOLI	purH	Bifunctional purine biosynthesis protein PurH	13	13	3.5668e+07	3.59918e+07	3.27807e+07	3.65066e+07	3.25477e+07	3.25299e+07
P15640	PUR2_ECOLI	purD	Phosphoribosylamine--glycine ligase	8	8	1.48406e+07	1.60129e+07	1.71554e+07	1.66809e+07	1.57707e+07	1.72928e+07
P15770	AROE_ECOLI	aroE	Shikimate dehydrogenase	3	3	1.21723e+07	1.18518e+07	1.26483e+07	1.26227e+07	1.35055e+07	1.33041e+07
P15977	MALQ_ECOLI	malQ	4-alpha-glucanotransferase	6	6	9.48676e+06	8.55266e+06	9.07923e+06	9.21015e+06	8.0658e+06	8.72188e+06
P16083ups|NQO2_HUMAN_UPS	Ribosyldihydronicotinamide	Ribosyldihydronicotinamide		11	11	7.35482e+07	7.6144e+07	4.1187e+06	7.28624e+07	4.41453e+06	4.60124e+06
P16095	SDHL_ECOLI	sdaA	L-serine dehydratase 1	10	10	2.47035e+07	2.59118e+07	2.85321e+07	2.56211e+07	2.62353e+07	2.65372e+07
P16384	MIAA_ECOLI	miaA	tRNA dimethylallyltransferase	12	12	4.1502e+06	3.94337e+06	4.65595e+06	4.21807e+06	4.33129e+06	4.43223e+06
P16431	HYCE_ECOLI	hycE	Formate hydrogenlyase subunit 5	13	12	1.03358e+07	1.0914e+07	1.04601e+07	1.07933e+07	1.02162e+07	1.06098e+07
P16432	HYCF_ECOLI	hycF	Formate hydrogenlyase subunit 6	3	3		782425		822756	729409	616786
P16433	HYCG_ECOLI	hycG	Formate hydrogenlyase subunit 7	3	2	3.62066e+06	3.50226e+06	3.82518e+06	3.58743e+06	3.11402e+06	4.22414e+06
P16456	SELD_ECOLI	selD	Selenide, water dikinase	8	8	3.35888e+07	3.58963e+07	3.3232e+07	3.35793e+07	3.37309e+07	3.34471e+07
P16525	TUS_ECOLI	tus	DNA replication terminus site-binding protein	3	3			2.12702e+06		1.70266e+06	2.67394e+06
P16528	ICLR_ECOLI	iclR	Acetate operon repressor	4	4	6.25655e+06	6.47664e+06	6.75179e+06	6.17436e+06	6.99835e+06	6.2826e+06
P16659	SYP_ECOLI	proS	Proline--tRNA ligase	28	28	8.63012e+07	8.59487e+07	8.3971e+07	8.56246e+07	7.9683e+07	8.22108e+07
P16676	CYSA_ECOLI	cysA	Sulfate/thiosulfate import ATP-binding protein CysA	3	3	1.46024e+06	1.4224e+06	1.54226e+06	1.15803e+06	1.41058e+06	1.34176e+06
P16700	CYSP_ECOLI	cysP	Thiosulfate-binding protein	21	21	3.16644e+07	3.14875e+07	3.09615e+07	3.1589e+07	3.24444e+07	3.13175e+07
P16703	CYSM_ECOLI	cysM	Cysteine synthase B	6	6	7.44965e+06	8.02374e+06	7.70674e+06	7.61157e+06	7.41392e+06	6.62887e+06
P16926	MREC_ECOLI	mreC	Cell shape-determining protein MreC	6	6	4.41431e+06	4.53939e+06	4.83723e+06	4.30621e+06	3.93657e+06	4.58608e+06
P17109	MEND_ECOLI	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	8	8	5.93794e+06	6.16225e+06	7.16459e+06	5.1112e+06	6.58526e+06	6.31346e+06
P17115	GUTQ_ECOLI	gutQ	Arabinose 5-phosphate isomerase GutQ	4	4	8.96681e+06	8.6348e+06	9.42805e+06	1.01334e+07	9.37232e+06	9.35622e+06
P17117	NFSA_ECOLI	nfsA	Oxygen-insensitive NADPH nitroreductase	2	2	1.91647e+07	1.95135e+07	1.75809e+07	1.77959e+07	1.74074e+07	1.79191e+07
P17169	GLMS_ECOLI	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	35	35	1.97318e+08	1.993e+08	1.95198e+08	1.93015e+08	1.91784e+08	1.95645e+08
P17315	CIRA_ECOLI	cirA	Colicin I receptor	9	9	7.8997e+06	8.37194e+06	8.38352e+06	8.18516e+06	7.55438e+06	7.39715e+06
P17443	MURG_ECOLI	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	10	10	7.80522e+06	8.1255e+06	7.45592e+06	8.35796e+06	8.15895e+06	8.24036e+06
P17445	BETB_ECOLI	betB	Betaine aldehyde dehydrogenase	6	6	3.79088e+06	5.06944e+06	5.37566e+06	4.29991e+06	5.27979e+06	5.64097e+06
P17846	CYSI_ECOLI	cysI	Sulfite reductase [NADPH] hemoprotein beta-component	29	29	2.46087e+07	2.40803e+07	2.46234e+07	2.39895e+07	2.45992e+07	2.5397e+07
P17854	CYSH_ECOLI	cysH	Phosphoadenosine phosphosulfate reductase	11	11	2.49447e+07	2.51191e+07	2.52346e+07	2.4912e+07	2.43803e+07	2.40008e+07
