Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS	Ubiquitin-conjugating	Ubiquitin-conjugating		7	7	9.32127e+07	2.01249e+07	9.23196e+07	1.99984e+07	9.16207e+07	2.02872e+07
O76070ups|SYUG_HUMAN_UPS	Gamma-synuclein	Gamma-synuclein		11	10	2.08555e+08	4.37195e+07	2.05742e+08	4.69679e+07	2.02689e+08	4.64051e+07
P00167ups|CYB5_HUMAN_UPS	Cytochrome	Cytochrome		5	5	1.34814e+08	2.96701e+07	1.25051e+08	2.75264e+07	1.3586e+08	2.46558e+07
P00350	6PGD_ECOLI	gnd	6-phosphogluconate dehydrogenase, decarboxylating	27	27	3.28996e+08	3.22932e+08	3.32837e+08	3.30676e+08	3.24382e+08	3.21083e+08
P00363	FRDA_ECOLI	frdA	Fumarate reductase flavoprotein subunit	27	27	2.40477e+08	2.20299e+08	2.20716e+08	2.40895e+08	2.12746e+08	2.29424e+08
P00370	DHE4_ECOLI	gdhA	NADP-specific glutamate dehydrogenase	10	10	1.34878e+07	1.33998e+07	1.29227e+07	1.31536e+07	1.26761e+07	1.23131e+07
P00393	DHNA_ECOLI	ndh	NADH dehydrogenase	18	18	2.69544e+07	2.81927e+07	2.6144e+07	2.71403e+07	2.54313e+07	2.6498e+07
P00441ups|SODC_HUMAN_UPS	Superoxide	Superoxide		2	2	5.03202e+07	1.4732e+07	5.8359e+07	1.44814e+07	5.40381e+07	1.4073e+07
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	9	9	3.97023e+07	3.75806e+07	3.85528e+07	4.00447e+07	3.77997e+07	4.14619e+07
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	31	31	4.23425e+07	4.371e+07	4.33823e+07	3.99895e+07	4.19628e+07	4.02099e+07
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	32	32	3.36994e+07	3.54635e+07	3.2903e+07	3.59893e+07	3.41808e+07	3.51902e+07
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	25	25	9.03904e+07	9.19229e+07	9.67554e+07	9.39274e+07	9.19159e+07	9.37884e+07
P00547	KHSE_ECOLI	thrB	Homoserine kinase	2	2	3.35821e+06	3.33932e+06	3.34392e+06	3.40125e+06	3.38749e+06	3.08448e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	4	4	2.78534e+06	2.20586e+06	2.66168e+06	3.27194e+06	3.05882e+06	3.1272e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	1.12685e+07	1.18515e+07	1.09523e+07	1.18593e+07	1.12443e+07	1.21016e+07
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	7.05152e+06	8.62354e+06	7.45109e+06	7.73084e+06	7.44734e+06	7.37823e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	19	18	7.68851e+07	7.9549e+07	8.36194e+07	7.92169e+07	7.95019e+07	7.90515e+07
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.19465e+07	2.09574e+07	2.21818e+07	2.26602e+07	2.12108e+07	2.19892e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		2	2	6.70736e+07	1.45122e+07	6.52967e+07	1.21244e+07	7.17268e+07	1.18353e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	7	7	1.55393e+07	1.55244e+07	1.53098e+07	1.46744e+07	1.5642e+07	1.47565e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.26401e+08	1.33317e+08	1.31255e+08	1.34787e+08	1.29475e+08	1.28523e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	4	4	4.75956e+06	3.67749e+06	4.63429e+06	4.37701e+06	4.6259e+06	4.74212e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.21879e+06	1.13419e+06	966301	1.03904e+06	1.25702e+06	1.21816e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	39	39	5.67997e+07	5.74095e+07	5.96061e+07	5.89333e+07	5.76615e+07	5.92178e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.59407e+06	7.31174e+06	8.33554e+06	6.71467e+06	9.30484e+06	6.27819e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	7	7	8.40051e+06	8.38639e+06	7.96931e+06	8.41437e+06	8.37812e+06	8.59901e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	270023	285574		387317	306150	339647
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.23009e+06	1.49114e+06	1.36163e+06	1.3934e+06	1.31965e+06	1.19378e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	3	3	1.03438e+06	1.08267e+06	896270	817133	1.05482e+06	
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	1.24875e+08	2.7415e+07	1.20434e+08	2.58068e+07	1.25612e+08	2.47228e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		11	11	1.89128e+08	3.87618e+07	1.82048e+08	3.69829e+07	1.87505e+08	3.72568e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	3	3	1.8591e+06	2.27119e+06	1.64916e+06	2.25279e+06	1.84881e+06	2.05593e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.46162e+07	1.47621e+07	1.50847e+07	1.56803e+07	1.6787e+07	1.56689e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.55385e+06	1.87925e+06	2.18923e+06	1.62205e+06	1.8898e+06	1.61358e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	4	4	2.55344e+06	2.30154e+06	2.79645e+06	2.19716e+06	2.75953e+06	2.34323e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.19295e+07	5.33324e+07	5.21704e+07	5.29875e+07	5.08212e+07	5.17715e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	7.69192e+07	8.14706e+07	7.59768e+07	8.44429e+07	7.8022e+07	8.11921e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	40	40	1.06267e+08	1.01617e+08	1.03515e+08	1.06811e+08	1.05052e+08	1.06485e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	40	40	1.1922e+08	1.13673e+08	1.19483e+08	1.18656e+08	1.19224e+08	1.19728e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	5.9395e+07	5.81864e+07	5.97836e+07	5.84047e+07	5.95176e+07	5.79315e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.09966e+07	3.26041e+07	3.2394e+07	3.10851e+07	2.95705e+07	3.03591e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.50341e+07	7.28552e+07	7.32943e+07	7.74515e+07	7.41176e+07	7.68531e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.37825e+07	6.68913e+07	7.31028e+07	7.32612e+07	7.42538e+07	7.24487e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.49127e+07	1.07491e+08	9.65004e+07	1.01205e+08	9.55938e+07	9.99855e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	31	31	1.87007e+07	1.99468e+07	1.92721e+07	1.978e+07	1.88296e+07	1.9503e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		16	16	1.25448e+08	2.81504e+07	1.21842e+08	2.93651e+07	1.25366e+08	2.82252e+07
