Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P08192	P08192		folC		3.89443e+06	3.98342e+06	3.91366e+06	3.81866e+06	3.80292e+06	3.81995e+06
P08200	P08200		icd		2.43357e+07	2.39828e+07	2.2959e+07	2.48237e+07	2.51798e+07	2.45253e+07
P08201	P08201		nirB		5.23009e+06	5.26033e+06	5.30673e+06	5.50322e+06	5.38731e+06	5.47063e+06
P08244	P08244		pyrF		9.85453e+06	9.96222e+06	1.03795e+07	9.67467e+06	1.01661e+07	9.90699e+06
P08245	P08245		yciH		779414	761909	771717	774082	722812	748257
P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)				672239	669163	636411	458984	356347	471227
P08312	P08312		pheS		1.39704e+07	1.38293e+07	1.3988e+07	1.39156e+07	1.37546e+07	1.38648e+07
P08331	P08331		cpdB		3.51873e+06	3.46588e+06	3.37761e+06	3.52396e+06	3.37637e+06	3.48493e+06
P08337	P08337		mutT		1.50472e+06	1.49075e+06	1.38698e+06	1.37408e+06	1.27779e+06	1.35483e+06
P08373	P08373		murB		1.71714e+06	1.64303e+06	1.72295e+06	1.80654e+06	1.85378e+06	1.73424e+06
P08390	P08390		usg		5.35217e+06	5.53196e+06	5.35055e+06	5.53775e+06	5.71774e+06	5.43613e+06
P08395	P08395		sppA		3.06775e+06	2.93076e+06	3.26904e+06	3.0994e+06	3.2581e+06	3.07054e+06
P08506	P08506		dacC		6.14638e+06	6.06822e+06	5.99647e+06	6.39108e+06	6.28327e+06	6.43546e+06
P08622	P08622		dnaJ		6.26544e+06	6.33926e+06	6.30433e+06	6.40192e+06	6.373e+06	6.53028e+06
P08660	P08660		lysC		2.53348e+06	2.58721e+06	2.59644e+06	2.36843e+06	2.4107e+06	2.40866e+06
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)				4.00586e+06	3.96331e+06	3.9673e+06	2.47879e+06	2.35897e+06	2.06904e+06
P08839	P08839		ptsI		3.3333e+07	3.37227e+07	3.3403e+07	3.37628e+07	3.36436e+07	3.37537e+07
P08956	P08956		hsdR		2.47474e+06	2.57555e+06	2.52192e+06	2.37632e+06	2.30559e+06	2.38474e+06
P08957	P08957		hsdM		1.17044e+07	1.17136e+07	1.15447e+07	1.16076e+07	1.16722e+07	1.17441e+07
P09029	P09029		purK		1.00517e+06	1.12798e+06	1.17874e+06	957095	1.01161e+06	1.07236e+06
P09030	P09030		xthA		3.33824e+06	3.39993e+06	3.45542e+06	3.55472e+06	3.4392e+06	3.51318e+06
P09053	P09053		avtA		504823	514561	469055	483170	535111	504508
P09126	P09126		hemD		1.51303e+06	1.36912e+06	1.51358e+06	1.54678e+06	1.51654e+06	1.53074e+06
P09127	P09127		hemX		9.92941e+06	9.894e+06	1.01454e+07	1.01807e+07	1.01935e+07	1.00449e+07
P09147	P09147		galE		9.55745e+06	9.28763e+06	9.46673e+06	9.54276e+06	9.63889e+06	9.62839e+06
P09148	P09148		galT		1.58909e+06	1.5907e+06	1.57472e+06	1.64165e+06	1.66329e+06	1.72275e+06
