Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1				2.26568e+06	2.83372e+06	2.74548e+06	2.38554e+06	2.76144e+06	2.56329e+06
DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	DECOY_sp|P0A6W3|MRAY_ECOLI Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1				467140	592910	547688		560928	506407
DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1	DECOY_sp|P0A9F1|MNTR_ECOLI Transcriptional regulator MntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1				962642	826432	766560	859218	839091	777697
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.6861e+07	2.13355e+07	2.09202e+07	2.21294e+07	2.59084e+07	1.94865e+07
DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1	DECOY_sp|P0AC78|WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1							6.98327e+06		
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1				792304	1.00876e+06				1.18418e+06
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.64617e+06	1.58581e+06	1.5561e+06	1.6241e+06	1.78603e+06	1.82672e+06
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.82289e+06	4.89042e+06	4.83236e+06	4.38154e+06	5.15046e+06	4.89242e+06
DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3				3.09832e+06	2.22483e+06	2.4043e+06	3.76495e+06	3.53041e+06	2.44342e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.38374e+06	1.73323e+06	1.61554e+06	1.33203e+06	1.45145e+06	1.7053e+06
